Periodo,Categoría,DATA
2015M11,TOTAL,330.36
2015M11,1 Llave,298.61
2015M11,"2, 3 y 4 Llaves",31.76
2015M12,TOTAL,330.36
2015M12,1 Llave,298.61
2015M12,"2, 3 y 4 Llaves",31.76
2016M01,TOTAL,339.56
2016M01,1 Llave,310.51
2016M01,"2, 3 y 4 Llaves",29.06
2016M02,TOTAL,311
2016M02,1 Llave,282
2016M02,"2, 3 y 4 Llaves",29
2016M03,TOTAL,345.49
2016M03,1 Llave,314.42
2016M03,"2, 3 y 4 Llaves",31.07
2016M04,TOTAL,347.09
2016M04,1 Llave,315.8
2016M04,"2, 3 y 4 Llaves",31.29
2016M05,TOTAL,352.49
2016M05,1 Llave,321.08
2016M05,"2, 3 y 4 Llaves",31.4
2016M06,TOTAL,348.56
2016M06,1 Llave,317.21
2016M06,"2, 3 y 4 Llaves",31.35
2016M07,TOTAL,350.36
2016M07,1 Llave,318
2016M07,"2, 3 y 4 Llaves",32.36
2016M08,TOTAL,350.36
2016M08,1 Llave,318
2016M08,"2, 3 y 4 Llaves",32.36
2016M09,TOTAL,346.3
2016M09,1 Llave,314
2016M09,"2, 3 y 4 Llaves",32.3
2016M10,TOTAL,346.04
2016M10,1 Llave,313.74
2016M10,"2, 3 y 4 Llaves",32.3
2016M11,TOTAL,325.47
2016M11,1 Llave,293.64
2016M11,"2, 3 y 4 Llaves",31.83
2016M12,TOTAL,335.15
2016M12,1 Llave,307
2016M12,"2, 3 y 4 Llaves",28.15
2017M01,TOTAL,341.44
2017M01,1 Llave,311.13
2017M01,"2, 3 y 4 Llaves",30.31
2017M02,TOTAL,296.08
2017M02,1 Llave,268.96
2017M02,"2, 3 y 4 Llaves",27.12
2017M03,TOTAL,328.49
2017M03,1 Llave,297.29
2017M03,"2, 3 y 4 Llaves",31.19
2017M04,TOTAL,335.25
2017M04,1 Llave,303.54
2017M04,"2, 3 y 4 Llaves",31.71
2017M05,TOTAL,324.72
2017M05,1 Llave,293.89
2017M05,"2, 3 y 4 Llaves",30.83
2017M06,TOTAL,342.8
2017M06,1 Llave,309.54
2017M06,"2, 3 y 4 Llaves",33.25
2017M07,TOTAL,339
2017M07,1 Llave,306
2017M07,"2, 3 y 4 Llaves",33
2017M08,TOTAL,338.21
2017M08,1 Llave,305.46
2017M08,"2, 3 y 4 Llaves",32.75
2017M09,TOTAL,342
2017M09,1 Llave,309
2017M09,"2, 3 y 4 Llaves",33
2017M10,TOTAL,343
2017M10,1 Llave,310
2017M10,"2, 3 y 4 Llaves",33
2017M11,TOTAL,343
2017M11,1 Llave,310
2017M11,"2, 3 y 4 Llaves",33
2017M12,TOTAL,328.6
2017M12,1 Llave,293.97
2017M12,"2, 3 y 4 Llaves",34.63
2018M01,TOTAL,325.59
2018M01,1 Llave,301.86
2018M01,"2, 3 y 4 Llaves",23.73
2018M02,TOTAL,325.91
2018M02,1 Llave,302.48
2018M02,"2, 3 y 4 Llaves",23.43
2018M03,TOTAL,340.98
2018M03,1 Llave,308.12
2018M03,"2, 3 y 4 Llaves",32.85
2018M04,TOTAL,341.5
2018M04,1 Llave,308.7
2018M04,"2, 3 y 4 Llaves",32.8
2018M05,TOTAL,317
2018M05,1 Llave,284.66
2018M05,"2, 3 y 4 Llaves",32.34
2018M06,TOTAL,335.68
2018M06,1 Llave,303.12
2018M06,"2, 3 y 4 Llaves",32.56
2018M07,TOTAL,339.66
2018M07,1 Llave,307.11
2018M07,"2, 3 y 4 Llaves",32.55
2018M08,TOTAL,327.41
2018M08,1 Llave,299.9
2018M08,"2, 3 y 4 Llaves",27.51
2018M09,TOTAL,345.69
2018M09,1 Llave,310.27
2018M09,"2, 3 y 4 Llaves",35.42
2018M10,TOTAL,357.45
2018M10,1 Llave,322.17
2018M10,"2, 3 y 4 Llaves",35.28
2018M11,TOTAL,357.45
2018M11,1 Llave,322.17
2018M11,"2, 3 y 4 Llaves",35.28
2018M12,TOTAL,346.4
2018M12,1 Llave,318.24
2018M12,"2, 3 y 4 Llaves",28.15
2019M01,TOTAL,330.01
2019M01,1 Llave,307.43
2019M01,"2, 3 y 4 Llaves",22.58
2019M02,TOTAL,335.82
2019M02,1 Llave,294.88
2019M02,"2, 3 y 4 Llaves",40.94
2019M03,TOTAL,344.52
2019M03,1 Llave,304.23
2019M03,"2, 3 y 4 Llaves",40.29
2019M04,TOTAL,347.89
2019M04,1 Llave,307.43
2019M04,"2, 3 y 4 Llaves",40.47
2019M05,TOTAL,347.89
2019M05,1 Llave,307.43
2019M05,"2, 3 y 4 Llaves",40.47
2019M06,TOTAL,361.94
2019M06,1 Llave,321.41
2019M06,"2, 3 y 4 Llaves",40.53
2019M07,TOTAL,387.23
2019M07,1 Llave,321.41
2019M07,"2, 3 y 4 Llaves",65.82
2019M08,TOTAL,397.52
2019M08,1 Llave,330.71
2019M08,"2, 3 y 4 Llaves",66.81
2019M09,TOTAL,396.34
2019M09,1 Llave,324.93
2019M09,"2, 3 y 4 Llaves",71.41
2019M10,TOTAL,412.6
2019M10,1 Llave,340.95
2019M10,"2, 3 y 4 Llaves",71.65
2019M11,TOTAL,
2019M11,1 Llave,
2019M11,"2, 3 y 4 Llaves",
2019M12,TOTAL,395.56
2019M12,1 Llave,324.71
2019M12,"2, 3 y 4 Llaves",70.85
2020M01,TOTAL,403.95
2020M01,1 Llave,334.37
2020M01,"2, 3 y 4 Llaves",69.57
2020M02,TOTAL,391.33
2020M02,1 Llave,321.22
2020M02,"2, 3 y 4 Llaves",70.11
2020M03,TOTAL,206.65
2020M03,1 Llave,185.48
2020M03,"2, 3 y 4 Llaves",21.16
2020M05,TOTAL,170.2
2020M05,1 Llave,141.12
2020M05,"2, 3 y 4 Llaves",29.09
2020M06,TOTAL,314.89
2020M06,1 Llave,274.11
2020M06,"2, 3 y 4 Llaves",40.78
2020M07,TOTAL,348.4
