Periodo,Categoría,Residencia viajero,DATA
2015M11,TOTAL,TOTAL,3906.64
2015M11,TOTAL,Residentes en Espańa,3845.19
2015M11,TOTAL,No residentes en Espańa,61.45
2015M11,1 Llave,TOTAL,3633.53
2015M11,1 Llave,Residentes en Espańa,3572.08
2015M11,1 Llave,No residentes en Espańa,61.45
2015M11,"2, 3 y 4 Llaves",TOTAL,273.11
2015M11,"2, 3 y 4 Llaves",Residentes en Espańa,273.11
2015M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2015M12,TOTAL,TOTAL,4391.6
2015M12,TOTAL,Residentes en Espańa,4261.9
2015M12,TOTAL,No residentes en Espańa,129.7
2015M12,1 Llave,TOTAL,4018.27
2015M12,1 Llave,Residentes en Espańa,3888.57
2015M12,1 Llave,No residentes en Espańa,129.7
2015M12,"2, 3 y 4 Llaves",TOTAL,373.33
2015M12,"2, 3 y 4 Llaves",Residentes en Espańa,373.33
2015M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M01,TOTAL,TOTAL,1433.91
2016M01,TOTAL,Residentes en Espańa,1391.96
2016M01,TOTAL,No residentes en Espańa,41.95
2016M01,1 Llave,TOTAL,1238.28
2016M01,1 Llave,Residentes en Espańa,1211.98
2016M01,1 Llave,No residentes en Espańa,26.3
2016M01,"2, 3 y 4 Llaves",TOTAL,195.63
2016M01,"2, 3 y 4 Llaves",Residentes en Espańa,179.98
2016M01,"2, 3 y 4 Llaves",No residentes en Espańa,15.65
2016M02,TOTAL,TOTAL,2905.82
2016M02,TOTAL,Residentes en Espańa,2871.32
2016M02,TOTAL,No residentes en Espańa,34.5
2016M02,1 Llave,TOTAL,2388.98
2016M02,1 Llave,Residentes en Espańa,2354.48
2016M02,1 Llave,No residentes en Espańa,34.5
2016M02,"2, 3 y 4 Llaves",TOTAL,516.84
2016M02,"2, 3 y 4 Llaves",Residentes en Espańa,516.84
2016M02,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M03,TOTAL,TOTAL,4375.72
2016M03,TOTAL,Residentes en Espańa,4177.4
2016M03,TOTAL,No residentes en Espańa,198.32
2016M03,1 Llave,TOTAL,4109.72
2016M03,1 Llave,Residentes en Espańa,3911.4
2016M03,1 Llave,No residentes en Espańa,198.32
2016M03,"2, 3 y 4 Llaves",TOTAL,266
2016M03,"2, 3 y 4 Llaves",Residentes en Espańa,266
2016M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M04,TOTAL,TOTAL,3254.72
2016M04,TOTAL,Residentes en Espańa,2876.65
2016M04,TOTAL,No residentes en Espańa,378.07
2016M04,1 Llave,TOTAL,2928.54
2016M04,1 Llave,Residentes en Espańa,2550.47
2016M04,1 Llave,No residentes en Espańa,378.07
2016M04,"2, 3 y 4 Llaves",TOTAL,326.18
2016M04,"2, 3 y 4 Llaves",Residentes en Espańa,326.18
2016M04,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M05,TOTAL,TOTAL,4122.33
2016M05,TOTAL,Residentes en Espańa,3470.87
2016M05,TOTAL,No residentes en Espańa,651.46
2016M05,1 Llave,TOTAL,3640.97
2016M05,1 Llave,Residentes en Espańa,2989.51
2016M05,1 Llave,No residentes en Espańa,651.46
2016M05,"2, 3 y 4 Llaves",TOTAL,481.37
2016M05,"2, 3 y 4 Llaves",Residentes en Espańa,481.37
2016M05,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M06,TOTAL,TOTAL,4092.78
2016M06,TOTAL,Residentes en Espańa,3389.9
2016M06,TOTAL,No residentes en Espańa,702.88
2016M06,1 Llave,TOTAL,3742.03
2016M06,1 Llave,Residentes en Espańa,3053.77
2016M06,1 Llave,No residentes en Espańa,688.27
2016M06,"2, 3 y 4 Llaves",TOTAL,350.75
2016M06,"2, 3 y 4 Llaves",Residentes en Espańa,336.13
2016M06,"2, 3 y 4 Llaves",No residentes en Espańa,14.61
2016M07,TOTAL,TOTAL,5751.98
2016M07,TOTAL,Residentes en Espańa,5104.02
2016M07,TOTAL,No residentes en Espańa,647.96
2016M07,1 Llave,TOTAL,5292.76
2016M07,1 Llave,Residentes en Espańa,4644.81
2016M07,1 Llave,No residentes en Espańa,647.96
2016M07,"2, 3 y 4 Llaves",TOTAL,459.21
2016M07,"2, 3 y 4 Llaves",Residentes en Espańa,459.21
2016M07,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M08,TOTAL,TOTAL,5994.39
2016M08,TOTAL,Residentes en Espańa,5258.59
2016M08,TOTAL,No residentes en Espańa,735.8
2016M08,1 Llave,TOTAL,5569.25
2016M08,1 Llave,Residentes en Espańa,4833.45
2016M08,1 Llave,No residentes en Espańa,735.8
2016M08,"2, 3 y 4 Llaves",TOTAL,425.14
2016M08,"2, 3 y 4 Llaves",Residentes en Espańa,425.14
2016M08,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M09,TOTAL,TOTAL,5420.68
2016M09,TOTAL,Residentes en Espańa,4115.97
2016M09,TOTAL,No residentes en Espańa,1304.71
2016M09,1 Llave,TOTAL,4891.19
2016M09,1 Llave,Residentes en Espańa,3601.39
2016M09,1 Llave,No residentes en Espańa,1289.8
2016M09,"2, 3 y 4 Llaves",TOTAL,529.49
2016M09,"2, 3 y 4 Llaves",Residentes en Espańa,514.58
2016M09,"2, 3 y 4 Llaves",No residentes en Espańa,14.92
2016M10,TOTAL,TOTAL,5900.67
2016M10,TOTAL,Residentes en Espańa,5591.27
2016M10,TOTAL,No residentes en Espańa,309.4
2016M10,1 Llave,TOTAL,5164.73
2016M10,1 Llave,Residentes en Espańa,4855.33
2016M10,1 Llave,No residentes en Espańa,309.4
2016M10,"2, 3 y 4 Llaves",TOTAL,735.94
2016M10,"2, 3 y 4 Llaves",Residentes en Espańa,735.94
2016M10,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M11,TOTAL,TOTAL,3679.38
2016M11,TOTAL,Residentes en Espańa,3439.38
2016M11,TOTAL,No residentes en Espańa,240
2016M11,1 Llave,TOTAL,3215.38
2016M11,1 Llave,Residentes en Espańa,2975.38
2016M11,1 Llave,No residentes en Espańa,240
2016M11,"2, 3 y 4 Llaves",TOTAL,464
2016M11,"2, 3 y 4 Llaves",Residentes en Espańa,464
2016M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M12,TOTAL,TOTAL,4445.25
2016M12,TOTAL,Residentes en Espańa,4380.34
2016M12,TOTAL,No residentes en Espańa,64.91
2016M12,1 Llave,TOTAL,3915.93
2016M12,1 Llave,Residentes en Espańa,3851.01
2016M12,1 Llave,No residentes en Espańa,64.91
2016M12,"2, 3 y 4 Llaves",TOTAL,529.33
2016M12,"2, 3 y 4 Llaves",Residentes en Espańa,529.33
2016M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M01,TOTAL,TOTAL,2184
2017M01,TOTAL,Residentes en Espańa,1995.47
2017M01,TOTAL,No residentes en Espańa,188.53
2017M01,1 Llave,TOTAL,2184
2017M01,1 Llave,Residentes en Espańa,1995.47
2017M01,1 Llave,No residentes en Espańa,188.53
2017M01,"2, 3 y 4 Llaves",TOTAL,
2017M01,"2, 3 y 4 Llaves",Residentes en Espańa,
2017M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M02,TOTAL,TOTAL,3487.95
2017M02,TOTAL,Residentes en Espańa,3352.65
2017M02,TOTAL,No residentes en Espańa,135.3
2017M02,1 Llave,TOTAL,3266.82
2017M02,1 Llave,Residentes en Espańa,3131.52
2017M02,1 Llave,No residentes en Espańa,135.3
2017M02,"2, 3 y 4 Llaves",TOTAL,221.14
2017M02,"2, 3 y 4 Llaves",Residentes en Espańa,221.14
2017M02,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M03,TOTAL,TOTAL,3931.3
2017M03,TOTAL,Residentes en Espańa,3786.04
2017M03,TOTAL,No residentes en Espańa,145.25
2017M03,1 Llave,TOTAL,3636.33
2017M03,1 Llave,Residentes en Espańa,3491.08
2017M03,1 Llave,No residentes en Espańa,145.25
2017M03,"2, 3 y 4 Llaves",TOTAL,294.96
2017M03,"2, 3 y 4 Llaves",Residentes en Espańa,294.96
2017M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M04,TOTAL,TOTAL,4939.58
2017M04,TOTAL,Residentes en Espańa,4413.06
2017M04,TOTAL,No residentes en Espańa,526.53
2017M04,1 Llave,TOTAL,4649.21
2017M04,1 Llave,Residentes en Espańa,4122.68
2017M04,1 Llave,No residentes en Espańa,526.53
2017M04,"2, 3 y 4 Llaves",TOTAL,290.38
2017M04,"2, 3 y 4 Llaves",Residentes en Espańa,290.38
2017M04,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M05,TOTAL,TOTAL,4085.17
2017M05,TOTAL,Residentes en Espańa,3253.75
2017M05,TOTAL,No residentes en Espańa,831.42
2017M05,1 Llave,TOTAL,3845.42
2017M05,1 Llave,Residentes en Espańa,3074.05
2017M05,1 Llave,No residentes en Espańa,771.37
2017M05,"2, 3 y 4 Llaves",TOTAL,239.75
2017M05,"2, 3 y 4 Llaves",Residentes en Espańa,179.7
2017M05,"2, 3 y 4 Llaves",No residentes en Espańa,60.05
2017M06,TOTAL,TOTAL,4481.73
2017M06,TOTAL,Residentes en Espańa,3964.77
2017M06,TOTAL,No residentes en Espańa,516.96
2017M06,1 Llave,TOTAL,4070.38
2017M06,1 Llave,Residentes en Espańa,3553.42
2017M06,1 Llave,No residentes en Espańa,516.96
2017M06,"2, 3 y 4 Llaves",TOTAL,411.35
2017M06,"2, 3 y 4 Llaves",Residentes en Espańa,411.35
2017M06,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M07,TOTAL,TOTAL,6252.16
2017M07,TOTAL,Residentes en Espańa,5509.87
2017M07,TOTAL,No residentes en Espańa,742.29
2017M07,1 Llave,TOTAL,5955.39
2017M07,1 Llave,Residentes en Espańa,5213.09
2017M07,1 Llave,No residentes en Espańa,742.29
2017M07,"2, 3 y 4 Llaves",TOTAL,296.77
2017M07,"2, 3 y 4 Llaves",Residentes en Espańa,296.77
2017M07,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M08,TOTAL,TOTAL,6633.8
2017M08,TOTAL,Residentes en Espańa,5790.35
2017M08,TOTAL,No residentes en Espańa,843.45
2017M08,1 Llave,TOTAL,6095.3
2017M08,1 Llave,Residentes en Espańa,5352.74
2017M08,1 Llave,No residentes en Espańa,742.56
2017M08,"2, 3 y 4 Llaves",TOTAL,538.5
2017M08,"2, 3 y 4 Llaves",Residentes en Espańa,437.62
2017M08,"2, 3 y 4 Llaves",No residentes en Espańa,100.89
2017M09,TOTAL,TOTAL,5008.24
2017M09,TOTAL,Residentes en Espańa,4218.25
2017M09,TOTAL,No residentes en Espańa,789.99
2017M09,1 Llave,TOTAL,4543.9
2017M09,1 Llave,Residentes en Espańa,3753.91
