Periodo,País de residencia,Medida,DATA
2015M11,TOTAL,Viajeros,3906.64
2015M11,TOTAL,Pernoctaciones,7633.27
2015M11,RESIDENTES EN ESPAŃA,Viajeros,3845.19
2015M11,RESIDENTES EN ESPAŃA,Pernoctaciones,7510.37
2015M11,NO RESIDENTE EN ESPAŃA,Viajeros,61.45
2015M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,122.9
2015M11,Reino Unido,Viajeros,13.66
2015M11,Reino Unido,Pernoctaciones,40.97
2015M11,Resto de UE,Viajeros,13.66
2015M11,Resto de UE,Pernoctaciones,13.66
2015M11,Estados Unidos,Viajeros,13.66
2015M11,Estados Unidos,Pernoctaciones,27.31
2015M11,Resto de America,Viajeros,20.48
2015M11,Resto de America,Pernoctaciones,40.97
2015M11,Francia,Viajeros,
2015M11,Francia,Pernoctaciones,
2015M11,Resto de Europa,Viajeros,
2015M11,Resto de Europa,Pernoctaciones,
2015M11,Resto de no residentes en Espańa,Viajeros,
2015M11,Resto de no residentes en Espańa,Pernoctaciones,
2015M11,Alemania,Viajeros,
2015M11,Alemania,Pernoctaciones,
2015M11,Italia,Viajeros,
2015M11,Italia,Pernoctaciones,
2015M11,Paises Bajos,Viajeros,
2015M11,Paises Bajos,Pernoctaciones,
2015M11,Paises Nordicos,Viajeros,
2015M11,Paises Nordicos,Pernoctaciones,
2015M12,TOTAL,Viajeros,4391.6
2015M12,TOTAL,Pernoctaciones,10667.71
2015M12,RESIDENTES EN ESPAŃA,Viajeros,4261.9
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,10381.9
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,129.7
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,285.81
2015M12,Reino Unido,Viajeros,26.41
2015M12,Reino Unido,Pernoctaciones,52.83
2015M12,Resto de UE,Viajeros,26.41
2015M12,Resto de UE,Pernoctaciones,92.45
2015M12,Estados Unidos,Viajeros,
2015M12,Estados Unidos,Pernoctaciones,
2015M12,Resto de America,Viajeros,24.83
2015M12,Resto de America,Pernoctaciones,38.04
2015M12,Francia,Viajeros,5.81
2015M12,Francia,Pernoctaciones,23.25
2015M12,Resto de Europa,Viajeros,13.21
2015M12,Resto de Europa,Pernoctaciones,13.21
2015M12,Resto de no residentes en Espańa,Viajeros,33.02
2015M12,Resto de no residentes en Espańa,Pernoctaciones,66.04
2015M12,Alemania,Viajeros,
2015M12,Alemania,Pernoctaciones,
2015M12,Italia,Viajeros,
2015M12,Italia,Pernoctaciones,
2015M12,Paises Bajos,Viajeros,
2015M12,Paises Bajos,Pernoctaciones,
2015M12,Paises Nordicos,Viajeros,
2015M12,Paises Nordicos,Pernoctaciones,
2016M01,TOTAL,Viajeros,1433.91
2016M01,TOTAL,Pernoctaciones,4155.72
2016M01,RESIDENTES EN ESPAŃA,Viajeros,1391.96
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,4051.17
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,41.95
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,104.55
2016M01,Reino Unido,Viajeros,14.67
2016M01,Reino Unido,Pernoctaciones,14.67
2016M01,Resto de UE,Viajeros,
2016M01,Resto de UE,Pernoctaciones,
2016M01,Estados Unidos,Viajeros,
2016M01,Estados Unidos,Pernoctaciones,
2016M01,Resto de America,Viajeros,
2016M01,Resto de America,Pernoctaciones,
2016M01,Francia,Viajeros,15.65
2016M01,Francia,Pernoctaciones,78.25
2016M01,Resto de Europa,Viajeros,
2016M01,Resto de Europa,Pernoctaciones,
2016M01,Resto de no residentes en Espańa,Viajeros,11.62
2016M01,Resto de no residentes en Espańa,Pernoctaciones,11.62
2016M01,Alemania,Viajeros,
2016M01,Alemania,Pernoctaciones,
2016M01,Italia,Viajeros,
2016M01,Italia,Pernoctaciones,
2016M01,Paises Bajos,Viajeros,
2016M01,Paises Bajos,Pernoctaciones,
2016M01,Paises Nordicos,Viajeros,
2016M01,Paises Nordicos,Pernoctaciones,
2016M02,TOTAL,Viajeros,2905.82
2016M02,TOTAL,Pernoctaciones,5904.57
2016M02,RESIDENTES EN ESPAŃA,Viajeros,2871.32
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,5812.36
2016M02,NO RESIDENTE EN ESPAŃA,Viajeros,34.5
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,92.21
2016M02,Reino Unido,Viajeros,7.73
2016M02,Reino Unido,Pernoctaciones,15.47
2016M02,Resto de UE,Viajeros,
2016M02,Resto de UE,Pernoctaciones,
2016M02,Estados Unidos,Viajeros,
2016M02,Estados Unidos,Pernoctaciones,
2016M02,Resto de America,Viajeros,
2016M02,Resto de America,Pernoctaciones,
2016M02,Francia,Viajeros,26.77
2016M02,Francia,Pernoctaciones,76.74
2016M02,Resto de Europa,Viajeros,
2016M02,Resto de Europa,Pernoctaciones,
2016M02,Resto de no residentes en Espańa,Viajeros,
2016M02,Resto de no residentes en Espańa,Pernoctaciones,
2016M02,Alemania,Viajeros,
2016M02,Alemania,Pernoctaciones,
2016M02,Italia,Viajeros,
2016M02,Italia,Pernoctaciones,
2016M02,Paises Bajos,Viajeros,
2016M02,Paises Bajos,Pernoctaciones,
2016M02,Paises Nordicos,Viajeros,
2016M02,Paises Nordicos,Pernoctaciones,
2016M03,TOTAL,Viajeros,4375.72
2016M03,TOTAL,Pernoctaciones,11399.83
2016M03,RESIDENTES EN ESPAŃA,Viajeros,4177.4
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,10838.45
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,198.32
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,561.39
2016M03,Reino Unido,Viajeros,15.74
2016M03,Reino Unido,Pernoctaciones,116.47
2016M03,Resto de UE,Viajeros,16.79
2016M03,Resto de UE,Pernoctaciones,113.33
2016M03,Estados Unidos,Viajeros,16.79
2016M03,Estados Unidos,Pernoctaciones,33.58
2016M03,Resto de America,Viajeros,67.16
2016M03,Resto de America,Pernoctaciones,117.52
2016M03,Francia,Viajeros,33.58
2016M03,Francia,Pernoctaciones,67.16
2016M03,Resto de Europa,Viajeros,15.74
2016M03,Resto de Europa,Pernoctaciones,31.48
2016M03,Resto de no residentes en Espańa,Viajeros,
2016M03,Resto de no residentes en Espańa,Pernoctaciones,
2016M03,Alemania,Viajeros,15.74
2016M03,Alemania,Pernoctaciones,31.48
2016M03,Italia,Viajeros,16.79
2016M03,Italia,Pernoctaciones,50.37
2016M03,Paises Bajos,Viajeros,
2016M03,Paises Bajos,Pernoctaciones,
2016M03,Paises Nordicos,Viajeros,
2016M03,Paises Nordicos,Pernoctaciones,
2016M04,TOTAL,Viajeros,3254.72
2016M04,TOTAL,Pernoctaciones,6680.18
2016M04,RESIDENTES EN ESPAŃA,Viajeros,2876.65
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,5768.36
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,378.07
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,911.81
2016M04,Reino Unido,Viajeros,59.3
2016M04,Reino Unido,Pernoctaciones,74.13
2016M04,Resto de UE,Viajeros,59.3
2016M04,Resto de UE,Pernoctaciones,74.13
2016M04,Estados Unidos,Viajeros,29.65
2016M04,Estados Unidos,Pernoctaciones,29.65
2016M04,Resto de America,Viajeros,14.83
2016M04,Resto de America,Pernoctaciones,14.83
2016M04,Francia,Viajeros,163.09
