Periodo,Categoría,Estancia media,DATA
2015M11,TOTAL,Estancia media,1.92
2015M11,TOTAL,Estancia media Residentes en Espańa,1.95
2015M11,TOTAL,Estancia media No residentes en Espańa,1.67
2015M11,Camping de 1Ş,Estancia media,1.96
2015M11,Camping de 1Ş,Estancia media Residentes en Espańa,1.96
2015M11,Camping de 1Ş,Estancia media No residentes en Espańa,1.84
2015M11,Camping de 2Ş y 3Ş,Estancia media,
2015M11,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2015M11,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2015M12,TOTAL,Estancia media,1.59
2015M12,TOTAL,Estancia media Residentes en Espańa,1.59
2015M12,TOTAL,Estancia media No residentes en Espańa,
2015M12,Camping de 1Ş,Estancia media,1.5
2015M12,Camping de 1Ş,Estancia media Residentes en Espańa,1.5
2015M12,Camping de 1Ş,Estancia media No residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,Estancia media,
2015M12,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M01,TOTAL,Estancia media,2.11
2016M01,TOTAL,Estancia media Residentes en Espańa,2.41
2016M01,TOTAL,Estancia media No residentes en Espańa,1.08
2016M01,Camping de 1Ş,Estancia media,2.11
2016M01,Camping de 1Ş,Estancia media Residentes en Espańa,2.41
2016M01,Camping de 1Ş,Estancia media No residentes en Espańa,1.08
2016M01,Camping de 2Ş y 3Ş,Estancia media,
2016M01,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M01,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M02,TOTAL,Estancia media,2.02
2016M02,TOTAL,Estancia media Residentes en Espańa,2.13
2016M02,TOTAL,Estancia media No residentes en Espańa,1.58
2016M02,Camping de 1Ş,Estancia media,2.18
2016M02,Camping de 1Ş,Estancia media Residentes en Espańa,2.18
2016M02,Camping de 1Ş,Estancia media No residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,Estancia media,
2016M02,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M03,TOTAL,Estancia media,2.78
2016M03,TOTAL,Estancia media Residentes en Espańa,2.84
2016M03,TOTAL,Estancia media No residentes en Espańa,2.4
2016M03,Camping de 1Ş,Estancia media,2.73
2016M03,Camping de 1Ş,Estancia media Residentes en Espańa,2.77
2016M03,Camping de 1Ş,Estancia media No residentes en Espańa,1.42
2016M03,Camping de 2Ş y 3Ş,Estancia media,
2016M03,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M03,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M04,TOTAL,Estancia media,2.41
2016M04,TOTAL,Estancia media Residentes en Espańa,2.69
2016M04,TOTAL,Estancia media No residentes en Espańa,1.56
2016M04,Camping de 1Ş,Estancia media,2.51
