Periodo,Categoría,DATA
2015M11,TOTAL,7933
2015M11,Camping de 1Ş,6521
2015M11,Camping de 2Ş y 3Ş,
2015M12,TOTAL,4762.71
2015M12,Camping de 1Ş,4311.74
2015M12,Camping de 2Ş y 3Ş,
2016M01,TOTAL,4968.9
2016M01,Camping de 1Ş,4968.9
2016M01,Camping de 2Ş y 3Ş,
2016M02,TOTAL,7480
2016M02,Camping de 1Ş,6068
2016M02,Camping de 2Ş y 3Ş,
2016M03,TOTAL,7971.71
2016M03,Camping de 1Ş,6559.71
2016M03,Camping de 2Ş y 3Ş,
2016M04,TOTAL,8083
2016M04,Camping de 1Ş,6521
2016M04,Camping de 2Ş y 3Ş,1562
2016M05,TOTAL,8083
2016M05,Camping de 1Ş,6521
2016M05,Camping de 2Ş y 3Ş,1562
2016M06,TOTAL,8083
2016M06,Camping de 1Ş,6521
2016M06,Camping de 2Ş y 3Ş,1562
2016M07,TOTAL,8083
2016M07,Camping de 1Ş,6521
2016M07,Camping de 2Ş y 3Ş,1562
2016M08,TOTAL,8083
2016M08,Camping de 1Ş,6521
2016M08,Camping de 2Ş y 3Ş,1562
2016M09,TOTAL,7983
2016M09,Camping de 1Ş,6571
2016M09,Camping de 2Ş y 3Ş,
2016M10,TOTAL,7933
2016M10,Camping de 1Ş,6521
2016M10,Camping de 2Ş y 3Ş,
2016M11,TOTAL,7933
2016M11,Camping de 1Ş,6521
2016M11,Camping de 2Ş y 3Ş,
2016M12,TOTAL,4770.45
2016M12,Camping de 1Ş,4269.94
2016M12,Camping de 2Ş y 3Ş,
2017M01,TOTAL,4868
2017M01,Camping de 1Ş,4868
2017M01,Camping de 2Ş y 3Ş,
2017M02,TOTAL,7480
2017M02,Camping de 1Ş,6068
2017M02,Camping de 2Ş y 3Ş,
2017M03,TOTAL,7480
2017M03,Camping de 1Ş,6068
2017M03,Camping de 2Ş y 3Ş,
2017M04,TOTAL,8091
2017M04,Camping de 1Ş,6529
2017M04,Camping de 2Ş y 3Ş,1562
2017M05,TOTAL,8091
2017M05,Camping de 1Ş,6529
2017M05,Camping de 2Ş y 3Ş,1562
2017M06,TOTAL,8091
2017M06,Camping de 1Ş,6529
2017M06,Camping de 2Ş y 3Ş,1562
2017M07,TOTAL,8091
2017M07,Camping de 1Ş,6529
2017M07,Camping de 2Ş y 3Ş,1562
2017M08,TOTAL,8091
2017M08,Camping de 1Ş,6529
2017M08,Camping de 2Ş y 3Ş,1562
2017M09,TOTAL,7991
2017M09,Camping de 1Ş,6529
2017M09,Camping de 2Ş y 3Ş,
2017M10,TOTAL,7941
2017M10,Camping de 1Ş,6529
2017M10,Camping de 2Ş y 3Ş,
2017M11,TOTAL,7488
2017M11,Camping de 1Ş,6076
2017M11,Camping de 2Ş y 3Ş,
2017M12,TOTAL,4832.77
2017M12,Camping de 1Ş,4422.84
2017M12,Camping de 2Ş y 3Ş,
2018M01,TOTAL,5028.52
2018M01,Camping de 1Ş,5028.52
2018M01,Camping de 2Ş y 3Ş,
2018M02,TOTAL,7488
2018M02,Camping de 1Ş,6076
2018M02,Camping de 2Ş y 3Ş,
2018M03,TOTAL,7488
2018M03,Camping de 1Ş,6076
2018M03,Camping de 2Ş y 3Ş,
2018M04,TOTAL,8091
2018M04,Camping de 1Ş,6529
2018M04,Camping de 2Ş y 3Ş,1562
2018M05,TOTAL,8091
2018M05,Camping de 1Ş,6529
2018M05,Camping de 2Ş y 3Ş,1562
2018M06,TOTAL,8091
2018M06,Camping de 1Ş,6529
2018M06,Camping de 2Ş y 3Ş,1562
2018M07,TOTAL,8034.87
2018M07,Camping de 1Ş,6472.87
2018M07,Camping de 2Ş y 3Ş,1562
2018M08,TOTAL,8091
2018M08,Camping de 1Ş,6529
2018M08,Camping de 2Ş y 3Ş,1562
2018M09,TOTAL,7991
2018M09,Camping de 1Ş,6529
2018M09,Camping de 2Ş y 3Ş,
2018M10,TOTAL,7941
2018M10,Camping de 1Ş,6529
2018M10,Camping de 2Ş y 3Ş,
2018M11,TOTAL,7443.83
2018M11,Camping de 1Ş,6031.83
2018M11,Camping de 2Ş y 3Ş,
2018M12,TOTAL,4570.06
2018M12,Camping de 1Ş,4305.81
2018M12,Camping de 2Ş y 3Ş,
2019M01,TOTAL,5120.65
2019M01,Camping de 1Ş,4834.84
2019M01,Camping de 2Ş y 3Ş,
2019M02,TOTAL,7195.43
2019M02,Camping de 1Ş,6076
2019M02,Camping de 2Ş y 3Ş,
2019M03,TOTAL,7141.16
2019M03,Camping de 1Ş,6076
2019M03,Camping de 2Ş y 3Ş,
2019M04,TOTAL,8313.67
