Periodo,Categoría,Residencia viajero,DATA
2015M11,TOTAL,TOTAL,10168
2015M11,TOTAL,Residentes en Espańa,9315.24
2015M11,TOTAL,No residentes en Espańa,852.76
2015M11,Camping de 1Ş,TOTAL,8705
2015M11,Camping de 1Ş,Residentes en Espańa,8410.19
2015M11,Camping de 1Ş,No residentes en Espańa,294.81
2015M11,Camping de 2Ş y 3Ş,TOTAL,
2015M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2015M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2015M12,TOTAL,TOTAL,7380
2015M12,TOTAL,Residentes en Espańa,7380
2015M12,TOTAL,No residentes en Espańa,
2015M12,Camping de 1Ş,TOTAL,6321
2015M12,Camping de 1Ş,Residentes en Espańa,6321
2015M12,Camping de 1Ş,No residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,TOTAL,
2015M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M01,TOTAL,TOTAL,2751
2016M01,TOTAL,Residentes en Espańa,2425.81
2016M01,TOTAL,No residentes en Espańa,325.19
2016M01,Camping de 1Ş,TOTAL,2751
2016M01,Camping de 1Ş,Residentes en Espańa,2425.81
2016M01,Camping de 1Ş,No residentes en Espańa,325.19
2016M01,Camping de 2Ş y 3Ş,TOTAL,
2016M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M02,TOTAL,TOTAL,3586
2016M02,TOTAL,Residentes en Espańa,3035.94
2016M02,TOTAL,No residentes en Espańa,550.06
2016M02,Camping de 1Ş,TOTAL,2745
2016M02,Camping de 1Ş,Residentes en Espańa,2745
2016M02,Camping de 1Ş,No residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,TOTAL,
2016M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M03,TOTAL,TOTAL,19385
2016M03,TOTAL,Residentes en Espańa,17342.03
2016M03,TOTAL,No residentes en Espańa,2042.97
2016M03,Camping de 1Ş,TOTAL,14704
2016M03,Camping de 1Ş,Residentes en Espańa,14429.57
2016M03,Camping de 1Ş,No residentes en Espańa,274.43
2016M03,Camping de 2Ş y 3Ş,TOTAL,
2016M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M04,TOTAL,TOTAL,14119.73
2016M04,TOTAL,Residentes en Espańa,11834.76
2016M04,TOTAL,No residentes en Espańa,2284.97
2016M04,Camping de 1Ş,TOTAL,10763.73
2016M04,Camping de 1Ş,Residentes en Espańa,10100.81
2016M04,Camping de 1Ş,No residentes en Espańa,662.92
2016M04,Camping de 2Ş y 3Ş,TOTAL,3356
2016M04,Camping de 2Ş y 3Ş,Residentes en Espańa,1733.95
2016M04,Camping de 2Ş y 3Ş,No residentes en Espańa,1622.05
2016M05,TOTAL,TOTAL,13373
2016M05,TOTAL,Residentes en Espańa,10634.04
2016M05,TOTAL,No residentes en Espańa,2738.96
2016M05,Camping de 1Ş,TOTAL,9594
2016M05,Camping de 1Ş,Residentes en Espańa,7999.96
2016M05,Camping de 1Ş,No residentes en Espańa,1594.04
2016M05,Camping de 2Ş y 3Ş,TOTAL,3779
2016M05,Camping de 2Ş y 3Ş,Residentes en Espańa,2634.08
2016M05,Camping de 2Ş y 3Ş,No residentes en Espańa,1144.92
2016M06,TOTAL,TOTAL,20382.14
2016M06,TOTAL,Residentes en Espańa,15166.79
2016M06,TOTAL,No residentes en Espańa,5215.36
2016M06,Camping de 1Ş,TOTAL,12137.14
2016M06,Camping de 1Ş,Residentes en Espańa,11009.32
2016M06,Camping de 1Ş,No residentes en Espańa,1127.83
2016M06,Camping de 2Ş y 3Ş,TOTAL,8245
2016M06,Camping de 2Ş y 3Ş,Residentes en Espańa,4157.47
2016M06,Camping de 2Ş y 3Ş,No residentes en Espańa,4087.53
2016M07,TOTAL,TOTAL,78146
2016M07,TOTAL,Residentes en Espańa,73527.32
