Periodo,País de residencia,Medida,DATA
2015M11,TOTAL,Viajeros,5283
2015M11,TOTAL,Pernoctaciones,10168
2015M11,RESIDENTES EN ESPAŃA,Viajeros,4772.72
2015M11,RESIDENTES EN ESPAŃA,Pernoctaciones,9315.24
2015M11,NO RESIDENTE EN ESPAŃA,Viajeros,510.28
2015M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,852.76
2015M11,Alemania,Viajeros,6.67
2015M11,Alemania,Pernoctaciones,52.22
2015M11,Francia,Viajeros,70.62
2015M11,Francia,Pernoctaciones,121.14
2015M11,Paises Bajos,Viajeros,36.01
2015M11,Paises Bajos,Pernoctaciones,68.6
2015M11,Reino Unido,Viajeros,376.95
2015M11,Reino Unido,Pernoctaciones,571.88
2015M11,Paises Nordicos,Viajeros,20.02
2015M11,Paises Nordicos,Pernoctaciones,32.44
2015M11,Italia,Viajeros,
2015M11,Italia,Pernoctaciones,6.49
2015M11,Resto de UE,Viajeros,
2015M11,Resto de UE,Pernoctaciones,
2015M11,Resto de Europa,Viajeros,
2015M11,Resto de Europa,Pernoctaciones,
2015M11,Estados Unidos,Viajeros,
2015M11,Estados Unidos,Pernoctaciones,
2015M11,Resto de no residentes en Espańa,Viajeros,
2015M11,Resto de no residentes en Espańa,Pernoctaciones,
2015M11,Resto de America,Viajeros,
2015M11,Resto de America,Pernoctaciones,
2015M12,TOTAL,Viajeros,4634
2015M12,TOTAL,Pernoctaciones,7380
2015M12,RESIDENTES EN ESPAŃA,Viajeros,4634
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7380
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,
2015M12,Alemania,Viajeros,
2015M12,Alemania,Pernoctaciones,
2015M12,Francia,Viajeros,
2015M12,Francia,Pernoctaciones,
2015M12,Paises Bajos,Viajeros,
2015M12,Paises Bajos,Pernoctaciones,
2015M12,Reino Unido,Viajeros,
2015M12,Reino Unido,Pernoctaciones,
2015M12,Paises Nordicos,Viajeros,
2015M12,Paises Nordicos,Pernoctaciones,
2015M12,Italia,Viajeros,
2015M12,Italia,Pernoctaciones,
2015M12,Resto de UE,Viajeros,
2015M12,Resto de UE,Pernoctaciones,
2015M12,Resto de Europa,Viajeros,
2015M12,Resto de Europa,Pernoctaciones,
2015M12,Estados Unidos,Viajeros,
2015M12,Estados Unidos,Pernoctaciones,
2015M12,Resto de no residentes en Espańa,Viajeros,
2015M12,Resto de no residentes en Espańa,Pernoctaciones,
2015M12,Resto de America,Viajeros,
2015M12,Resto de America,Pernoctaciones,
2016M01,TOTAL,Viajeros,1306
2016M01,TOTAL,Pernoctaciones,2751
2016M01,RESIDENTES EN ESPAŃA,Viajeros,1004.45
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,2425.95
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,301.55
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,325.05
2016M01,Alemania,Viajeros,
2016M01,Alemania,Pernoctaciones,
2016M01,Francia,Viajeros,
2016M01,Francia,Pernoctaciones,
2016M01,Paises Bajos,Viajeros,22.32
2016M01,Paises Bajos,Pernoctaciones,19.65
2016M01,Reino Unido,Viajeros,279.22
2016M01,Reino Unido,Pernoctaciones,305.4
2016M01,Paises Nordicos,Viajeros,
2016M01,Paises Nordicos,Pernoctaciones,
2016M01,Italia,Viajeros,
2016M01,Italia,Pernoctaciones,
2016M01,Resto de UE,Viajeros,
2016M01,Resto de UE,Pernoctaciones,
2016M01,Resto de Europa,Viajeros,
2016M01,Resto de Europa,Pernoctaciones,
2016M01,Estados Unidos,Viajeros,
