Periodo,CCAA de residencia,Medida,DATA
2015M11,TOTAL,Viajeros,5283
2015M11,TOTAL,Pernoctaciones,10168
2015M11,NO RESIDENTE EN ESPAŃA,Viajeros,510.28
2015M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,852.76
2015M11,RESIDENTES EN ESPAŃA,Viajeros,4772.72
2015M11,RESIDENTES EN ESPAŃA,Pernoctaciones,9315.24
2015M11,Andalucía,Viajeros,38.65
2015M11,Andalucía,Pernoctaciones,97.95
2015M11,"Balears, Illes",Viajeros,6.67
2015M11,"Balears, Illes",Pernoctaciones,6.49
2015M11,Cataluńa,Viajeros,191.83
2015M11,Cataluńa,Pernoctaciones,262.05
2015M11,Comunitat Valenciana,Viajeros,15.99
2015M11,Comunitat Valenciana,Pernoctaciones,32.76
2015M11,"Madrid, Comunidad de",Viajeros,176.54
2015M11,"Madrid, Comunidad de",Pernoctaciones,320.76
2015M11,"Navarra, Comunidad Foral de",Viajeros,95.91
2015M11,"Navarra, Comunidad Foral de",Pernoctaciones,196.54
2015M11,País Vasco,Viajeros,3612.19
2015M11,País Vasco,Pernoctaciones,7342.19
2015M11,"Rioja, La",Viajeros,628.26
2015M11,"Rioja, La",Pernoctaciones,1001.36
2015M11,Ceuta,Viajeros,6.67
2015M11,Ceuta,Pernoctaciones,12.98
2015M11,Aragón,Viajeros,
2015M11,Aragón,Pernoctaciones,19.46
2015M11,Castilla y León,Viajeros,
2015M11,Castilla y León,Pernoctaciones,22.71
2015M11,"Asturias, Principado de",Viajeros,
2015M11,"Asturias, Principado de",Pernoctaciones,
2015M11,Cantabria,Viajeros,
2015M11,Cantabria,Pernoctaciones,
2015M11,Galicia,Viajeros,
2015M11,Galicia,Pernoctaciones,
2015M11,Castilla - La Mancha,Viajeros,
2015M11,Castilla - La Mancha,Pernoctaciones,
2015M11,Canarias,Viajeros,
2015M11,Canarias,Pernoctaciones,
2015M11,"Murcia, Región de",Viajeros,
2015M11,"Murcia, Región de",Pernoctaciones,
2015M11,Extremadura,Viajeros,
2015M11,Extremadura,Pernoctaciones,
2015M11,Melilla,Viajeros,
2015M11,Melilla,Pernoctaciones,
2015M12,TOTAL,Viajeros,4634
2015M12,TOTAL,Pernoctaciones,7380
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,
2015M12,RESIDENTES EN ESPAŃA,Viajeros,4634
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7380
2015M12,Andalucía,Viajeros,
2015M12,Andalucía,Pernoctaciones,
2015M12,"Balears, Illes",Viajeros,
2015M12,"Balears, Illes",Pernoctaciones,
2015M12,Cataluńa,Viajeros,
2015M12,Cataluńa,Pernoctaciones,
2015M12,Comunitat Valenciana,Viajeros,
2015M12,Comunitat Valenciana,Pernoctaciones,
2015M12,"Madrid, Comunidad de",Viajeros,
2015M12,"Madrid, Comunidad de",Pernoctaciones,
2015M12,"Navarra, Comunidad Foral de",Viajeros,
2015M12,"Navarra, Comunidad Foral de",Pernoctaciones,
2015M12,País Vasco,Viajeros,3986.23
2015M12,País Vasco,Pernoctaciones,6000.27
2015M12,"Rioja, La",Viajeros,587.83
2015M12,"Rioja, La",Pernoctaciones,1235.33
2015M12,Ceuta,Viajeros,
2015M12,Ceuta,Pernoctaciones,
2015M12,Aragón,Viajeros,59.94
2015M12,Aragón,Pernoctaciones,26.73
2015M12,Castilla y León,Viajeros,
2015M12,Castilla y León,Pernoctaciones,117.67
2015M12,"Asturias, Principado de",Viajeros,
2015M12,"Asturias, Principado de",Pernoctaciones,
2015M12,Cantabria,Viajeros,
2015M12,Cantabria,Pernoctaciones,
