Periodo,Categoría,Grado de ocupación,DATA
2015M11,TOTAL,grado de ocupación por parcelas,56.47
2015M11,TOTAL,grado de ocupacion por parcelas fin de semana,57
2015M11,Camping de 1Ş,grado de ocupación por parcelas,62.49
2015M11,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.89
2015M11,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2015M11,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2015M12,TOTAL,grado de ocupación por parcelas,61.96
2015M12,TOTAL,grado de ocupacion por parcelas fin de semana,39.78
2015M12,Camping de 1Ş,grado de ocupación por parcelas,66.06
2015M12,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,42.66
2015M12,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2015M12,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M01,TOTAL,grado de ocupación por parcelas,63.04
2016M01,TOTAL,grado de ocupacion por parcelas fin de semana,62.75
2016M01,Camping de 1Ş,grado de ocupación por parcelas,63.04
2016M01,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.75
2016M01,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M01,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M02,TOTAL,grado de ocupación por parcelas,58.42
2016M02,TOTAL,grado de ocupacion por parcelas fin de semana,58.64
2016M02,Camping de 1Ş,grado de ocupación por parcelas,65.98
2016M02,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,66.29
2016M02,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M02,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M03,TOTAL,grado de ocupación por parcelas,59.43
2016M03,TOTAL,grado de ocupacion por parcelas fin de semana,58.85
2016M03,Camping de 1Ş,grado de ocupación por parcelas,65.35
2016M03,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.74
2016M03,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M03,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M04,TOTAL,grado de ocupación por parcelas,59.29
2016M04,TOTAL,grado de ocupacion por parcelas fin de semana,58.65
2016M04,Camping de 1Ş,grado de ocupación por parcelas,66.22
2016M04,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.96
2016M04,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,6.53
2016M04,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,36.9
2016M05,TOTAL,grado de ocupación por parcelas,57.19
2016M05,TOTAL,grado de ocupacion por parcelas fin de semana,60.35
2016M05,Camping de 1Ş,grado de ocupación por parcelas,62.75
2016M05,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.27
2016M05,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,7.2
2016M05,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,45.8
2016M06,TOTAL,grado de ocupación por parcelas,62.86
2016M06,TOTAL,grado de ocupacion por parcelas fin de semana,63.8
2016M06,Camping de 1Ş,grado de ocupación por parcelas,67.64
2016M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,68.71
2016M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,8.97
2016M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,48.48
2016M07,TOTAL,grado de ocupación por parcelas,64.88
2016M07,TOTAL,grado de ocupacion por parcelas fin de semana,68.62
2016M07,Camping de 1Ş,grado de ocupación por parcelas,67.99
2016M07,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,71.31
2016M07,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,10.71
2016M07,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,73.41
2016M08,TOTAL,grado de ocupación por parcelas,71.31
2016M08,TOTAL,grado de ocupacion por parcelas fin de semana,72.88
2016M08,Camping de 1Ş,grado de ocupación por parcelas,74.14
2016M08,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,75.59
2016M08,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,12.24
2016M08,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,82.5
2016M09,TOTAL,grado de ocupación por parcelas,61.32
2016M09,TOTAL,grado de ocupacion por parcelas fin de semana,63.19
2016M09,Camping de 1Ş,grado de ocupación por parcelas,64.84
2016M09,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.33
2016M09,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M09,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M10,TOTAL,grado de ocupación por parcelas,59.61
2016M10,TOTAL,grado de ocupacion por parcelas fin de semana,57.97
2016M10,Camping de 1Ş,grado de ocupación por parcelas,64.88
2016M10,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,66.96
2016M10,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M10,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M11,TOTAL,grado de ocupación por parcelas,56.09
2016M11,TOTAL,grado de ocupacion por parcelas fin de semana,56.6
2016M11,Camping de 1Ş,grado de ocupación por parcelas,62.44
2016M11,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.63
2016M11,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M11,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2016M12,TOTAL,grado de ocupación por parcelas,60.87
2016M12,TOTAL,grado de ocupacion por parcelas fin de semana,58.58
2016M12,Camping de 1Ş,grado de ocupación por parcelas,65.12
2016M12,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,70.53
2016M12,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2016M12,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M01,TOTAL,grado de ocupación por parcelas,63.92
2017M01,TOTAL,grado de ocupacion por parcelas fin de semana,62.65
2017M01,Camping de 1Ş,grado de ocupación por parcelas,63.92
2017M01,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.65
2017M01,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M01,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M02,TOTAL,grado de ocupación por parcelas,59.3
2017M02,TOTAL,grado de ocupacion por parcelas fin de semana,58.62
2017M02,Camping de 1Ş,grado de ocupación por parcelas,66.99
2017M02,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.32
2017M02,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M02,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M03,TOTAL,grado de ocupación por parcelas,58.38
2017M03,TOTAL,grado de ocupacion por parcelas fin de semana,60.47
2017M03,Camping de 1Ş,grado de ocupación por parcelas,65.3
2017M03,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.65
2017M03,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M03,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M04,TOTAL,grado de ocupación por parcelas,64.89
2017M04,TOTAL,grado de ocupacion por parcelas fin de semana,62.13
2017M04,Camping de 1Ş,grado de ocupación por parcelas,71.4
2017M04,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,69.43
2017M04,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,8.01
2017M04,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,39.89
2017M05,TOTAL,grado de ocupación por parcelas,60.26
2017M05,TOTAL,grado de ocupacion por parcelas fin de semana,60.15
2017M05,Camping de 1Ş,grado de ocupación por parcelas,66.09
2017M05,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.2
2017M05,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,7.61
2017M05,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,56.14
2017M06,TOTAL,grado de ocupación por parcelas,67.17
2017M06,TOTAL,grado de ocupacion por parcelas fin de semana,61.01
2017M06,Camping de 1Ş,grado de ocupación por parcelas,72.89
2017M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.56
2017M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,9.1
2017M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,51.51
2017M07,TOTAL,grado de ocupación por parcelas,68.36
2017M07,TOTAL,grado de ocupacion por parcelas fin de semana,70.72
2017M07,Camping de 1Ş,grado de ocupación por parcelas,72.39
2017M07,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,73.82
2017M07,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,10.87
2017M07,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,66.04
2017M08,TOTAL,grado de ocupación por parcelas,74.3
2017M08,TOTAL,grado de ocupacion por parcelas fin de semana,73.16
2017M08,Camping de 1Ş,grado de ocupación por parcelas,79.17
2017M08,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,75.62
2017M08,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,11.41
2017M08,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,80.58
2017M09,TOTAL,grado de ocupación por parcelas,61.81
2017M09,TOTAL,grado de ocupacion por parcelas fin de semana,62.83
2017M09,Camping de 1Ş,grado de ocupación por parcelas,65.97
2017M09,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.63
2017M09,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M09,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M10,TOTAL,grado de ocupación por parcelas,62.16
2017M10,TOTAL,grado de ocupacion por parcelas fin de semana,57.74
2017M10,Camping de 1Ş,grado de ocupación por parcelas,68.27
2017M10,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,63.01
2017M10,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M10,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M11,TOTAL,grado de ocupación por parcelas,60.18
2017M11,TOTAL,grado de ocupacion por parcelas fin de semana,58.49
2017M11,Camping de 1Ş,grado de ocupación por parcelas,67.95
2017M11,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.23
2017M11,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M11,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2017M12,TOTAL,grado de ocupación por parcelas,63.49
2017M12,TOTAL,grado de ocupacion por parcelas fin de semana,62.56
2017M12,Camping de 1Ş,grado de ocupación por parcelas,65.85
2017M12,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.56
2017M12,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2017M12,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M01,TOTAL,grado de ocupación por parcelas,60.05
2018M01,TOTAL,grado de ocupacion por parcelas fin de semana,57.3
2018M01,Camping de 1Ş,grado de ocupación por parcelas,60.05
2018M01,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,57.3
2018M01,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M01,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M02,TOTAL,grado de ocupación por parcelas,57.81
2018M02,TOTAL,grado de ocupacion por parcelas fin de semana,56.82
2018M02,Camping de 1Ş,grado de ocupación por parcelas,63.09
2018M02,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,61.18
2018M02,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M02,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M03,TOTAL,grado de ocupación por parcelas,59.71
2018M03,TOTAL,grado de ocupacion por parcelas fin de semana,58.92
2018M03,Camping de 1Ş,grado de ocupación por parcelas,66.72
2018M03,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,66.03
2018M03,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M03,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M04,TOTAL,grado de ocupación por parcelas,58.46
2018M04,TOTAL,grado de ocupacion por parcelas fin de semana,60.16
2018M04,Camping de 1Ş,grado de ocupación por parcelas,64.82
2018M04,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,66.85
2018M04,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,6.98
2018M04,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,38.4
2018M05,TOTAL,grado de ocupación por parcelas,57.31
2018M05,TOTAL,grado de ocupacion por parcelas fin de semana,60.03
2018M05,Camping de 1Ş,grado de ocupación por parcelas,64.6
2018M05,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.67
2018M05,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,6
2018M05,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,48.02
2018M06,TOTAL,grado de ocupación por parcelas,61.91
2018M06,TOTAL,grado de ocupacion por parcelas fin de semana,59.85
2018M06,Camping de 1Ş,grado de ocupación por parcelas,67.03
2018M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.41
2018M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,8.66
2018M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,47.37
2018M07,TOTAL,grado de ocupación por parcelas,65.74
2018M07,TOTAL,grado de ocupacion por parcelas fin de semana,74.34
2018M07,Camping de 1Ş,grado de ocupación por parcelas,69.59
2018M07,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,78.3
2018M07,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,10.55
2018M07,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,65.26
2018M08,TOTAL,grado de ocupación por parcelas,75.18
2018M08,TOTAL,grado de ocupacion por parcelas fin de semana,77.11
2018M08,Camping de 1Ş,grado de ocupación por parcelas,79.3
2018M08,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,80.93
2018M08,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,12.16
2018M08,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,74.56
2018M09,TOTAL,grado de ocupación por parcelas,62.04
2018M09,TOTAL,grado de ocupacion por parcelas fin de semana,70.73
2018M09,Camping de 1Ş,grado de ocupación por parcelas,66
2018M09,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,73.9
2018M09,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M09,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M10,TOTAL,grado de ocupación por parcelas,62.64
2018M10,TOTAL,grado de ocupacion por parcelas fin de semana,60.72
2018M10,Camping de 1Ş,grado de ocupación por parcelas,68.78
2018M10,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.62
2018M10,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M10,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M11,TOTAL,grado de ocupación por parcelas,60.86
2018M11,TOTAL,grado de ocupacion por parcelas fin de semana,59.54
2018M11,Camping de 1Ş,grado de ocupación por parcelas,68.89
2018M11,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.28
2018M11,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M11,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2018M12,TOTAL,grado de ocupación por parcelas,69.83
2018M12,TOTAL,grado de ocupacion por parcelas fin de semana,50.75
2018M12,Camping de 1Ş,grado de ocupación por parcelas,73.1
2018M12,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,54.81
2018M12,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2018M12,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2019M01,TOTAL,grado de ocupación por parcelas,63.31
2019M01,TOTAL,grado de ocupacion por parcelas fin de semana,65.31
2019M01,Camping de 1Ş,grado de ocupación por parcelas,65.46
2019M01,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.31
2019M01,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2019M01,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2019M02,TOTAL,grado de ocupación por parcelas,61.55
2019M02,TOTAL,grado de ocupacion por parcelas fin de semana,59.06
2019M02,Camping de 1Ş,grado de ocupación por parcelas,66.18
2019M02,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.83
2019M02,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2019M02,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2019M03,TOTAL,grado de ocupación por parcelas,66.55
2019M03,TOTAL,grado de ocupacion por parcelas fin de semana,61.64
2019M03,Camping de 1Ş,grado de ocupación por parcelas,70.08
2019M03,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,67.52
2019M03,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2019M03,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2019M04,TOTAL,grado de ocupación por parcelas,62.99
2019M04,TOTAL,grado de ocupacion por parcelas fin de semana,61.88
2019M04,Camping de 1Ş,grado de ocupación por parcelas,69.24
2019M04,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,69.21
2019M04,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,7.2
2019M04,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,38.68
2019M05,TOTAL,grado de ocupación por parcelas,60.9
2019M05,TOTAL,grado de ocupacion por parcelas fin de semana,60.78
2019M05,Camping de 1Ş,grado de ocupación por parcelas,67.23
2019M05,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,66.76
2019M05,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,7.49
2019M05,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,48.91
2019M06,TOTAL,grado de ocupación por parcelas,64.52
2019M06,TOTAL,grado de ocupacion por parcelas fin de semana,66.98
2019M06,Camping de 1Ş,grado de ocupación por parcelas,69.6
2019M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,70.7
2019M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,9.23
2019M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,57.12
2019M07,TOTAL,grado de ocupación por parcelas,71.26
2019M07,TOTAL,grado de ocupacion por parcelas fin de semana,77.42
