Periodo,Categoría,DATA
2015M11,TOTAL,8
2015M11,Camping de 1Ş,6
2015M11,Camping de 2Ş y 3Ş,
2015M12,TOTAL,4.35
2015M12,Camping de 1Ş,3.65
2015M12,Camping de 2Ş y 3Ş,
2016M01,TOTAL,4.39
2016M01,Camping de 1Ş,4.39
2016M01,Camping de 2Ş y 3Ş,
2016M02,TOTAL,7
2016M02,Camping de 1Ş,5
2016M02,Camping de 2Ş y 3Ş,
2016M03,TOTAL,8.26
2016M03,Camping de 1Ş,6.26
2016M03,Camping de 2Ş y 3Ş,
2016M04,TOTAL,9
2016M04,Camping de 1Ş,6
2016M04,Camping de 2Ş y 3Ş,3
2016M05,TOTAL,9
2016M05,Camping de 1Ş,6
2016M05,Camping de 2Ş y 3Ş,3
2016M06,TOTAL,9
2016M06,Camping de 1Ş,6
2016M06,Camping de 2Ş y 3Ş,3
2016M07,TOTAL,9
2016M07,Camping de 1Ş,6
2016M07,Camping de 2Ş y 3Ş,3
2016M08,TOTAL,9
2016M08,Camping de 1Ş,6
2016M08,Camping de 2Ş y 3Ş,3
2016M09,TOTAL,8.33
2016M09,Camping de 1Ş,6.33
2016M09,Camping de 2Ş y 3Ş,
2016M10,TOTAL,8
2016M10,Camping de 1Ş,6
2016M10,Camping de 2Ş y 3Ş,
2016M11,TOTAL,8
2016M11,Camping de 1Ş,6
2016M11,Camping de 2Ş y 3Ş,
2016M12,TOTAL,4.16
2016M12,Camping de 1Ş,3.35
2016M12,Camping de 2Ş y 3Ş,
2017M01,TOTAL,4.35
2017M01,Camping de 1Ş,4.35
2017M01,Camping de 2Ş y 3Ş,
2017M02,TOTAL,7
2017M02,Camping de 1Ş,5
2017M02,Camping de 2Ş y 3Ş,
2017M03,TOTAL,7
2017M03,Camping de 1Ş,5
2017M03,Camping de 2Ş y 3Ş,
2017M04,TOTAL,9
2017M04,Camping de 1Ş,6
2017M04,Camping de 2Ş y 3Ş,3
2017M05,TOTAL,9
2017M05,Camping de 1Ş,6
2017M05,Camping de 2Ş y 3Ş,3
2017M06,TOTAL,9
2017M06,Camping de 1Ş,6
2017M06,Camping de 2Ş y 3Ş,3
2017M07,TOTAL,9
2017M07,Camping de 1Ş,6
2017M07,Camping de 2Ş y 3Ş,3
2017M08,TOTAL,9
2017M08,Camping de 1Ş,6
2017M08,Camping de 2Ş y 3Ş,3
2017M09,TOTAL,8.33
2017M09,Camping de 1Ş,6
2017M09,Camping de 2Ş y 3Ş,
2017M10,TOTAL,8
2017M10,Camping de 1Ş,6
2017M10,Camping de 2Ş y 3Ş,
2017M11,TOTAL,7
2017M11,Camping de 1Ş,5
2017M11,Camping de 2Ş y 3Ş,
2017M12,TOTAL,4.26
2017M12,Camping de 1Ş,3.68
2017M12,Camping de 2Ş y 3Ş,
2018M01,TOTAL,4.42
2018M01,Camping de 1Ş,4.42
2018M01,Camping de 2Ş y 3Ş,
2018M02,TOTAL,7
2018M02,Camping de 1Ş,5
2018M02,Camping de 2Ş y 3Ş,
2018M03,TOTAL,7
2018M03,Camping de 1Ş,5
2018M03,Camping de 2Ş y 3Ş,
2018M04,TOTAL,9
2018M04,Camping de 1Ş,6
2018M04,Camping de 2Ş y 3Ş,3
2018M05,TOTAL,9
2018M05,Camping de 1Ş,6
2018M05,Camping de 2Ş y 3Ş,3
2018M06,TOTAL,9
2018M06,Camping de 1Ş,6
2018M06,Camping de 2Ş y 3Ş,3
2018M07,TOTAL,8.9
2018M07,Camping de 1Ş,5.9
2018M07,Camping de 2Ş y 3Ş,3
2018M08,TOTAL,9
2018M08,Camping de 1Ş,6
2018M08,Camping de 2Ş y 3Ş,3
2018M09,TOTAL,8.33
2018M09,Camping de 1Ş,6
