Periodo,Categoría,Residencia viajero,DATA
2015M11,TOTAL,TOTAL,5283
2015M11,TOTAL,Residentes en Espańa,4772.72
2015M11,TOTAL,No residentes en Espańa,510.28
2015M11,Camping de 1Ş,TOTAL,4452
2015M11,Camping de 1Ş,Residentes en Espańa,4292.14
2015M11,Camping de 1Ş,No residentes en Espańa,159.86
2015M11,Camping de 2Ş y 3Ş,TOTAL,
2015M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2015M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2015M12,TOTAL,TOTAL,4634
2015M12,TOTAL,Residentes en Espańa,4634
2015M12,TOTAL,No residentes en Espańa,
2015M12,Camping de 1Ş,TOTAL,4226
2015M12,Camping de 1Ş,Residentes en Espańa,4226
2015M12,Camping de 1Ş,No residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,TOTAL,
2015M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2015M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M01,TOTAL,TOTAL,1306
2016M01,TOTAL,Residentes en Espańa,1004.7
2016M01,TOTAL,No residentes en Espańa,301.3
2016M01,Camping de 1Ş,TOTAL,1306
2016M01,Camping de 1Ş,Residentes en Espańa,1004.7
2016M01,Camping de 1Ş,No residentes en Espańa,301.3
2016M01,Camping de 2Ş y 3Ş,TOTAL,
2016M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M02,TOTAL,TOTAL,1773
2016M02,TOTAL,Residentes en Espańa,1425
2016M02,TOTAL,No residentes en Espańa,348
2016M02,Camping de 1Ş,TOTAL,1257
2016M02,Camping de 1Ş,Residentes en Espańa,1257
2016M02,Camping de 1Ş,No residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,TOTAL,
2016M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M03,TOTAL,TOTAL,6966
2016M03,TOTAL,Residentes en Espańa,6115.04
2016M03,TOTAL,No residentes en Espańa,850.96
2016M03,Camping de 1Ş,TOTAL,5394
2016M03,Camping de 1Ş,Residentes en Espańa,5200.61
2016M03,Camping de 1Ş,No residentes en Espańa,193.39
2016M03,Camping de 2Ş y 3Ş,TOTAL,
2016M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M04,TOTAL,TOTAL,5859.94
2016M04,TOTAL,Residentes en Espańa,4398.22
2016M04,TOTAL,No residentes en Espańa,1461.73
2016M04,Camping de 1Ş,TOTAL,4288.94
2016M04,Camping de 1Ş,Residentes en Espańa,3888.74
2016M04,Camping de 1Ş,No residentes en Espańa,400.2
2016M04,Camping de 2Ş y 3Ş,TOTAL,1571
2016M04,Camping de 2Ş y 3Ş,Residentes en Espańa,509.47
2016M04,Camping de 2Ş y 3Ş,No residentes en Espańa,1061.53
2016M05,TOTAL,TOTAL,5883
2016M05,TOTAL,Residentes en Espańa,4474.43
2016M05,TOTAL,No residentes en Espańa,1408.57
2016M05,Camping de 1Ş,TOTAL,3877
2016M05,Camping de 1Ş,Residentes en Espańa,3162.99
2016M05,Camping de 1Ş,No residentes en Espańa,714.01
2016M05,Camping de 2Ş y 3Ş,TOTAL,2006
2016M05,Camping de 2Ş y 3Ş,Residentes en Espańa,1311.44
2016M05,Camping de 2Ş y 3Ş,No residentes en Espańa,694.56
2016M06,TOTAL,TOTAL,8769.62
2016M06,TOTAL,Residentes en Espańa,6415.2
2016M06,TOTAL,No residentes en Espańa,2354.42
2016M06,Camping de 1Ş,TOTAL,4989.62
2016M06,Camping de 1Ş,Residentes en Espańa,4458.3
2016M06,Camping de 1Ş,No residentes en Espańa,531.32
2016M06,Camping de 2Ş y 3Ş,TOTAL,3780
2016M06,Camping de 2Ş y 3Ş,Residentes en Espańa,1956.9
2016M06,Camping de 2Ş y 3Ş,No residentes en Espańa,1823.1
2016M07,TOTAL,TOTAL,26438
2016M07,TOTAL,Residentes en Espańa,23564
2016M07,TOTAL,No residentes en Espańa,2874
2016M07,Camping de 1Ş,TOTAL,21584
2016M07,Camping de 1Ş,Residentes en Espańa,19906.31
2016M07,Camping de 1Ş,No residentes en Espańa,1677.69
2016M07,Camping de 2Ş y 3Ş,TOTAL,4854
2016M07,Camping de 2Ş y 3Ş,Residentes en Espańa,3657.69
2016M07,Camping de 2Ş y 3Ş,No residentes en Espańa,1196.31
2016M08,TOTAL,TOTAL,29633
2016M08,TOTAL,Residentes en Espańa,25032.93
2016M08,TOTAL,No residentes en Espańa,4600.07
2016M08,Camping de 1Ş,TOTAL,25464
2016M08,Camping de 1Ş,Residentes en Espańa,21767.79
2016M08,Camping de 1Ş,No residentes en Espańa,3696.21
2016M08,Camping de 2Ş y 3Ş,TOTAL,4169
2016M08,Camping de 2Ş y 3Ş,Residentes en Espańa,3265.14
2016M08,Camping de 2Ş y 3Ş,No residentes en Espańa,903.86
2016M09,TOTAL,TOTAL,10771
2016M09,TOTAL,Residentes en Espańa,8701.08
2016M09,TOTAL,No residentes en Espańa,2069.92
2016M09,Camping de 1Ş,TOTAL,7660
2016M09,Camping de 1Ş,Residentes en Espańa,6746.22
2016M09,Camping de 1Ş,No residentes en Espańa,913.78
2016M09,Camping de 2Ş y 3Ş,TOTAL,
2016M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M10,TOTAL,TOTAL,6350
2016M10,TOTAL,Residentes en Espańa,4852.18
2016M10,TOTAL,No residentes en Espańa,1497.82
2016M10,Camping de 1Ş,TOTAL,4187
2016M10,Camping de 1Ş,Residentes en Espańa,3780.36
2016M10,Camping de 1Ş,No residentes en Espańa,406.64
2016M10,Camping de 2Ş y 3Ş,TOTAL,
2016M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M11,TOTAL,TOTAL,5370
2016M11,TOTAL,Residentes en Espańa,4493.74
2016M11,TOTAL,No residentes en Espańa,876.26
2016M11,Camping de 1Ş,TOTAL,4747
2016M11,Camping de 1Ş,Residentes en Espańa,4248.86
2016M11,Camping de 1Ş,No residentes en Espańa,498.14
