Periodo,Residencia viajero,DATA
2015M12,TOTAL,3121.27
2015M12,Residentes en Espańa,3075.62
2015M12,No residentes en Espańa,45.65
2016M01,TOTAL,1289.6
2016M01,Residentes en Espańa,1250.29
2016M01,No residentes en Espańa,39.32
2016M02,TOTAL,1867.07
2016M02,Residentes en Espańa,1820.91
2016M02,No residentes en Espańa,46.16
2016M03,TOTAL,3207.3
2016M03,Residentes en Espańa,3147.1
2016M03,No residentes en Espańa,60.21
2016M04,TOTAL,2794.64
2016M04,Residentes en Espańa,2671.5
2016M04,No residentes en Espańa,123.14
2016M05,TOTAL,3213.69
2016M05,Residentes en Espańa,2838.06
2016M05,No residentes en Espańa,375.63
2016M06,TOTAL,2258.43
2016M06,Residentes en Espańa,1994.9
2016M06,No residentes en Espańa,263.53
2016M07,TOTAL,3054.28
2016M07,Residentes en Espańa,2598.17
2016M07,No residentes en Espańa,456.11
2016M08,TOTAL,4617.9
2016M08,Residentes en Espańa,4143.93
2016M08,No residentes en Espańa,473.96
2016M09,TOTAL,3065.76
2016M09,Residentes en Espańa,2620.73
2016M09,No residentes en Espańa,445.03
2016M10,TOTAL,4316.43
2016M10,Residentes en Espańa,3999.27
2016M10,No residentes en Espańa,317.16
2016M11,TOTAL,2738.38
2016M11,Residentes en Espańa,2681.65
2016M11,No residentes en Espańa,56.73
2016M12,TOTAL,3304.51
2016M12,Residentes en Espańa,3276.42
2016M12,No residentes en Espańa,28.09
2017M01,TOTAL,1057.09
2017M01,Residentes en Espańa,1017.48
2017M01,No residentes en Espańa,39.61
2017M02,TOTAL,2257.63
2017M02,Residentes en Espańa,2202.81
2017M02,No residentes en Espańa,54.82
2017M03,TOTAL,3040.04
2017M03,Residentes en Espańa,2968.51
2017M03,No residentes en Espańa,71.53
2017M04,TOTAL,4283.76
2017M04,Residentes en Espańa,4037.39
2017M04,No residentes en Espańa,246.37
2017M05,TOTAL,3091.85
2017M05,Residentes en Espańa,2784.69
2017M05,No residentes en Espańa,307.15
2017M06,TOTAL,3361.28
2017M06,Residentes en Espańa,3031.38
2017M06,No residentes en Espańa,329.89
2017M07,TOTAL,3875.52
2017M07,Residentes en Espańa,3568.5
2017M07,No residentes en Espańa,307.02
2017M08,TOTAL,5370.25
2017M08,Residentes en Espańa,4970.48
2017M08,No residentes en Espańa,399.78
2017M09,TOTAL,3818.03
2017M09,Residentes en Espańa,3478.43
2017M09,No residentes en Espańa,339.6
2017M10,TOTAL,4064.12
2017M10,Residentes en Espańa,3924.67
2017M10,No residentes en Espańa,139.46
2017M11,TOTAL,2838.91
2017M11,Residentes en Espańa,2809.03
2017M11,No residentes en Espańa,29.88
2017M12,TOTAL,3095.48
2017M12,Residentes en Espańa,3061.25
2017M12,No residentes en Espańa,34.23
2018M01,TOTAL,1195.1
2018M01,Residentes en Espańa,1170.15
2018M01,No residentes en Espańa,24.95
2018M02,TOTAL,1778.93
2018M02,Residentes en Espańa,1724.04
2018M02,No residentes en Espańa,54.89
2018M03,TOTAL,3291.87
2018M03,Residentes en Espańa,3202.5
2018M03,No residentes en Espańa,89.37
2018M04,TOTAL,3609.96
2018M04,Residentes en Espańa,3434.81
2018M04,No residentes en Espańa,175.15
2018M05,TOTAL,3150.2
2018M05,Residentes en Espańa,2860.72
2018M05,No residentes en Espańa,289.48
2018M06,TOTAL,3620.41
2018M06,Residentes en Espańa,3343.81
2018M06,No residentes en Espańa,276.59
2018M07,TOTAL,3473.38
2018M07,Residentes en Espańa,3154.4
2018M07,No residentes en Espańa,318.98
2018M08,TOTAL,4709.41
2018M08,Residentes en Espańa,4200.49
2018M08,No residentes en Espańa,508.92
2018M09,TOTAL,3766.91
2018M09,Residentes en Espańa,3366.69
2018M09,No residentes en Espańa,400.22
2018M10,TOTAL,3971.36
2018M10,Residentes en Espańa,3832.82
2018M10,No residentes en Espańa,138.54
2018M11,TOTAL,3586.96
2018M11,Residentes en Espańa,3538.03
2018M11,No residentes en Espańa,48.94
2018M12,TOTAL,3046.91
2018M12,Residentes en Espańa,3020.25
2018M12,No residentes en Espańa,26.66
2019M01,TOTAL,814.04
2019M01,Residentes en Espańa,804.4
2019M01,No residentes en Espańa,9.63
2019M02,TOTAL,1888.18
2019M02,Residentes en Espańa,1840.02
2019M02,No residentes en Espańa,48.17
2019M03,TOTAL,3308.2
2019M03,Residentes en Espańa,3245
2019M03,No residentes en Espańa,63.2
2019M04,TOTAL,3022.67
2019M04,Residentes en Espańa,2887.15
2019M04,No residentes en Espańa,135.52
2019M05,TOTAL,3184.82
2019M05,Residentes en Espańa,2870.21
2019M05,No residentes en Espańa,314.61
2019M06,TOTAL,3227.22
2019M06,Residentes en Espańa,2955.27
2019M06,No residentes en Espańa,271.94
2019M07,TOTAL,3682.53
2019M07,Residentes en Espańa,3169.43
2019M07,No residentes en Espańa,513.1
2019M08,TOTAL,4674.8
2019M08,Residentes en Espańa,3857.03
2019M08,No residentes en Espańa,817.77
2019M09,TOTAL,3944.23
2019M09,Residentes en Espańa,3316.07
2019M09,No residentes en Espańa,628.15
2019M10,TOTAL,4452.05
2019M10,Residentes en Espańa,4068
2019M10,No residentes en Espańa,384.05
2019M11,TOTAL,3495.55
2019M11,Residentes en Espańa,3390.33
2019M11,No residentes en Espańa,105.23
2019M12,TOTAL,3524.76
2019M12,Residentes en Espańa,3488.74
2019M12,No residentes en Espańa,36.02
2020M01,TOTAL,1176.28
2020M01,Residentes en Espańa,1150.98
2020M01,No residentes en Espańa,25.3
2020M02,TOTAL,2081.71
2020M02,Residentes en Espańa,2043.76
2020M02,No residentes en Espańa,37.94
2020M03,TOTAL,534.82
2020M03,Residentes en Espańa,532.34
2020M03,No residentes en Espańa,2.48
2020M05,TOTAL,141.45
2020M05,Residentes en Espańa,139.01
2020M05,No residentes en Espańa,2.44
2020M06,TOTAL,989.78
2020M06,Residentes en Espańa,965.87
2020M06,No residentes en Espańa,23.91
2020M07,TOTAL,3066.3
2020M07,Residentes en Espańa,2910.14
2020M07,No residentes en Espańa,156.17
2020M08,TOTAL,3906.44
2020M08,Residentes en Espańa,3828
2020M08,No residentes en Espańa,78.43
2020M09,TOTAL,1494.23
2020M09,Residentes en Espańa,1396.21
2020M09,No residentes en Espańa,98.02
2020M10,TOTAL,1048.09
2020M10,Residentes en Espańa,1036.01
2020M10,No residentes en Espańa,12.07
2020M11,TOTAL,347.75
2020M11,Residentes en Espańa,338.09
2020M11,No residentes en Espańa,9.66
2020M12,TOTAL,496.57
2020M12,Residentes en Espańa,496.57
2020M12,No residentes en Espańa,
2021M01,TOTAL,154.07
2021M01,Residentes en Espańa,149.25
2021M01,No residentes en Espańa,4.81
2021M02,TOTAL,250.74
2021M02,Residentes en Espańa,246.01
2021M02,No residentes en Espańa,4.73
2021M03,TOTAL,437.75
2021M03,Residentes en Espańa,401.09
2021M03,No residentes en Espańa,36.66
2021M04,TOTAL,911.37
2021M04,Residentes en Espańa,906.73
2021M04,No residentes en Espańa,4.64
2021M05,TOTAL,1159.5
2021M05,Residentes en Espańa,1124.71
2021M05,No residentes en Espańa,34.78
2021M06,TOTAL,1751.96
2021M06,Residentes en Espańa,1636.09
2021M06,No residentes en Espańa,115.87
2021M07,TOTAL,3578.67
2021M07,Residentes en Espańa,3324.15
2021M07,No residentes en Espańa,254.52
2021M08,TOTAL,3875.78
2021M08,Residentes en Espańa,3450.14
2021M08,No residentes en Espańa,425.63
2021M09,TOTAL,2461.13
2021M09,Residentes en Espańa,2185.54
2021M09,No residentes en Espańa,275.59
2021M10,TOTAL,3392.16
2021M10,Residentes en Espańa,3206.71
2021M10,No residentes en Espańa,185.45
2021M11,TOTAL,2312.3
2021M11,Residentes en Espańa,2253.62
2021M11,No residentes en Espańa,58.69
2021M12,TOTAL,2230.14
2021M12,Residentes en Espańa,2164.41
2021M12,No residentes en Espańa,65.73
2022M01,TOTAL,960.21
2022M01,Residentes en Espańa,932.04
2022M01,No residentes en Espańa,28.17
2022M02,TOTAL,1333.6
2022M02,Residentes en Espańa,1268.3
