Periodo,Residencia viajero,DATA
2015M12,TOTAL,7263.94
2015M12,Residentes en Espańa,7155.53
2015M12,No residentes en Espańa,108.42
2016M01,TOTAL,3271.19
2016M01,Residentes en Espańa,3134.89
2016M01,No residentes en Espańa,136.3
2016M02,TOTAL,3775.17
2016M02,Residentes en Espańa,3718.75
2016M02,No residentes en Espańa,56.42
2016M03,TOTAL,8354.86
2016M03,Residentes en Espańa,8256.34
2016M03,No residentes en Espańa,98.52
2016M04,TOTAL,5517
2016M04,Residentes en Espańa,5308.21
2016M04,No residentes en Espańa,208.79
2016M05,TOTAL,6539.54
2016M05,Residentes en Espańa,5830.02
2016M05,No residentes en Espańa,709.51
2016M06,TOTAL,4440.25
2016M06,Residentes en Espańa,3956.08
2016M06,No residentes en Espańa,484.17
2016M07,TOTAL,6686.83
2016M07,Residentes en Espańa,5744.75
2016M07,No residentes en Espańa,942.07
2016M08,TOTAL,13167.35
2016M08,Residentes en Espańa,12180.57
2016M08,No residentes en Espańa,986.77
2016M09,TOTAL,5949.34
2016M09,Residentes en Espańa,5137.36
2016M09,No residentes en Espańa,811.98
2016M10,TOTAL,8996.43
2016M10,Residentes en Espańa,8351.8
2016M10,No residentes en Espańa,644.63
2016M11,TOTAL,5234.38
2016M11,Residentes en Espańa,5151.87
2016M11,No residentes en Espańa,82.51
2016M12,TOTAL,7699.46
2016M12,Residentes en Espańa,7640.73
2016M12,No residentes en Espańa,58.74
2017M01,TOTAL,1955.73
2017M01,Residentes en Espańa,1896.32
2017M01,No residentes en Espańa,59.41
2017M02,TOTAL,4056.76
2017M02,Residentes en Espańa,3991.98
2017M02,No residentes en Espańa,64.79
2017M03,TOTAL,5502.73
2017M03,Residentes en Espańa,5390.32
2017M03,No residentes en Espańa,112.4
2017M04,TOTAL,11433.42
2017M04,Residentes en Espańa,10840.13
2017M04,No residentes en Espańa,593.29
2017M05,TOTAL,6262.38
2017M05,Residentes en Espańa,5566.85
2017M05,No residentes en Espańa,695.54
2017M06,TOTAL,6460.2
2017M06,Residentes en Espańa,5857.56
2017M06,No residentes en Espańa,602.64
2017M07,TOTAL,8412.89
2017M07,Residentes en Espańa,7738.45
2017M07,No residentes en Espańa,674.44
2017M08,TOTAL,14796.85
2017M08,Residentes en Espańa,13923.45
2017M08,No residentes en Espańa,873.4
2017M09,TOTAL,8020.61
2017M09,Residentes en Espańa,7376.36
2017M09,No residentes en Espańa,644.25
2017M10,TOTAL,8857.9
2017M10,Residentes en Espańa,8613.85
2017M10,No residentes en Espańa,244.05
2017M11,TOTAL,5354.09
2017M11,Residentes en Espańa,5314.24
2017M11,No residentes en Espańa,39.84
2017M12,TOTAL,8044.34
2017M12,Residentes en Espańa,7970.98
2017M12,No residentes en Espańa,73.35
2018M01,TOTAL,2257.97
2018M01,Residentes en Espańa,2223.04
2018M01,No residentes en Espańa,34.93
2018M02,TOTAL,3418.14
2018M02,Residentes en Espańa,3288.4
2018M02,No residentes en Espańa,129.74
2018M03,TOTAL,8036.04
2018M03,Residentes en Espańa,7852.33
2018M03,No residentes en Espańa,183.71
2018M04,TOTAL,8059.15
2018M04,Residentes en Espańa,7660.21
2018M04,No residentes en Espańa,398.94
2018M05,TOTAL,6115.52
2018M05,Residentes en Espańa,5621.7
2018M05,No residentes en Espańa,493.81
2018M06,TOTAL,7003.73
2018M06,Residentes en Espańa,6438.2
2018M06,No residentes en Espańa,565.53
2018M07,TOTAL,9721.42
2018M07,Residentes en Espańa,9121.43
2018M07,No residentes en Espańa,599.99
2018M08,TOTAL,15170.91
2018M08,Residentes en Espańa,14259.81
2018M08,No residentes en Espańa,911.1
2018M09,TOTAL,7407.7
2018M09,Residentes en Espańa,6626.66
2018M09,No residentes en Espańa,781.03
2018M10,TOTAL,8385.06
2018M10,Residentes en Espańa,8127.43
2018M10,No residentes en Espańa,257.63
2018M11,TOTAL,7795.4
2018M11,Residentes en Espańa,7702.43
2018M11,No residentes en Espańa,92.98
2018M12,TOTAL,9203.75
2018M12,Residentes en Espańa,9121.34
2018M12,No residentes en Espańa,82.41
2019M01,TOTAL,1625.67
2019M01,Residentes en Espańa,1611.22
2019M01,No residentes en Espańa,14.45
2019M02,TOTAL,3537.94
2019M02,Residentes en Espańa,3456.05
2019M02,No residentes en Espańa,81.89
2019M03,TOTAL,6322.28
2019M03,Residentes en Espańa,6171.58
2019M03,No residentes en Espańa,150.7
2019M04,TOTAL,7553.05
2019M04,Residentes en Espańa,7354.61
2019M04,No residentes en Espańa,198.45
2019M05,TOTAL,6267.99
2019M05,Residentes en Espańa,5653.29
2019M05,No residentes en Espańa,614.7
2019M06,TOTAL,6579.57
2019M06,Residentes en Espańa,6076.6
2019M06,No residentes en Espańa,502.97
2019M07,TOTAL,8494.36
2019M07,Residentes en Espańa,7460.8
