Periodo,País de residencia,Medida,DATA
2015M12,TOTAL,Viajeros,3121.27
2015M12,TOTAL,Pernoctaciones,7263.94
2015M12,RESIDENTES EN ESPAŃA,Viajeros,3075.62
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7155.53
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,45.65
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,108.42
2015M12,Alemania,Viajeros,2.85
2015M12,Alemania,Pernoctaciones,8.56
2015M12,Francia,Viajeros,5.71
2015M12,Francia,Pernoctaciones,11.41
2015M12,Reino Unido,Viajeros,5.71
2015M12,Reino Unido,Pernoctaciones,17.12
2015M12,Resto de no residentes en Espańa,Viajeros,31.38
2015M12,Resto de no residentes en Espańa,Pernoctaciones,71.33
2015M12,Resto de UE,Viajeros,
2015M12,Resto de UE,Pernoctaciones,
2015M12,Resto de Europa,Viajeros,
2015M12,Resto de Europa,Pernoctaciones,
2015M12,Estados Unidos,Viajeros,
2015M12,Estados Unidos,Pernoctaciones,
2015M12,Paises Bajos,Viajeros,
2015M12,Paises Bajos,Pernoctaciones,
2015M12,Italia,Viajeros,
2015M12,Italia,Pernoctaciones,
2016M01,TOTAL,Viajeros,1289.6
2016M01,TOTAL,Pernoctaciones,3271.19
2016M01,RESIDENTES EN ESPAŃA,Viajeros,1250.29
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,3134.89
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,39.32
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,136.3
2016M01,Alemania,Viajeros,
2016M01,Alemania,Pernoctaciones,
2016M01,Francia,Viajeros,28.83
2016M01,Francia,Pernoctaciones,115.33
2016M01,Reino Unido,Viajeros,
2016M01,Reino Unido,Pernoctaciones,
2016M01,Resto de no residentes en Espańa,Viajeros,
2016M01,Resto de no residentes en Espańa,Pernoctaciones,
2016M01,Resto de UE,Viajeros,10.48
2016M01,Resto de UE,Pernoctaciones,20.97
2016M01,Resto de Europa,Viajeros,
2016M01,Resto de Europa,Pernoctaciones,
2016M01,Estados Unidos,Viajeros,
2016M01,Estados Unidos,Pernoctaciones,
2016M01,Paises Bajos,Viajeros,
2016M01,Paises Bajos,Pernoctaciones,
2016M01,Italia,Viajeros,
2016M01,Italia,Pernoctaciones,
2016M02,TOTAL,Viajeros,1867.07
2016M02,TOTAL,Pernoctaciones,3775.17
2016M02,RESIDENTES EN ESPAŃA,Viajeros,1820.91
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,3718.75
2016M02,NO RESIDENTE EN ESPAŃA,Viajeros,46.16
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,56.42
2016M02,Alemania,Viajeros,5.13
