Periodo,Ubicación establecimiento,Grado de ocupación,DATA
2015M12,TOTAL,Grado de ocupación por plazas,22.09
2015M12,TOTAL,Grado de ocupacion por plazas fin de semana,44.56
2015M12,Logrońo y Alrededores,Grado de ocupación por plazas,8.25
2015M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,9.74
2015M12,Resto,Grado de ocupación por plazas,24.3
2015M12,Resto,Grado de ocupacion por plazas fin de semana,50.25
2016M01,TOTAL,Grado de ocupación por plazas,10.53
2016M01,TOTAL,Grado de ocupacion por plazas fin de semana,26.42
2016M01,Logrońo y Alrededores,Grado de ocupación por plazas,1.21
2016M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,3.74
2016M01,Resto,Grado de ocupación por plazas,12.16
2016M01,Resto,Grado de ocupacion por plazas fin de semana,30.32
2016M02,TOTAL,Grado de ocupación por plazas,12.47
2016M02,TOTAL,Grado de ocupacion por plazas fin de semana,36.13
2016M02,Logrońo y Alrededores,Grado de ocupación por plazas,7.77
2016M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,25.77
2016M02,Resto,Grado de ocupación por plazas,13.16
2016M02,Resto,Grado de ocupacion por plazas fin de semana,37.51
2016M03,TOTAL,Grado de ocupación por plazas,24.5
2016M03,TOTAL,Grado de ocupacion por plazas fin de semana,52.36
2016M03,Logrońo y Alrededores,Grado de ocupación por plazas,14.86
2016M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,26.3
2016M03,Resto,Grado de ocupación por plazas,25.95
2016M03,Resto,Grado de ocupacion por plazas fin de semana,56.42
2016M04,TOTAL,Grado de ocupación por plazas,16.41
2016M04,TOTAL,Grado de ocupacion por plazas fin de semana,40.93
2016M04,Logrońo y Alrededores,Grado de ocupación por plazas,9.85
2016M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,29.36
2016M04,Resto,Grado de ocupación por plazas,17.4
2016M04,Resto,Grado de ocupacion por plazas fin de semana,42.56
2016M05,TOTAL,Grado de ocupación por plazas,18.83
2016M05,TOTAL,Grado de ocupacion por plazas fin de semana,48.66
2016M05,Logrońo y Alrededores,Grado de ocupación por plazas,14.4
2016M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,31.11
2016M05,Resto,Grado de ocupación por plazas,19.42
2016M05,Resto,Grado de ocupacion por plazas fin de semana,51.24
2016M06,TOTAL,Grado de ocupación por plazas,13.48
2016M06,TOTAL,Grado de ocupacion por plazas fin de semana,36.3
2016M06,Logrońo y Alrededores,Grado de ocupación por plazas,9.61
2016M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,31.92
2016M06,Resto,Grado de ocupación por plazas,14.01
2016M06,Resto,Grado de ocupacion por plazas fin de semana,36.65
2016M07,TOTAL,Grado de ocupación por plazas,18.85
2016M07,TOTAL,Grado de ocupacion por plazas fin de semana,36.31
2016M07,Logrońo y Alrededores,Grado de ocupación por plazas,7.19
2016M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,13.25
2016M07,Resto,Grado de ocupación por plazas,20.69
2016M07,Resto,Grado de ocupacion por plazas fin de semana,39.91
2016M08,TOTAL,Grado de ocupación por plazas,36.99
2016M08,TOTAL,Grado de ocupacion por plazas fin de semana,54.9
2016M08,Logrońo y Alrededores,Grado de ocupación por plazas,10.24
2016M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,16.57
2016M08,Resto,Grado de ocupación por plazas,41.16
2016M08,Resto,Grado de ocupacion por plazas fin de semana,60.76
2016M09,TOTAL,Grado de ocupación por plazas,18.11
2016M09,TOTAL,Grado de ocupacion por plazas fin de semana,41.04
2016M09,Logrońo y Alrededores,Grado de ocupación por plazas,8.59
2016M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,23.22
2016M09,Resto,Grado de ocupación por plazas,19.66
2016M09,Resto,Grado de ocupacion por plazas fin de semana,43.92
2016M10,TOTAL,Grado de ocupación por plazas,24.81
2016M10,TOTAL,Grado de ocupacion por plazas fin de semana,57.28
2016M10,Logrońo y Alrededores,Grado de ocupación por plazas,10.8
2016M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,30.63
2016M10,Resto,Grado de ocupación por plazas,27.06
2016M10,Resto,Grado de ocupacion por plazas fin de semana,61.43
2016M11,TOTAL,Grado de ocupación por plazas,15.06
2016M11,TOTAL,Grado de ocupacion por plazas fin de semana,47.38
2016M11,Logrońo y Alrededores,Grado de ocupación por plazas,7.48
2016M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,27.01
2016M11,Resto,Grado de ocupación por plazas,16.28
2016M11,Resto,Grado de ocupacion por plazas fin de semana,50.56
2016M12,TOTAL,Grado de ocupación por plazas,23.58
2016M12,TOTAL,Grado de ocupacion por plazas fin de semana,43.88
2016M12,Logrońo y Alrededores,Grado de ocupación por plazas,10.23
2016M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,15.56
2016M12,Resto,Grado de ocupación por plazas,25.77
2016M12,Resto,Grado de ocupacion por plazas fin de semana,48.57
2017M01,TOTAL,Grado de ocupación por plazas,6.22
2017M01,TOTAL,Grado de ocupacion por plazas fin de semana,16.41
2017M01,Logrońo y Alrededores,Grado de ocupación por plazas,4.45
2017M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,11.74
2017M01,Resto,Grado de ocupación por plazas,6.57
2017M01,Resto,Grado de ocupacion por plazas fin de semana,17.33
2017M02,TOTAL,Grado de ocupación por plazas,13
2017M02,TOTAL,Grado de ocupacion por plazas fin de semana,38.88
2017M02,Logrońo y Alrededores,Grado de ocupación por plazas,11.49
2017M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,36.49
2017M02,Resto,Grado de ocupación por plazas,13.27
2017M02,Resto,Grado de ocupacion por plazas fin de semana,39.28
2017M03,TOTAL,Grado de ocupación por plazas,15.4
2017M03,TOTAL,Grado de ocupacion por plazas fin de semana,43.28
2017M03,Logrońo y Alrededores,Grado de ocupación por plazas,12
2017M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,39.27
2017M03,Resto,Grado de ocupación por plazas,16
2017M03,Resto,Grado de ocupacion por plazas fin de semana,43.96
2017M04,TOTAL,Grado de ocupación por plazas,31.31
2017M04,TOTAL,Grado de ocupacion por plazas fin de semana,58.42
2017M04,Logrońo y Alrededores,Grado de ocupación por plazas,23.46
2017M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,47.01
2017M04,Resto,Grado de ocupación por plazas,32.61
2017M04,Resto,Grado de ocupacion por plazas fin de semana,60.28
2017M05,TOTAL,Grado de ocupación por plazas,16.95
2017M05,TOTAL,Grado de ocupacion por plazas fin de semana,47.74
2017M05,Logrońo y Alrededores,Grado de ocupación por plazas,13.95
2017M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,37.88
2017M05,Resto,Grado de ocupación por plazas,17.46
2017M05,Resto,Grado de ocupacion por plazas fin de semana,49.39
2017M06,TOTAL,Grado de ocupación por plazas,17.61
2017M06,TOTAL,Grado de ocupacion por plazas fin de semana,43.66
2017M06,Logrońo y Alrededores,Grado de ocupación por plazas,13.33
2017M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,36.69
2017M06,Resto,Grado de ocupación por plazas,18.28
2017M06,Resto,Grado de ocupacion por plazas fin de semana,44.69
2017M07,TOTAL,Grado de ocupación por plazas,22
2017M07,TOTAL,Grado de ocupacion por plazas fin de semana,42.11
2017M07,Logrońo y Alrededores,Grado de ocupación por plazas,14.34
2017M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,27.44
2017M07,Resto,Grado de ocupación por plazas,23.26
2017M07,Resto,Grado de ocupacion por plazas fin de semana,44.48
2017M08,TOTAL,Grado de ocupación por plazas,37.64
2017M08,TOTAL,Grado de ocupacion por plazas fin de semana,52.48
2017M08,Logrońo y Alrededores,Grado de ocupación por plazas,21.06
2017M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,37.15
2017M08,Resto,Grado de ocupación por plazas,40.27
2017M08,Resto,Grado de ocupacion por plazas fin de semana,54.9
2017M09,TOTAL,Grado de ocupación por plazas,21.83
2017M09,TOTAL,Grado de ocupacion por plazas fin de semana,45.49
2017M09,Logrońo y Alrededores,Grado de ocupación por plazas,15.77
2017M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,37.79
2017M09,Resto,Grado de ocupación por plazas,22.67
2017M09,Resto,Grado de ocupacion por plazas fin de semana,46.56
2017M10,TOTAL,Grado de ocupación por plazas,23.55
2017M10,TOTAL,Grado de ocupacion por plazas fin de semana,59.24
2017M10,Logrońo y Alrededores,Grado de ocupación por plazas,19.39
2017M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,56.08
2017M10,Resto,Grado de ocupación por plazas,24.18
2017M10,Resto,Grado de ocupacion por plazas fin de semana,59.72
2017M11,TOTAL,Grado de ocupación por plazas,14.97
2017M11,TOTAL,Grado de ocupacion por plazas fin de semana,47.05
2017M11,Logrońo y Alrededores,Grado de ocupación por plazas,10.08
2017M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,31.68
2017M11,Resto,Grado de ocupación por plazas,15.72
2017M11,Resto,Grado de ocupacion por plazas fin de semana,49.34
2017M12,TOTAL,Grado de ocupación por plazas,23.7
2017M12,TOTAL,Grado de ocupacion por plazas fin de semana,38.34
