Periodo,Ubicación establecimiento,DATA
2015M12,TOTAL,112.87
2015M12,Logrońo y Alrededores,15
2015M12,Resto,97.87
2016M01,TOTAL,106.35
2016M01,Logrońo y Alrededores,15
2016M01,Resto,91.35
2016M02,TOTAL,110.6
2016M02,Logrońo y Alrededores,15
2016M02,Resto,95.6
2016M03,TOTAL,115.66
2016M03,Logrońo y Alrededores,15
2016M03,Resto,100.66
2016M04,TOTAL,118.71
2016M04,Logrońo y Alrededores,15
2016M04,Resto,103.71
2016M05,TOTAL,118.41
2016M05,Logrońo y Alrededores,15
2016M05,Resto,103.41
2016M06,TOTAL,115.55
2016M06,Logrońo y Alrededores,15
2016M06,Resto,100.55
2016M07,TOTAL,120.72
2016M07,Logrońo y Alrededores,15
2016M07,Resto,105.72
2016M08,TOTAL,119.56
2016M08,Logrońo y Alrededores,15
2016M08,Resto,104.56
2016M09,TOTAL,115.37
2016M09,Logrońo y Alrededores,13.07
2016M09,Resto,102.31
2016M10,TOTAL,123.67
2016M10,Logrońo y Alrededores,16
2016M10,Resto,107.67
2016M11,TOTAL,122.34
2016M11,Logrońo y Alrededores,16
2016M11,Resto,106.34
2016M12,TOTAL,112.74
2016M12,Logrońo y Alrededores,16
2016M12,Resto,96.74
2017M01,TOTAL,107.09
2017M01,Logrońo y Alrededores,16
2017M01,Resto,91.09
2017M02,TOTAL,114.58
2017M02,Logrońo y Alrededores,16
2017M02,Resto,98.58
2017M03,TOTAL,119.47
2017M03,Logrońo y Alrededores,16
2017M03,Resto,103.47
2017M04,TOTAL,126.17
2017M04,Logrońo y Alrededores,16
2017M04,Resto,110.17
2017M05,TOTAL,125.44
2017M05,Logrońo y Alrededores,16
2017M05,Resto,109.44
2017M06,TOTAL,129.65
2017M06,Logrońo y Alrededores,16
2017M06,Resto,113.65
2017M07,TOTAL,129.66
2017M07,Logrońo y Alrededores,16
2017M07,Resto,113.66
2017M08,TOTAL,132.23
2017M08,Logrońo y Alrededores,16
2017M08,Resto,116.23
2017M09,TOTAL,128.86
2017M09,Logrońo y Alrededores,12
2017M09,Resto,116.86
2017M10,TOTAL,126.96
2017M10,Logrońo y Alrededores,13.33
2017M10,Resto,113.62
2017M11,TOTAL,124.55
2017M11,Logrońo y Alrededores,13.33
2017M11,Resto,111.21
2017M12,TOTAL,115.06
2017M12,Logrońo y Alrededores,13.33
2017M12,Resto,101.73
2018M01,TOTAL,98.76
2018M01,Logrońo y Alrededores,10.67
2018M01,Resto,88.09
2018M02,TOTAL,114.09
2018M02,Logrońo y Alrededores,12.44
2018M02,Resto,101.65
2018M03,TOTAL,120.44
2018M03,Logrońo y Alrededores,12.44
2018M03,Resto,107.99
2018M04,TOTAL,118.85
2018M04,Logrońo y Alrededores,11.32
2018M04,Resto,107.53
2018M05,TOTAL,117.93
2018M05,Logrońo y Alrededores,12.44
2018M05,Resto,105.48
2018M06,TOTAL,116.96
2018M06,Logrońo y Alrededores,10
2018M06,Resto,106.96
2018M07,TOTAL,111.53
2018M07,Logrońo y Alrededores,13.12
2018M07,Resto,98.41
2018M08,TOTAL,114.98
2018M08,Logrońo y Alrededores,13.12
2018M08,Resto,101.85
2018M09,TOTAL,116.25
2018M09,Logrońo y Alrededores,12.19
2018M09,Resto,104.06
2018M10,TOTAL,118.28
2018M10,Logrońo y Alrededores,13.12
2018M10,Resto,105.15
2018M11,TOTAL,116.69
2018M11,Logrońo y Alrededores,13.12
2018M11,Resto,103.57
2018M12,TOTAL,113.79
2018M12,Logrońo y Alrededores,13.12
2018M12,Resto,100.67
2019M01,TOTAL,99.62
2019M01,Logrońo y Alrededores,13.12
2019M01,Resto,86.5
2019M02,TOTAL,104.6
2019M02,Logrońo y Alrededores,13.12
2019M02,Resto,91.48
2019M03,TOTAL,104.62
2019M03,Logrońo y Alrededores,13.12
2019M03,Resto,91.49
2019M04,TOTAL,107.11
2019M04,Logrońo y Alrededores,13.12
2019M04,Resto,93.98
2019M05,TOTAL,107.03
2019M05,Logrońo y Alrededores,13.12
2019M05,Resto,93.9
2019M06,TOTAL,114.21
2019M06,Logrońo y Alrededores,14
2019M06,Resto,100.21
2019M07,TOTAL,115.22
2019M07,Logrońo y Alrededores,14
2019M07,Resto,101.22
2019M08,TOTAL,116.9
2019M08,Logrońo y Alrededores,14
2019M08,Resto,102.9
2019M09,TOTAL,121.25
2019M09,Logrońo y Alrededores,14
2019M09,Resto,107.25
2019M10,TOTAL,119.92
2019M10,Logrońo y Alrededores,14
2019M10,Resto,105.92
2019M11,TOTAL,120.39
2019M11,Logrońo y Alrededores,13.33
2019M11,Resto,107.06
2019M12,TOTAL,112.46
2019M12,Logrońo y Alrededores,14
2019M12,Resto,98.46
2020M01,TOTAL,94.45
2020M01,Logrońo y Alrededores,10.67
2020M01,Resto,83.78
2020M02,TOTAL,103.62
2020M02,Logrońo y Alrededores,12.44
2020M02,Resto,91.18
2020M03,TOTAL,48.12
2020M03,Logrońo y Alrededores,3.78
2020M03,Resto,44.34
2020M05,TOTAL,27.84
2020M05,Logrońo y Alrededores,3.27
2020M05,Resto,24.57
2020M06,TOTAL,80.49
2020M06,Logrońo y Alrededores,7.11
2020M06,Resto,73.38
2020M07,TOTAL,96.41
2020M07,Logrońo y Alrededores,8
2020M07,Resto,88.41
2020M08,TOTAL,103.4
2020M08,Logrońo y Alrededores,8
2020M08,Resto,95.4
2020M09,TOTAL,101.93
2020M09,Logrońo y Alrededores,8.89
2020M09,Resto,93.05
2020M10,TOTAL,92.95
2020M10,Logrońo y Alrededores,9.38
2020M10,Resto,83.58
2020M11,TOTAL,92.4
2020M11,Logrońo y Alrededores,7.5
2020M11,Resto,84.9
2020M12,TOTAL,91.21
2020M12,Logrońo y Alrededores,8
2020M12,Resto,83.21
2021M01,TOTAL,80.73
2021M01,Logrońo y Alrededores,8.69
2021M01,Resto,72.03
2021M02,TOTAL,82.74
2021M02,Logrońo y Alrededores,7
2021M02,Resto,75.74
2021M03,TOTAL,89.66
2021M03,Logrońo y Alrededores,8.33
2021M03,Resto,81.33
2021M04,TOTAL,99.62
2021M04,Logrońo y Alrededores,10.5
2021M04,Resto,89.12
2021M05,TOTAL,99.62
2021M05,Logrońo y Alrededores,10.5
2021M05,Resto,89.12
2021M06,TOTAL,102.96
2021M06,Logrońo y Alrededores,11.25
2021M06,Resto,91.71
2021M07,TOTAL,108.71
2021M07,Logrońo y Alrededores,10
2021M07,Resto,98.71
2021M08,TOTAL,104.86
2021M08,Logrońo y Alrededores,11.25
2021M08,Resto,93.61
2021M09,TOTAL,102.73
2021M09,Logrońo y Alrededores,8.93
2021M09,Resto,93.8
2021M10,TOTAL,103.58
2021M10,Logrońo y Alrededores,11.25
2021M10,Resto,92.33
2021M11,TOTAL,103.49
2021M11,Logrońo y Alrededores,11.25
2021M11,Resto,92.24
2021M12,TOTAL,96.73
2021M12,Logrońo y Alrededores,10.58
2021M12,Resto,86.14
2022M01,TOTAL,87.42
2022M01,Logrońo y Alrededores,10
2022M01,Resto,77.42
2022M02,TOTAL,93.74
2022M02,Logrońo y Alrededores,10
2022M02,Resto,83.74
2022M03,TOTAL,100.64
2022M03,Logrońo y Alrededores,9
2022M03,Resto,91.64
2022M04,TOTAL,103.02
2022M04,Logrońo y Alrededores,10
2022M04,Resto,93.02
2022M05,TOTAL,103.28
2022M05,Logrońo y Alrededores,9.19
2022M05,Resto,94.08
2022M06,TOTAL,102.62
2022M06,Logrońo y Alrededores,10
2022M06,Resto,92.62
2022M07,TOTAL,101.86
2022M07,Logrońo y Alrededores,10
2022M07,Resto,91.86
2022M08,TOTAL,107.86
2022M08,Logrońo y Alrededores,10
2022M08,Resto,97.86
2022M09,TOTAL,104.47
2022M09,Logrońo y Alrededores,10
2022M09,Resto,94.47
2022M10,TOTAL,105.43
2022M10,Logrońo y Alrededores,8.81
2022M10,Resto,96.63
2022M11,TOTAL,101.5
2022M11,Logrońo y Alrededores,9
2022M11,Resto,92.5
2022M12,TOTAL,102.22
2022M12,Logrońo y Alrededores,9.03
2022M12,Resto,93.19
2023M01,TOTAL,100.3
2023M01,Logrońo y Alrededores,11.11
2023M01,Resto,89.19
2023M02,TOTAL,105.32
2023M02,Logrońo y Alrededores,11.2
2023M02,Resto,94.12
2023M03,TOTAL,115.51
2023M03,Logrońo y Alrededores,9.75
2023M03,Resto,105.76
2023M04,TOTAL,125.31
2023M04,Logrońo y Alrededores,8.64
2023M04,Resto,116.67
2023M05,TOTAL,118.28
2023M05,Logrońo y Alrededores,8.21
2023M05,Resto,110.07
2023M06,TOTAL,123.73
2023M06,Logrońo y Alrededores,8.16
2023M06,Resto,115.57
2023M07,TOTAL,119.55
2023M07,Logrońo y Alrededores,7.97
2023M07,Resto,111.57
2023M08,TOTAL,119.59
2023M08,Logrońo y Alrededores,9.6
2023M08,Resto,109.99
2023M09,TOTAL,113.23
2023M09,Logrońo y Alrededores,8.08
2023M09,Resto,105.15
2023M10,TOTAL,116.1
2023M10,Logrońo y Alrededores,8.52
2023M10,Resto,107.59
2023M11,TOTAL,101.85
2023M11,Logrońo y Alrededores,9.72
2023M11,Resto,92.13
2023M12,TOTAL,107.55
2023M12,Logrońo y Alrededores,11
2023M12,Resto,96.55
2024M01,TOTAL,86.48
2024M01,Logrońo y Alrededores,8
2024M01,Resto,78.48
2024M02,TOTAL,89.95
2024M02,Logrońo y Alrededores,7.33
2024M02,Resto,82.61
2024M03,TOTAL,105.41
2024M03,Logrońo y Alrededores,7.81
2024M03,Resto,97.61
