Periodo,CCAA de residencia,Medida,DATA
2015M12,TOTAL,Viajeros,3121.27
2015M12,TOTAL,Pernoctaciones,7263.94
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,45.65
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,108.42
2015M12,RESIDENTES EN ESPAŃA,Viajeros,3075.62
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7155.53
2015M12,Andalucía,Viajeros,68.47
2015M12,Andalucía,Pernoctaciones,145.51
2015M12,Aragón,Viajeros,219.69
2015M12,Aragón,Pernoctaciones,479.32
2015M12,"Asturias, Principado de",Viajeros,11.41
2015M12,"Asturias, Principado de",Pernoctaciones,34.24
2015M12,"Balears, Illes",Viajeros,22.82
2015M12,"Balears, Illes",Pernoctaciones,57.06
2015M12,Cantabria,Viajeros,17.12
2015M12,Cantabria,Pernoctaciones,34.24
2015M12,Castilla y León,Viajeros,330.96
2015M12,Castilla y León,Pernoctaciones,767.48
2015M12,Castilla - La Mancha,Viajeros,25.68
2015M12,Castilla - La Mancha,Pernoctaciones,54.21
2015M12,Cataluńa,Viajeros,299.57
2015M12,Cataluńa,Pernoctaciones,912.99
2015M12,Comunitat Valenciana,Viajeros,168.33
2015M12,Comunitat Valenciana,Pernoctaciones,419.4
2015M12,Extremadura,Viajeros,11.41
2015M12,Extremadura,Pernoctaciones,11.41
2015M12,Galicia,Viajeros,22.82
2015M12,Galicia,Pernoctaciones,28.53
2015M12,"Madrid, Comunidad de",Viajeros,687.59
2015M12,"Madrid, Comunidad de",Pernoctaciones,1674.76
2015M12,"Murcia, Región de",Viajeros,34.24
2015M12,"Murcia, Región de",Pernoctaciones,102.71
2015M12,"Navarra, Comunidad Foral de",Viajeros,296.72
2015M12,"Navarra, Comunidad Foral de",Pernoctaciones,550.64
2015M12,País Vasco,Viajeros,470.76
2015M12,País Vasco,Pernoctaciones,1141.23
2015M12,"Rioja, La",Viajeros,388.02
2015M12,"Rioja, La",Pernoctaciones,741.8
2015M12,Canarias,Viajeros,
2015M12,Canarias,Pernoctaciones,
2015M12,Ceuta,Viajeros,
2015M12,Ceuta,Pernoctaciones,
2015M12,Melilla,Viajeros,
2015M12,Melilla,Pernoctaciones,
2016M01,TOTAL,Viajeros,1289.6
2016M01,TOTAL,Pernoctaciones,3271.19
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,39.32
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,136.3
2016M01,RESIDENTES EN ESPAŃA,Viajeros,1250.29
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,3134.89
2016M01,Andalucía,Viajeros,2.62
2016M01,Andalucía,Pernoctaciones,2.62
2016M01,Aragón,Viajeros,154.65
