Periodo,Categoría,Grado de ocupación,DATA
2015M01,TOTAL,grado de ocupación por plazas,28.23
2015M01,TOTAL,grado de ocupación de plazas de fin de semana,38.44
2015M01,TOTAL,grado de ocupación por habitaciones,33.47
2015M01,4 y 5 estrellas,grado de ocupación por plazas,36.53
2015M01,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,53.22
2015M01,4 y 5 estrellas,grado de ocupación por habitaciones,40.73
2015M01,3 estrellas,grado de ocupación por plazas,32.46
2015M01,3 estrellas,grado de ocupación de plazas de fin de semana,42.68
2015M01,3 estrellas,grado de ocupación por habitaciones,39.25
2015M01,1 y 2 estrellas,grado de ocupación por plazas,9.58
2015M01,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,14.25
2015M01,1 y 2 estrellas,grado de ocupación por habitaciones,12.24
2015M01,Hostales y pensiones,grado de ocupación por plazas,17.07
2015M01,Hostales y pensiones,grado de ocupación de plazas de fin de semana,21.08
2015M01,Hostales y pensiones,grado de ocupación por habitaciones,22.57
2015M02,TOTAL,grado de ocupación por plazas,32.11
2015M02,TOTAL,grado de ocupación de plazas de fin de semana,47.43
2015M02,TOTAL,grado de ocupación por habitaciones,38.88
2015M02,4 y 5 estrellas,grado de ocupación por plazas,41.92
2015M02,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,64.86
2015M02,4 y 5 estrellas,grado de ocupación por habitaciones,48.59
2015M02,3 estrellas,grado de ocupación por plazas,34.87
2015M02,3 estrellas,grado de ocupación de plazas de fin de semana,49.41
2015M02,3 estrellas,grado de ocupación por habitaciones,43.57
2015M02,1 y 2 estrellas,grado de ocupación por plazas,15.68
2015M02,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,31.67
2015M02,1 y 2 estrellas,grado de ocupación por habitaciones,17.3
2015M02,Hostales y pensiones,grado de ocupación por plazas,20.49
2015M02,Hostales y pensiones,grado de ocupación de plazas de fin de semana,27.5
2015M02,Hostales y pensiones,grado de ocupación por habitaciones,26.46
2015M03,TOTAL,grado de ocupación por plazas,39.57
2015M03,TOTAL,grado de ocupación de plazas de fin de semana,62.31
2015M03,TOTAL,grado de ocupación por habitaciones,45.77
2015M03,4 y 5 estrellas,grado de ocupación por plazas,48.69
2015M03,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,79.63
