Periodo,Categoría,Estancia media,DATA
2015M01,TOTAL,Estancia media,1.65
2015M01,TOTAL,Estancia media Residentes en Espańa,1.64
2015M01,TOTAL,Estancia media No residentes en Espańa,1.7
2015M01,4 y 5 estrellas,Estancia media,1.6
2015M01,4 y 5 estrellas,Estancia media Residentes en Espańa,1.57
2015M01,4 y 5 estrellas,Estancia media No residentes en Espańa,1.76
2015M01,3 estrellas,Estancia media,1.6
2015M01,3 estrellas,Estancia media Residentes en Espańa,1.59
2015M01,3 estrellas,Estancia media No residentes en Espańa,1.7
2015M01,1 y 2 estrellas,Estancia media,1.45
2015M01,1 y 2 estrellas,Estancia media Residentes en Espańa,1.45
2015M01,1 y 2 estrellas,Estancia media No residentes en Espańa,1.67
2015M01,Hostales y pensiones,Estancia media,2.09
2015M01,Hostales y pensiones,Estancia media Residentes en Espańa,2.17
2015M01,Hostales y pensiones,Estancia media No residentes en Espańa,1.37
2015M02,TOTAL,Estancia media,1.64
2015M02,TOTAL,Estancia media Residentes en Espańa,1.64
2015M02,TOTAL,Estancia media No residentes en Espańa,1.6
2015M02,4 y 5 estrellas,Estancia media,1.64
2015M02,4 y 5 estrellas,Estancia media Residentes en Espańa,1.65
2015M02,4 y 5 estrellas,Estancia media No residentes en Espańa,1.55
2015M02,3 estrellas,Estancia media,1.57
2015M02,3 estrellas,Estancia media Residentes en Espańa,1.55
2015M02,3 estrellas,Estancia media No residentes en Espańa,1.72
2015M02,1 y 2 estrellas,Estancia media,1.38
2015M02,1 y 2 estrellas,Estancia media Residentes en Espańa,1.4
2015M02,1 y 2 estrellas,Estancia media No residentes en Espańa,1.2
2015M02,Hostales y pensiones,Estancia media,2.01
2015M02,Hostales y pensiones,Estancia media Residentes en Espańa,2.05
2015M02,Hostales y pensiones,Estancia media No residentes en Espańa,1.49
2015M03,TOTAL,Estancia media,1.62
2015M03,TOTAL,Estancia media Residentes en Espańa,1.6
2015M03,TOTAL,Estancia media No residentes en Espańa,1.81
2015M03,4 y 5 estrellas,Estancia media,1.57
2015M03,4 y 5 estrellas,Estancia media Residentes en Espańa,1.57
2015M03,4 y 5 estrellas,Estancia media No residentes en Espańa,1.67
2015M03,3 estrellas,Estancia media,1.6
2015M03,3 estrellas,Estancia media Residentes en Espańa,1.56
2015M03,3 estrellas,Estancia media No residentes en Espańa,1.92
2015M03,1 y 2 estrellas,Estancia media,1.52
2015M03,1 y 2 estrellas,Estancia media Residentes en Espańa,1.52
2015M03,1 y 2 estrellas,Estancia media No residentes en Espańa,1.54
2015M03,Hostales y pensiones,Estancia media,1.85
2015M03,Hostales y pensiones,Estancia media Residentes en Espańa,1.85
