Periodo,Categoría,DATA
2015M01,TOTAL,121.11
2015M01,4 y 5 estrellas,10.13
2015M01,3 estrellas,25.19
2015M01,1 y 2 estrellas,14
2015M01,Hostales y pensiones,71.78
2015M02,TOTAL,130.93
2015M02,4 y 5 estrellas,10.57
2015M02,3 estrellas,30.57
2015M02,1 y 2 estrellas,15
2015M02,Hostales y pensiones,74.78
2015M03,TOTAL,135.31
2015M03,4 y 5 estrellas,11.45
2015M03,3 estrellas,32.61
2015M03,1 y 2 estrellas,17
2015M03,Hostales y pensiones,74.25
2015M04,TOTAL,144.48
2015M04,4 y 5 estrellas,11.77
2015M04,3 estrellas,36.8
2015M04,1 y 2 estrellas,17
2015M04,Hostales y pensiones,78.91
2015M05,TOTAL,148.24
2015M05,4 y 5 estrellas,11.81
2015M05,3 estrellas,37.44
2015M05,1 y 2 estrellas,17
2015M05,Hostales y pensiones,82
2015M06,TOTAL,149.35
2015M06,4 y 5 estrellas,10.87
2015M06,3 estrellas,39.57
2015M06,1 y 2 estrellas,17
2015M06,Hostales y pensiones,81.91
2015M07,TOTAL,138.96
2015M07,4 y 5 estrellas,10.74
2015M07,3 estrellas,39.45
2015M07,1 y 2 estrellas,15.86
2015M07,Hostales y pensiones,72.91
2015M08,TOTAL,145.9
2015M08,4 y 5 estrellas,11
2015M08,3 estrellas,39.9
2015M08,1 y 2 estrellas,17
2015M08,Hostales y pensiones,78
2015M09,TOTAL,148.17
2015M09,4 y 5 estrellas,10.83
2015M09,3 estrellas,39.47
2015M09,1 y 2 estrellas,17
2015M09,Hostales y pensiones,80.87
2015M10,TOTAL,146.53
2015M10,4 y 5 estrellas,10.77
2015M10,3 estrellas,39.93
2015M10,1 y 2 estrellas,17
2015M10,Hostales y pensiones,78.83
2015M11,TOTAL,153.32
2015M11,4 y 5 estrellas,10.5
2015M11,3 estrellas,38.95
2015M11,1 y 2 estrellas,16
2015M11,Hostales y pensiones,87.88
2015M12,TOTAL,131.22
2015M12,4 y 5 estrellas,9.81
2015M12,3 estrellas,31.94
2015M12,1 y 2 estrellas,13
2015M12,Hostales y pensiones,76.47
2016M01,TOTAL,122.92
2016M01,4 y 5 estrellas,9
2016M01,3 estrellas,27.97
2016M01,1 y 2 estrellas,15
2016M01,Hostales y pensiones,70.96
2016M02,TOTAL,134.62
2016M02,4 y 5 estrellas,8.97
2016M02,3 estrellas,32.52
2016M02,1 y 2 estrellas,15
2016M02,Hostales y pensiones,78.13
2016M03,TOTAL,146.75
2016M03,4 y 5 estrellas,9.61
2016M03,3 estrellas,37.1
2016M03,1 y 2 estrellas,16
2016M03,Hostales y pensiones,84.04
2016M04,TOTAL,151.56
2016M04,4 y 5 estrellas,9.7
2016M04,3 estrellas,38.61
2016M04,1 y 2 estrellas,17
2016M04,Hostales y pensiones,86.25
2016M05,TOTAL,154.99
2016M05,4 y 5 estrellas,9.77
2016M05,3 estrellas,39.58
2016M05,1 y 2 estrellas,17
2016M05,Hostales y pensiones,88.64
2016M06,TOTAL,149.87
2016M06,4 y 5 estrellas,9.87
2016M06,3 estrellas,39.6
2016M06,1 y 2 estrellas,15.89
2016M06,Hostales y pensiones,84.52
2016M07,TOTAL,152.69
2016M07,4 y 5 estrellas,10
2016M07,3 estrellas,39.5
2016M07,1 y 2 estrellas,17
2016M07,Hostales y pensiones,86.18
2016M08,TOTAL,159.58
2016M08,4 y 5 estrellas,10
2016M08,3 estrellas,40
2016M08,1 y 2 estrellas,17
2016M08,Hostales y pensiones,92.58
2016M09,TOTAL,159.77
2016M09,4 y 5 estrellas,9.93
2016M09,3 estrellas,39.53
2016M09,1 y 2 estrellas,17
2016M09,Hostales y pensiones,93.3
2016M10,TOTAL,156.3
2016M10,4 y 5 estrellas,10
2016M10,3 estrellas,39.55
2016M10,1 y 2 estrellas,16
2016M10,Hostales y pensiones,90.75
2016M11,TOTAL,152.18
2016M11,4 y 5 estrellas,9.53
2016M11,3 estrellas,36.9
2016M11,1 y 2 estrellas,15
2016M11,Hostales y pensiones,90.75
2016M12,TOTAL,135.94
2016M12,4 y 5 estrellas,9.48
2016M12,3 estrellas,32.42
2016M12,1 y 2 estrellas,11.43
2016M12,Hostales y pensiones,82.61
2017M01,TOTAL,126.4
2017M01,4 y 5 estrellas,9
2017M01,3 estrellas,27.1
2017M01,1 y 2 estrellas,13
2017M01,Hostales y pensiones,77.3
2017M02,TOTAL,138.95
2017M02,4 y 5 estrellas,9
2017M02,3 estrellas,32.64
2017M02,1 y 2 estrellas,14
2017M02,Hostales y pensiones,83.3
2017M03,TOTAL,142.56
2017M03,4 y 5 estrellas,9.58
2017M03,3 estrellas,33.48
2017M03,1 y 2 estrellas,15
2017M03,Hostales y pensiones,84.5
2017M04,TOTAL,154.44
2017M04,4 y 5 estrellas,10.37
2017M04,3 estrellas,36.7
2017M04,1 y 2 estrellas,16
2017M04,Hostales y pensiones,91.38
2017M05,TOTAL,156.38
2017M05,4 y 5 estrellas,10.65
2017M05,3 estrellas,38.35
2017M05,1 y 2 estrellas,17
2017M05,Hostales y pensiones,90.38
2017M06,TOTAL,153.7
2017M06,4 y 5 estrellas,10.67
2017M06,3 estrellas,38.87
2017M06,1 y 2 estrellas,16
2017M06,Hostales y pensiones,88.17
2017M07,TOTAL,157.79
2017M07,4 y 5 estrellas,11
2017M07,3 estrellas,38.46
2017M07,1 y 2 estrellas,17
2017M07,Hostales y pensiones,91.33
2017M08,TOTAL,157.04
2017M08,4 y 5 estrellas,11
2017M08,3 estrellas,38.94
2017M08,1 y 2 estrellas,17
2017M08,Hostales y pensiones,90.1
2017M09,TOTAL,152.08
2017M09,4 y 5 estrellas,10.7
2017M09,3 estrellas,39.46
2017M09,1 y 2 estrellas,17
2017M09,Hostales y pensiones,84.92
2017M10,TOTAL,151.09
2017M10,4 y 5 estrellas,10.68
2017M10,3 estrellas,39.23
2017M10,1 y 2 estrellas,15.86
2017M10,Hostales y pensiones,85.33
2017M11,TOTAL,150.37
2017M11,4 y 5 estrellas,10.43
2017M11,3 estrellas,36.4
2017M11,1 y 2 estrellas,15
2017M11,Hostales y pensiones,88.54
2017M12,TOTAL,140.1
2017M12,4 y 5 estrellas,9.52
2017M12,3 estrellas,32.24
2017M12,1 y 2 estrellas,13
2017M12,Hostales y pensiones,85.35
2018M01,TOTAL,129.26
2018M01,4 y 5 estrellas,9
2018M01,3 estrellas,28.13
2018M01,1 y 2 estrellas,13
2018M01,Hostales y pensiones,79.13
2018M02,TOTAL,140.11
2018M02,4 y 5 estrellas,9
2018M02,3 estrellas,31.96
2018M02,1 y 2 estrellas,14
2018M02,Hostales y pensiones,85.15
2018M03,TOTAL,146.16
2018M03,4 y 5 estrellas,10.65
2018M03,3 estrellas,34.26
2018M03,1 y 2 estrellas,14
2018M03,Hostales y pensiones,87.25
2018M04,TOTAL,153.4
2018M04,4 y 5 estrellas,11.67
2018M04,3 estrellas,36.57
2018M04,1 y 2 estrellas,16
2018M04,Hostales y pensiones,89.17
2018M05,TOTAL,151.6
2018M05,4 y 5 estrellas,11.9
2018M05,3 estrellas,35.65
2018M05,1 y 2 estrellas,16
2018M05,Hostales y pensiones,88.05
2018M06,TOTAL,151.89
2018M06,4 y 5 estrellas,11.93
2018M06,3 estrellas,36.97
2018M06,1 y 2 estrellas,15
2018M06,Hostales y pensiones,87.99
2018M07,TOTAL,152.66
2018M07,4 y 5 estrellas,12
2018M07,3 estrellas,37.23
2018M07,1 y 2 estrellas,16
2018M07,Hostales y pensiones,87.43
2018M08,TOTAL,161.89
2018M08,4 y 5 estrellas,12
2018M08,3 estrellas,37.52
2018M08,1 y 2 estrellas,18
2018M08,Hostales y pensiones,94.38
2018M09,TOTAL,151.92
2018M09,4 y 5 estrellas,11.83
2018M09,3 estrellas,37.33
2018M09,1 y 2 estrellas,18
2018M09,Hostales y pensiones,84.75
2018M10,TOTAL,156.5
2018M10,4 y 5 estrellas,11.9
2018M10,3 estrellas,36.97
2018M10,1 y 2 estrellas,17
2018M10,Hostales y pensiones,90.62
2018M11,TOTAL,149.68
2018M11,4 y 5 estrellas,11.37
2018M11,3 estrellas,32.9
2018M11,1 y 2 estrellas,15
2018M11,Hostales y pensiones,90.41
2018M12,TOTAL,130.46
2018M12,4 y 5 estrellas,11.13
2018M12,3 estrellas,28.55
2018M12,1 y 2 estrellas,12.88
2018M12,Hostales y pensiones,77.91
2019M01,TOTAL,128.46
2019M01,4 y 5 estrellas,10.26
2019M01,3 estrellas,26.29
2019M01,1 y 2 estrellas,12
2019M01,Hostales y pensiones,79.91
2019M02,TOTAL,141.35
2019M02,4 y 5 estrellas,11
2019M02,3 estrellas,29.14
2019M02,1 y 2 estrellas,14
2019M02,Hostales y pensiones,87.2
2019M03,TOTAL,143.23
2019M03,4 y 5 estrellas,11.65
2019M03,3 estrellas,29.71
2019M03,1 y 2 estrellas,14
2019M03,Hostales y pensiones,87.88
2019M04,TOTAL,156.25
2019M04,4 y 5 estrellas,12.73
2019M04,3 estrellas,32.77
2019M04,1 y 2 estrellas,17
2019M04,Hostales y pensiones,93.75
2019M05,TOTAL,156.04
2019M05,4 y 5 estrellas,13.84
2019M05,3 estrellas,32.45
2019M05,1 y 2 estrellas,15
2019M05,Hostales y pensiones,94.75
2019M06,TOTAL,154.21
2019M06,4 y 5 estrellas,14
2019M06,3 estrellas,32.99
2019M06,1 y 2 estrellas,16
2019M06,Hostales y pensiones,91.22
2019M07,TOTAL,159.03
2019M07,4 y 5 estrellas,14
2019M07,3 estrellas,34.55
2019M07,1 y 2 estrellas,15
2019M07,Hostales y pensiones,95.48
2019M08,TOTAL,158.07
2019M08,4 y 5 estrellas,14
2019M08,3 estrellas,34.32
2019M08,1 y 2 estrellas,16
2019M08,Hostales y pensiones,93.75
2019M09,TOTAL,152.01
2019M09,4 y 5 estrellas,13.97
2019M09,3 estrellas,34.09
2019M09,1 y 2 estrellas,16
2019M09,Hostales y pensiones,87.96
2019M10,TOTAL,150.14
2019M10,4 y 5 estrellas,13.84
2019M10,3 estrellas,33.66
2019M10,1 y 2 estrellas,16
2019M10,Hostales y pensiones,86.64
2019M11,TOTAL,143.33
2019M11,4 y 5 estrellas,13.53
2019M11,3 estrellas,31.41
2019M11,1 y 2 estrellas,15
2019M11,Hostales y pensiones,83.39
2019M12,TOTAL,130.4
2019M12,4 y 5 estrellas,12.23
2019M12,3 estrellas,29.49
2019M12,1 y 2 estrellas,9.14
2019M12,Hostales y pensiones,79.55
2020M01,TOTAL,121.38
2020M01,4 y 5 estrellas,11.94
2020M01,3 estrellas,25.81
2020M01,1 y 2 estrellas,13
2020M01,Hostales y pensiones,70.64
2020M02,TOTAL,126.45
2020M02,4 y 5 estrellas,12
2020M02,3 estrellas,28.81
2020M02,1 y 2 estrellas,12
2020M02,Hostales y pensiones,73.64
2020M03,TOTAL,52.78
2020M03,4 y 5 estrellas,6.81
2020M03,3 estrellas,17.37
2020M03,1 y 2 estrellas,3.14
2020M03,Hostales y pensiones,25.45
2020M05,TOTAL,17.35
2020M05,4 y 5 estrellas,0.68
2020M05,3 estrellas,4.42
2020M05,1 y 2 estrellas,4
2020M05,Hostales y pensiones,8.25
2020M06,TOTAL,61.11
2020M06,4 y 5 estrellas,3.7
