Periodo,Ubicación establecimiento,DATA
2015M01,TOTAL,5135.55
2015M01,Logrońo y Alrededores,2415.02
2015M01,Resto,2720.53
2015M02,TOTAL,5550.75
2015M02,Logrońo y Alrededores,2493.92
2015M02,Resto,3056.83
2015M03,TOTAL,5737.49
2015M03,Logrońo y Alrededores,2496.53
2015M03,Resto,3240.96
2015M04,TOTAL,6089.46
2015M04,Logrońo y Alrededores,2586.13
2015M04,Resto,3503.33
2015M05,TOTAL,6160.13
2015M05,Logrońo y Alrededores,2582.86
2015M05,Resto,3577.28
2015M06,TOTAL,6236.05
2015M06,Logrońo y Alrededores,2590.7
2015M06,Resto,3645.35
2015M07,TOTAL,6102.15
2015M07,Logrońo y Alrededores,2507.47
2015M07,Resto,3594.68
2015M08,TOTAL,6288.8
2015M08,Logrońo y Alrededores,2520.14
2015M08,Resto,3768.67
2015M09,TOTAL,6297.73
2015M09,Logrońo y Alrededores,2581.22
2015M09,Resto,3716.51
2015M10,TOTAL,6282.09
2015M10,Logrońo y Alrededores,2544.48
2015M10,Resto,3737.61
2015M11,TOTAL,6251.02
2015M11,Logrońo y Alrededores,2576.49
2015M11,Resto,3674.53
2015M12,TOTAL,5399.21
2015M12,Logrońo y Alrededores,2359.17
2015M12,Resto,3040.04
2016M01,TOTAL,5405.43
2016M01,Logrońo y Alrededores,2513.15
2016M01,Resto,2892.28
2016M02,TOTAL,5682.79
2016M02,Logrońo y Alrededores,2545.39
2016M02,Resto,3137.4
2016M03,TOTAL,5926.49
2016M03,Logrońo y Alrededores,2551.52
2016M03,Resto,3374.97
2016M04,TOTAL,6147.58
2016M04,Logrońo y Alrededores,2573.57
2016M04,Resto,3574.01
2016M05,TOTAL,6202.76
2016M05,Logrońo y Alrededores,2566.67
2016M05,Resto,3636.1
2016M06,TOTAL,6170.38
2016M06,Logrońo y Alrededores,2538.75
2016M06,Resto,3631.63
2016M07,TOTAL,6227.69
2016M07,Logrońo y Alrededores,2572.55
2016M07,Resto,3655.14
2016M08,TOTAL,6373.34
2016M08,Logrońo y Alrededores,2567.17
2016M08,Resto,3806.17
2016M09,TOTAL,6362.66
2016M09,Logrońo y Alrededores,2565.22
2016M09,Resto,3797.45
2016M10,TOTAL,6246.51
2016M10,Logrońo y Alrededores,2551.42
2016M10,Resto,3695.09
2016M11,TOTAL,6067.61
2016M11,Logrońo y Alrededores,2552.3
2016M11,Resto,3515.31
2016M12,TOTAL,5683.07
2016M12,Logrońo y Alrededores,2462
2016M12,Resto,3221.07
2017M01,TOTAL,5530.89
2017M01,Logrońo y Alrededores,2523.76
2017M01,Resto,3007.13
2017M02,TOTAL,5865.64
2017M02,Logrońo y Alrededores,2596.06
2017M02,Resto,3269.58
2017M03,TOTAL,5946.97
2017M03,Logrońo y Alrededores,2618.02
2017M03,Resto,3328.96
2017M04,TOTAL,6380.74
2017M04,Logrońo y Alrededores,2608.99
2017M04,Resto,3771.75
2017M05,TOTAL,6504.67
2017M05,Logrońo y Alrededores,2596.99
2017M05,Resto,3907.68
2017M06,TOTAL,6482.33
2017M06,Logrońo y Alrededores,2596
2017M06,Resto,3886.33
2017M07,TOTAL,6556.99
2017M07,Logrońo y Alrededores,2643.77
2017M07,Resto,3913.23
2017M08,TOTAL,6583.17
2017M08,Logrońo y Alrededores,2633.15
2017M08,Resto,3950.01
2017M09,TOTAL,6499.53
2017M09,Logrońo y Alrededores,2662.75
2017M09,Resto,3836.78
2017M10,TOTAL,6397.66
2017M10,Logrońo y Alrededores,2619.65
2017M10,Resto,3778.01
2017M11,TOTAL,6263.98
2017M11,Logrońo y Alrededores,2651.9
2017M11,Resto,3612.08
2017M12,TOTAL,5811.08
2017M12,Logrońo y Alrededores,2532.23
2017M12,Resto,3278.85
2018M01,TOTAL,5640.62
2018M01,Logrońo y Alrededores,2633.44
2018M01,Resto,3007.18
2018M02,TOTAL,5928.6
2018M02,Logrońo y Alrededores,2653.05
2018M02,Resto,3275.55
2018M03,TOTAL,6106.26
2018M03,Logrońo y Alrededores,2665.09
2018M03,Resto,3441.18
2018M04,TOTAL,6478.41
2018M04,Logrońo y Alrededores,2670.11
2018M04,Resto,3808.3
2018M05,TOTAL,6429.47
2018M05,Logrońo y Alrededores,2656.57
2018M05,Resto,3772.9
2018M06,TOTAL,6453.94
2018M06,Logrońo y Alrededores,2651.31
2018M06,Resto,3802.63
2018M07,TOTAL,6565.18
2018M07,Logrońo y Alrededores,2639.75
2018M07,Resto,3925.42
2018M08,TOTAL,6715.82
2018M08,Logrońo y Alrededores,2674.2
2018M08,Resto,4041.61
2018M09,TOTAL,6517.09
2018M09,Logrońo y Alrededores,2672.59
2018M09,Resto,3844.5
2018M10,TOTAL,6561.06
2018M10,Logrońo y Alrededores,2654.59
2018M10,Resto,3906.47
2018M11,TOTAL,6185.37
2018M11,Logrońo y Alrededores,2515
2018M11,Resto,3670.37
2018M12,TOTAL,5643.03
2018M12,Logrońo y Alrededores,2386.65
2018M12,Resto,3256.38
2019M01,TOTAL,5560.9
2019M01,Logrońo y Alrededores,2427.75
2019M01,Resto,3133.15
2019M02,TOTAL,5824.12
2019M02,Logrońo y Alrededores,2431.34
2019M02,Resto,3392.79
2019M03,TOTAL,5887.53
2019M03,Logrońo y Alrededores,2428.47
2019M03,Resto,3459.06
2019M04,TOTAL,6398.83
2019M04,Logrońo y Alrededores,2553.11
2019M04,Resto,3845.71
2019M05,TOTAL,6495.22
