Periodo,Categoría,Residencia viajero,DATA
2015M01,TOTAL,TOTAL,27367.73
2015M01,TOTAL,Residentes en Espańa,24445.23
2015M01,TOTAL,No residentes en Espańa,2922.5
2015M01,4 y 5 estrellas,TOTAL,10658
2015M01,4 y 5 estrellas,Residentes en Espańa,9237.84
2015M01,4 y 5 estrellas,No residentes en Espańa,1420.16
2015M01,3 estrellas,TOTAL,12837
2015M01,3 estrellas,Residentes en Espańa,11653.95
2015M01,3 estrellas,No residentes en Espańa,1183.05
2015M01,1 y 2 estrellas,TOTAL,832.57
2015M01,1 y 2 estrellas,Residentes en Espańa,806
2015M01,1 y 2 estrellas,No residentes en Espańa,26.57
2015M01,Hostales y pensiones,TOTAL,3040.16
2015M01,Hostales y pensiones,Residentes en Espańa,2747.45
2015M01,Hostales y pensiones,No residentes en Espańa,292.71
2015M02,TOTAL,TOTAL,30611.19
2015M02,TOTAL,Residentes en Espańa,27754.86
2015M02,TOTAL,No residentes en Espańa,2856.34
2015M02,4 y 5 estrellas,TOTAL,11215
2015M02,4 y 5 estrellas,Residentes en Espańa,9994.69
2015M02,4 y 5 estrellas,No residentes en Espańa,1220.31
2015M02,3 estrellas,TOTAL,14433
2015M02,3 estrellas,Residentes en Espańa,13170.52
2015M02,3 estrellas,No residentes en Espańa,1262.48
2015M02,1 y 2 estrellas,TOTAL,1372
2015M02,1 y 2 estrellas,Residentes en Espańa,1232
2015M02,1 y 2 estrellas,No residentes en Espańa,140
2015M02,Hostales y pensiones,TOTAL,3591.19
2015M02,Hostales y pensiones,Residentes en Espańa,3357.64
2015M02,Hostales y pensiones,No residentes en Espańa,233.55
2015M03,TOTAL,TOTAL,43653.97
2015M03,TOTAL,Residentes en Espańa,39517.52
2015M03,TOTAL,No residentes en Espańa,4136.45
2015M03,4 y 5 estrellas,TOTAL,15901
2015M03,4 y 5 estrellas,Residentes en Espańa,14359.58
2015M03,4 y 5 estrellas,No residentes en Espańa,1541.42
2015M03,3 estrellas,TOTAL,20368
2015M03,3 estrellas,Residentes en Espańa,18310.18
2015M03,3 estrellas,No residentes en Espańa,2057.82
2015M03,1 y 2 estrellas,TOTAL,2054.86
2015M03,1 y 2 estrellas,Residentes en Espańa,1939.71
2015M03,1 y 2 estrellas,No residentes en Espańa,115.14
2015M03,Hostales y pensiones,TOTAL,5330.11
2015M03,Hostales y pensiones,Residentes en Espańa,4908.05
2015M03,Hostales y pensiones,No residentes en Espańa,422.06
2015M04,TOTAL,TOTAL,50042.27
2015M04,TOTAL,Residentes en Espańa,39374.16
2015M04,TOTAL,No residentes en Espańa,10668.11
2015M04,4 y 5 estrellas,TOTAL,16416
2015M04,4 y 5 estrellas,Residentes en Espańa,13227.28
2015M04,4 y 5 estrellas,No residentes en Espańa,3188.72
2015M04,3 estrellas,TOTAL,23260.89
