Periodo,Ubicación establecimiento,DATA
2015M01,TOTAL,45159.39
2015M01,Logrońo y Alrededores,30322.53
2015M01,Resto,14836.87
2015M02,TOTAL,50111.73
2015M02,Logrońo y Alrededores,31086.93
2015M02,Resto,19024.81
2015M03,TOTAL,70651.78
2015M03,Logrońo y Alrededores,40484.87
2015M03,Resto,30166.91
2015M04,TOTAL,85775.38
2015M04,Logrońo y Alrededores,42673.78
2015M04,Resto,43101.61
2015M05,TOTAL,94899.48
2015M05,Logrońo y Alrededores,48035.26
2015M05,Resto,46864.23
2015M06,TOTAL,87512.88
2015M06,Logrońo y Alrededores,46590.33
2015M06,Resto,40922.55
2015M07,TOTAL,88981.89
2015M07,Logrońo y Alrededores,47034.18
2015M07,Resto,41947.71
2015M08,TOTAL,122096.23
2015M08,Logrońo y Alrededores,60755.64
2015M08,Resto,61340.59
2015M09,TOTAL,112172.03
2015M09,Logrońo y Alrededores,58902.62
2015M09,Resto,53269.41
2015M10,TOTAL,100690.47
2015M10,Logrońo y Alrededores,51917.73
2015M10,Resto,48772.74
2015M11,TOTAL,77097.06
2015M11,Logrońo y Alrededores,41522.22
2015M11,Resto,35574.85
2015M12,TOTAL,61911.25
2015M12,Logrońo y Alrededores,34725.02
2015M12,Resto,27186.23
2016M01,TOTAL,50490.91
2016M01,Logrońo y Alrededores,30807.99
2016M01,Resto,19682.92
2016M02,TOTAL,59288.73
2016M02,Logrońo y Alrededores,34356.48
2016M02,Resto,24932.25
2016M03,TOTAL,82912.6
2016M03,Logrońo y Alrededores,44218.7
2016M03,Resto,38693.91
2016M04,TOTAL,73738.67
2016M04,Logrońo y Alrededores,39945.14
2016M04,Resto,33793.53
2016M05,TOTAL,92447.51
2016M05,Logrońo y Alrededores,48486.67
2016M05,Resto,43960.84
2016M06,TOTAL,82141.65
2016M06,Logrońo y Alrededores,42613.06
2016M06,Resto,39528.59
2016M07,TOTAL,101679.17
2016M07,Logrońo y Alrededores,54464.93
2016M07,Resto,47214.24
2016M08,TOTAL,128262.41
2016M08,Logrońo y Alrededores,64010.78
2016M08,Resto,64251.63
2016M09,TOTAL,108055.69
2016M09,Logrońo y Alrededores,54552.98
2016M09,Resto,53502.71
2016M10,TOTAL,107336.11
2016M10,Logrońo y Alrededores,54554.75
2016M10,Resto,52781.36
2016M11,TOTAL,69734.9
2016M11,Logrońo y Alrededores,39254.07
2016M11,Resto,30480.83
2016M12,TOTAL,68996.18
2016M12,Logrońo y Alrededores,37854.76
2016M12,Resto,31141.42
2017M01,TOTAL,47017.81
2017M01,Logrońo y Alrededores,29369.03
2017M01,Resto,17648.79
2017M02,TOTAL,55405.12
2017M02,Logrońo y Alrededores,30559.3
2017M02,Resto,24845.82
2017M03,TOTAL,71511.82
2017M03,Logrońo y Alrededores,39176.18
2017M03,Resto,32335.65
2017M04,TOTAL,98060.87
2017M04,Logrońo y Alrededores,47998.17
2017M04,Resto,50062.7
2017M05,TOTAL,91586.02
2017M05,Logrońo y Alrededores,48458.11
2017M05,Resto,43127.9
2017M06,TOTAL,94310.14
2017M06,Logrońo y Alrededores,47359.71
2017M06,Resto,46950.43
2017M07,TOTAL,99293.96
2017M07,Logrońo y Alrededores,52415.62
2017M07,Resto,46878.34
2017M08,TOTAL,131789.35
2017M08,Logrońo y Alrededores,63805.41
2017M08,Resto,67983.94
2017M09,TOTAL,114190.12
2017M09,Logrońo y Alrededores,57410.8
2017M09,Resto,56779.32
2017M10,TOTAL,97292.09
2017M10,Logrońo y Alrededores,47866.07
2017M10,Resto,49426.02
2017M11,TOTAL,75127.76
2017M11,Logrońo y Alrededores,39558.82
2017M11,Resto,35568.94
2017M12,TOTAL,66129.01
2017M12,Logrońo y Alrededores,34044
2017M12,Resto,32085.01
2018M01,TOTAL,43577.01
2018M01,Logrońo y Alrededores,24631.15
2018M01,Resto,18945.86
2018M02,TOTAL,52887.35
2018M02,Logrońo y Alrededores,28376.46
2018M02,Resto,24510.89
2018M03,TOTAL,76383.74
2018M03,Logrońo y Alrededores,39669.5
2018M03,Resto,36714.23
2018M04,TOTAL,84448.22
2018M04,Logrońo y Alrededores,43200.14
2018M04,Resto,41248.08
2018M05,TOTAL,90964.96
2018M05,Logrońo y Alrededores,43310
2018M05,Resto,47654.96
2018M06,TOTAL,90132.38
2018M06,Logrońo y Alrededores,43719.88
2018M06,Resto,46412.5
2018M07,TOTAL,93772.71
2018M07,Logrońo y Alrededores,44707.31
2018M07,Resto,49065.4
2018M08,TOTAL,123168.17
2018M08,Logrońo y Alrededores,57696.06
2018M08,Resto,65472.11
2018M09,TOTAL,109231.97
2018M09,Logrońo y Alrededores,51264.58
2018M09,Resto,57967.39
2018M10,TOTAL,98996.24
2018M10,Logrońo y Alrededores,46006.25
2018M10,Resto,52989.99
2018M11,TOTAL,81388.48
2018M11,Logrońo y Alrededores,40199.4
2018M11,Resto,41189.07
2018M12,TOTAL,62854.32
2018M12,Logrońo y Alrededores,32385.75
2018M12,Resto,30468.57
2019M01,TOTAL,105537.4
2019M01,Logrońo y Alrededores,58427.66
2019M01,Resto,47109.74
2019M02,TOTAL,51446.75
2019M02,Logrońo y Alrededores,26567.43
2019M02,Resto,24879.32
2019M03,TOTAL,71587.6
2019M03,Logrońo y Alrededores,35204.71
2019M03,Resto,36382.89
2019M04,TOTAL,88819.97
2019M04,Logrońo y Alrededores,40190.37
2019M04,Resto,48629.6
2019M05,TOTAL,96016.8
2019M05,Logrońo y Alrededores,44457.23
2019M05,Resto,51559.57
2019M06,TOTAL,89629.73
2019M06,Logrońo y Alrededores,42573.6
2019M06,Resto,47056.12
2019M07,TOTAL,90142.45
2019M07,Logrońo y Alrededores,40464.64
2019M07,Resto,49677.82
2019M08,TOTAL,124131.69
2019M08,Logrońo y Alrededores,55311.26
2019M08,Resto,68820.43
2019M09,TOTAL,107113.52
2019M09,Logrońo y Alrededores,47749.1
2019M09,Resto,59364.42
2019M10,TOTAL,99565.69
2019M10,Logrońo y Alrededores,45104.58
2019M10,Resto,54461.11
2019M11,TOTAL,76790.37
2019M11,Logrońo y Alrededores,36397.37
2019M11,Resto,40393
2019M12,TOTAL,59897.55
2019M12,Logrońo y Alrededores,29850.32
2019M12,Resto,30047.23
2020M01,TOTAL,46281.9
2020M01,Logrońo y Alrededores,26845.92
2020M01,Resto,19435.97
2020M02,TOTAL,65220.91
2020M02,Logrońo y Alrededores,33934.6
2020M02,Resto,31286.31
2020M03,TOTAL,17753.07
2020M03,Logrońo y Alrededores,10464.42
2020M03,Resto,7288.65
2020M05,TOTAL,1594.8
2020M05,Logrońo y Alrededores,788.43
2020M05,Resto,806.37
2020M06,TOTAL,10167.94
2020M06,Logrońo y Alrededores,4198.75
2020M06,Resto,5969.19
2020M07,TOTAL,49321.13
2020M07,Logrońo y Alrededores,20073.29
2020M07,Resto,29247.84
2020M08,TOTAL,65449.45
2020M08,Logrońo y Alrededores,26384.53
2020M08,Resto,39064.92
2020M09,TOTAL,39125.9
2020M09,Logrońo y Alrededores,17463.57
