Periodo,Categoría,Residencia viajero,DATA
2015M01,TOTAL,TOTAL,45159.39
2015M01,TOTAL,Residentes en Espańa,40192.16
2015M01,TOTAL,No residentes en Espańa,4967.23
2015M01,4 y 5 estrellas,TOTAL,17051
2015M01,4 y 5 estrellas,Residentes en Espańa,14545.79
2015M01,4 y 5 estrellas,No residentes en Espańa,2505.21
2015M01,3 estrellas,TOTAL,20535
2015M01,3 estrellas,Residentes en Espańa,18518.09
2015M01,3 estrellas,No residentes en Espańa,2016.91
2015M01,1 y 2 estrellas,TOTAL,1209
2015M01,1 y 2 estrellas,Residentes en Espańa,1164.71
2015M01,1 y 2 estrellas,No residentes en Espańa,44.29
2015M01,Hostales y pensiones,TOTAL,6364.39
2015M01,Hostales y pensiones,Residentes en Espańa,5963.57
2015M01,Hostales y pensiones,No residentes en Espańa,400.83
2015M02,TOTAL,TOTAL,50111.73
2015M02,TOTAL,Residentes en Espańa,45528.22
2015M02,TOTAL,No residentes en Espańa,4583.52
2015M02,4 y 5 estrellas,TOTAL,18401
2015M02,4 y 5 estrellas,Residentes en Espańa,16504.73
2015M02,4 y 5 estrellas,No residentes en Espańa,1896.27
2015M02,3 estrellas,TOTAL,22594
2015M02,3 estrellas,Residentes en Espańa,20421.96
2015M02,3 estrellas,No residentes en Espańa,2172.04
2015M02,1 y 2 estrellas,TOTAL,1892
2015M02,1 y 2 estrellas,Residentes en Espańa,1724
2015M02,1 y 2 estrellas,No residentes en Espańa,168
2015M02,Hostales y pensiones,TOTAL,7224.73
2015M02,Hostales y pensiones,Residentes en Espańa,6877.52
2015M02,Hostales y pensiones,No residentes en Espańa,347.21
2015M03,TOTAL,TOTAL,70651.78
2015M03,TOTAL,Residentes en Espańa,63157.73
2015M03,TOTAL,No residentes en Espańa,7494.05
2015M03,4 y 5 estrellas,TOTAL,25043
2015M03,4 y 5 estrellas,Residentes en Espańa,22474.6
2015M03,4 y 5 estrellas,No residentes en Espańa,2568.4
2015M03,3 estrellas,TOTAL,32609
2015M03,3 estrellas,Residentes en Espańa,28652.7
2015M03,3 estrellas,No residentes en Espańa,3956.3
2015M03,1 y 2 estrellas,TOTAL,3131
2015M03,1 y 2 estrellas,Residentes en Espańa,2953.86
2015M03,1 y 2 estrellas,No residentes en Espańa,177.14
2015M03,Hostales y pensiones,TOTAL,9868.78
2015M03,Hostales y pensiones,Residentes en Espańa,9076.57
2015M03,Hostales y pensiones,No residentes en Espańa,792.2
2015M04,TOTAL,TOTAL,85775.38
2015M04,TOTAL,Residentes en Espańa,69478.73
2015M04,TOTAL,No residentes en Espańa,16296.65
2015M04,4 y 5 estrellas,TOTAL,28741
2015M04,4 y 5 estrellas,Residentes en Espańa,24212.77
2015M04,4 y 5 estrellas,No residentes en Espańa,4528.23
2015M04,3 estrellas,TOTAL,37835.99
2015M04,3 estrellas,Residentes en Espańa,28830.7
2015M04,3 estrellas,No residentes en Espańa,9005.3
2015M04,1 y 2 estrellas,TOTAL,3355.58
2015M04,1 y 2 estrellas,Residentes en Espańa,2809.41
2015M04,1 y 2 estrellas,No residentes en Espańa,546.17
2015M04,Hostales y pensiones,TOTAL,15842.81
2015M04,Hostales y pensiones,Residentes en Espańa,13625.85
2015M04,Hostales y pensiones,No residentes en Espańa,2216.96
2015M05,TOTAL,TOTAL,94899.48
2015M05,TOTAL,Residentes en Espańa,73106.48
2015M05,TOTAL,No residentes en Espańa,21793
2015M05,4 y 5 estrellas,TOTAL,30605
2015M05,4 y 5 estrellas,Residentes en Espańa,23934.5
2015M05,4 y 5 estrellas,No residentes en Espańa,6670.5
2015M05,3 estrellas,TOTAL,45077.82
2015M05,3 estrellas,Residentes en Espańa,34304.44
2015M05,3 estrellas,No residentes en Espańa,10773.38
2015M05,1 y 2 estrellas,TOTAL,3692.45
2015M05,1 y 2 estrellas,Residentes en Espańa,3129.4
2015M05,1 y 2 estrellas,No residentes en Espańa,563.05
2015M05,Hostales y pensiones,TOTAL,15524.22
2015M05,Hostales y pensiones,Residentes en Espańa,11738.15
2015M05,Hostales y pensiones,No residentes en Espańa,3786.07
2015M06,TOTAL,TOTAL,87512.88
2015M06,TOTAL,Residentes en Espańa,67038.75
2015M06,TOTAL,No residentes en Espańa,20474.13
2015M06,4 y 5 estrellas,TOTAL,28001
2015M06,4 y 5 estrellas,Residentes en Espańa,21987.5
2015M06,4 y 5 estrellas,No residentes en Espańa,6013.5
2015M06,3 estrellas,TOTAL,42951
2015M06,3 estrellas,Residentes en Espańa,31652.12
2015M06,3 estrellas,No residentes en Espańa,11298.88
2015M06,1 y 2 estrellas,TOTAL,3878.57
2015M06,1 y 2 estrellas,Residentes en Espańa,3222.86
2015M06,1 y 2 estrellas,No residentes en Espańa,655.71
2015M06,Hostales y pensiones,TOTAL,12682.31
2015M06,Hostales y pensiones,Residentes en Espańa,10176.27
2015M06,Hostales y pensiones,No residentes en Espańa,2506.04
2015M07,TOTAL,TOTAL,88981.89
2015M07,TOTAL,Residentes en Espańa,71730.94
2015M07,TOTAL,No residentes en Espańa,17250.95
2015M07,4 y 5 estrellas,TOTAL,28512
2015M07,4 y 5 estrellas,Residentes en Espańa,23338.45
2015M07,4 y 5 estrellas,No residentes en Espańa,5173.55
2015M07,3 estrellas,TOTAL,44646
2015M07,3 estrellas,Residentes en Espańa,35590.27
2015M07,3 estrellas,No residentes en Espańa,9055.73
2015M07,1 y 2 estrellas,TOTAL,3871.72
2015M07,1 y 2 estrellas,Residentes en Espańa,3327.4
2015M07,1 y 2 estrellas,No residentes en Espańa,544.32
2015M07,Hostales y pensiones,TOTAL,11952.17
