Periodo,País de residencia,Medida,DATA
2015M01,TOTAL,Viajeros,27367.73
2015M01,TOTAL,Pernoctaciones,45159.39
2015M01,RESIDENTES EN ESPAŃA,Viajeros,24445.23
2015M01,RESIDENTES EN ESPAŃA,Pernoctaciones,40192.16
2015M01,NO RESIDENTE EN ESPAŃA,Viajeros,2922.5
2015M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4967.23
2015M01,Alemania,Viajeros,150
2015M01,Alemania,Pernoctaciones,306
2015M01,Francia,Viajeros,792
2015M01,Francia,Pernoctaciones,1130
2015M01,Italia,Viajeros,171
2015M01,Italia,Pernoctaciones,464
2015M01,Paises Bajos,Viajeros,82
2015M01,Paises Bajos,Pernoctaciones,168
2015M01,Reino Unido,Viajeros,310
2015M01,Reino Unido,Pernoctaciones,535
2015M01,Paises Nordicos,Viajeros,15.29
2015M01,Paises Nordicos,Pernoctaciones,35.35
2015M01,Resto de UE,Viajeros,516.58
2015M01,Resto de UE,Pernoctaciones,1028.85
2015M01,Estados Unidos,Viajeros,134
2015M01,Estados Unidos,Pernoctaciones,319
2015M01,Resto de America,Viajeros,225.48
2015M01,Resto de America,Pernoctaciones,352.78
2015M01,Resto de no residentes en Espańa,Viajeros,526.15
2015M01,Resto de no residentes en Espańa,Pernoctaciones,628.25
2015M01,Resto de Europa,Viajeros,
2015M01,Resto de Europa,Pernoctaciones,
2015M02,TOTAL,Viajeros,30611.19
2015M02,TOTAL,Pernoctaciones,50111.73
2015M02,RESIDENTES EN ESPAŃA,Viajeros,27754.86
2015M02,RESIDENTES EN ESPAŃA,Pernoctaciones,45528.22
2015M02,NO RESIDENTE EN ESPAŃA,Viajeros,2856.34
2015M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4583.52
2015M02,Alemania,Viajeros,159
2015M02,Alemania,Pernoctaciones,515
2015M02,Francia,Viajeros,712
2015M02,Francia,Pernoctaciones,976
2015M02,Italia,Viajeros,229
2015M02,Italia,Pernoctaciones,445
2015M02,Paises Bajos,Viajeros,91
2015M02,Paises Bajos,Pernoctaciones,178
2015M02,Reino Unido,Viajeros,301
2015M02,Reino Unido,Pernoctaciones,491
2015M02,Paises Nordicos,Viajeros,25.82
2015M02,Paises Nordicos,Pernoctaciones,91.77
2015M02,Resto de UE,Viajeros,528.14
2015M02,Resto de UE,Pernoctaciones,851.06
