Periodo,Categoría,Residencia viajero,DATA,Fecha
2015M01,TOTAL,TOTAL,2736773,2015-01-01
2015M01,TOTAL,Residentes en Espańa,2444523,2015-01-01
2015M01,TOTAL,No residentes en Espańa,29225,2015-01-01
2015M01,4 y 5 estrellas,TOTAL,10658,2015-01-01
2015M01,4 y 5 estrellas,Residentes en Espańa,923784,2015-01-01
2015M01,4 y 5 estrellas,No residentes en Espańa,142016,2015-01-01
2015M01,3 estrellas,TOTAL,12837,2015-01-01
2015M01,3 estrellas,Residentes en Espańa,1165395,2015-01-01
2015M01,3 estrellas,No residentes en Espańa,118305,2015-01-01
2015M01,1 y 2 estrellas,TOTAL,83257,2015-01-01
2015M01,1 y 2 estrellas,Residentes en Espańa,806,2015-01-01
2015M01,1 y 2 estrellas,No residentes en Espańa,2657,2015-01-01
2015M01,Hostales y pensiones,TOTAL,304016,2015-01-01
2015M01,Hostales y pensiones,Residentes en Espańa,274745,2015-01-01
2015M01,Hostales y pensiones,No residentes en Espańa,29271,2015-01-01
2015M02,TOTAL,TOTAL,3061119,2015-02-01
2015M02,TOTAL,Residentes en Espańa,2775486,2015-02-01
2015M02,TOTAL,No residentes en Espańa,285634,2015-02-01
2015M02,4 y 5 estrellas,TOTAL,11215,2015-02-01
2015M02,4 y 5 estrellas,Residentes en Espańa,999469,2015-02-01
2015M02,4 y 5 estrellas,No residentes en Espańa,122031,2015-02-01
2015M02,3 estrellas,TOTAL,14433,2015-02-01
2015M02,3 estrellas,Residentes en Espańa,1317052,2015-02-01
2015M02,3 estrellas,No residentes en Espańa,126248,2015-02-01
2015M02,1 y 2 estrellas,TOTAL,1372,2015-02-01
2015M02,1 y 2 estrellas,Residentes en Espańa,1232,2015-02-01
2015M02,1 y 2 estrellas,No residentes en Espańa,140,2015-02-01
2015M02,Hostales y pensiones,TOTAL,359119,2015-02-01
2015M02,Hostales y pensiones,Residentes en Espańa,335764,2015-02-01
2015M02,Hostales y pensiones,No residentes en Espańa,23355,2015-02-01
2015M03,TOTAL,TOTAL,4365397,2015-03-01
2015M03,TOTAL,Residentes en Espańa,3951752,2015-03-01
2015M03,TOTAL,No residentes en Espańa,413645,2015-03-01
2015M03,4 y 5 estrellas,TOTAL,15901,2015-03-01
2015M03,4 y 5 estrellas,Residentes en Espańa,1435958,2015-03-01
2015M03,4 y 5 estrellas,No residentes en Espańa,154142,2015-03-01
2015M03,3 estrellas,TOTAL,20368,2015-03-01
2015M03,3 estrellas,Residentes en Espańa,1831018,2015-03-01
2015M03,3 estrellas,No residentes en Espańa,205782,2015-03-01
2015M03,1 y 2 estrellas,TOTAL,205486,2015-03-01
2015M03,1 y 2 estrellas,Residentes en Espańa,193971,2015-03-01
2015M03,1 y 2 estrellas,No residentes en Espańa,11514,2015-03-01
2015M03,Hostales y pensiones,TOTAL,533011,2015-03-01
2015M03,Hostales y pensiones,Residentes en Espańa,490805,2015-03-01
2015M03,Hostales y pensiones,No residentes en Espańa,42206,2015-03-01
2015M04,TOTAL,TOTAL,5004227,2015-04-01
2015M04,TOTAL,Residentes en Espańa,3937416,2015-04-01
2015M04,TOTAL,No residentes en Espańa,1066811,2015-04-01
2015M04,4 y 5 estrellas,TOTAL,16416,2015-04-01
2015M04,4 y 5 estrellas,Residentes en Espańa,1322728,2015-04-01
2015M04,4 y 5 estrellas,No residentes en Espańa,318872,2015-04-01
2015M04,3 estrellas,TOTAL,2326089,2015-04-01
2015M04,3 estrellas,Residentes en Espańa,1771255,2015-04-01
2015M04,3 estrellas,No residentes en Espańa,554834,2015-04-01
2015M04,1 y 2 estrellas,TOTAL,213644,2015-04-01
