Periodo,País de residencia,Medida,DATA,Fecha
2015M01,TOTAL,Viajeros,2736773,2015-01-01
2015M01,TOTAL,Pernoctaciones,4515939,2015-01-01
2015M01,RESIDENTES EN ESPAŃA,Viajeros,2444523,2015-01-01
2015M01,RESIDENTES EN ESPAŃA,Pernoctaciones,4019216,2015-01-01
2015M01,NO RESIDENTE EN ESPAŃA,Viajeros,29225,2015-01-01
2015M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,496723,2015-01-01
2015M01,Alemania,Viajeros,150,2015-01-01
2015M01,Alemania,Pernoctaciones,306,2015-01-01
2015M01,Francia,Viajeros,792,2015-01-01
2015M01,Francia,Pernoctaciones,1130,2015-01-01
2015M01,Italia,Viajeros,171,2015-01-01
2015M01,Italia,Pernoctaciones,464,2015-01-01
2015M01,Paises Bajos,Viajeros,82,2015-01-01
2015M01,Paises Bajos,Pernoctaciones,168,2015-01-01
2015M01,Reino Unido,Viajeros,310,2015-01-01
2015M01,Reino Unido,Pernoctaciones,535,2015-01-01
2015M01,Paises Nordicos,Viajeros,1529,2015-01-01
2015M01,Paises Nordicos,Pernoctaciones,3535,2015-01-01
2015M01,Resto de UE,Viajeros,51658,2015-01-01
2015M01,Resto de UE,Pernoctaciones,102885,2015-01-01
2015M01,Estados Unidos,Viajeros,134,2015-01-01
2015M01,Estados Unidos,Pernoctaciones,319,2015-01-01
2015M01,Resto de America,Viajeros,22548,2015-01-01
2015M01,Resto de America,Pernoctaciones,35278,2015-01-01
2015M01,Resto de no residentes en Espańa,Viajeros,52615,2015-01-01
2015M01,Resto de no residentes en Espańa,Pernoctaciones,62825,2015-01-01
2015M02,TOTAL,Viajeros,3061119,2015-02-01
2015M02,TOTAL,Pernoctaciones,5011173,2015-02-01
2015M02,RESIDENTES EN ESPAŃA,Viajeros,2775486,2015-02-01
2015M02,RESIDENTES EN ESPAŃA,Pernoctaciones,4552822,2015-02-01
2015M02,NO RESIDENTE EN ESPAŃA,Viajeros,285634,2015-02-01
2015M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,458352,2015-02-01
2015M02,Alemania,Viajeros,159,2015-02-01
2015M02,Alemania,Pernoctaciones,515,2015-02-01
2015M02,Francia,Viajeros,712,2015-02-01
2015M02,Francia,Pernoctaciones,976,2015-02-01
