Periodo,Tipo de establecimiento,CCAA,DATA
1999M01,Hoteles,La Rioja,1.7
1999M01,Hoteles,Espańa,3.8
1999M01,Camping,La Rioja,1.86
1999M01,Camping,Espańa,7.51
1999M01,Turismo Rural,La Rioja,
1999M01,Turismo Rural,Espańa,
1999M01,Apartamentos,La Rioja,
1999M01,Apartamentos,Espańa,
1999M01,Albergues,La Rioja,
1999M01,Albergues,Espańa,
1999M02,Hoteles,La Rioja,1.8
1999M02,Hoteles,Espańa,3.6
1999M02,Camping,La Rioja,1.64
1999M02,Camping,Espańa,6.02
1999M02,Turismo Rural,La Rioja,
1999M02,Turismo Rural,Espańa,
1999M02,Apartamentos,La Rioja,
1999M02,Apartamentos,Espańa,
1999M02,Albergues,La Rioja,
1999M02,Albergues,Espańa,
1999M03,Hoteles,La Rioja,1.6
1999M03,Hoteles,Espańa,3.4
1999M03,Camping,La Rioja,1.59
1999M03,Camping,Espańa,4.29
1999M03,Turismo Rural,La Rioja,
1999M03,Turismo Rural,Espańa,
1999M03,Apartamentos,La Rioja,
1999M03,Apartamentos,Espańa,
1999M03,Albergues,La Rioja,
1999M03,Albergues,Espańa,
1999M04,Hoteles,La Rioja,1.8
1999M04,Hoteles,Espańa,3.5
1999M04,Camping,La Rioja,2.91
1999M04,Camping,Espańa,3.83
1999M04,Turismo Rural,La Rioja,
1999M04,Turismo Rural,Espańa,
1999M04,Apartamentos,La Rioja,
1999M04,Apartamentos,Espańa,
1999M04,Albergues,La Rioja,
1999M04,Albergues,Espańa,
1999M05,Hoteles,La Rioja,1.7
1999M05,Hoteles,Espańa,3.8
1999M05,Camping,La Rioja,1.93
1999M05,Camping,Espańa,3.45
1999M05,Turismo Rural,La Rioja,
1999M05,Turismo Rural,Espańa,
1999M05,Apartamentos,La Rioja,
1999M05,Apartamentos,Espańa,
1999M05,Albergues,La Rioja,
1999M05,Albergues,Espańa,
1999M06,Hoteles,La Rioja,1.7
1999M06,Hoteles,Espańa,4.2
1999M06,Camping,La Rioja,1.77
1999M06,Camping,Espańa,4.08
1999M06,Turismo Rural,La Rioja,
1999M06,Turismo Rural,Espańa,
1999M06,Apartamentos,La Rioja,
1999M06,Apartamentos,Espańa,
1999M06,Albergues,La Rioja,
1999M06,Albergues,Espańa,
1999M07,Hoteles,La Rioja,1.8
1999M07,Hoteles,Espańa,4.5
1999M07,Camping,La Rioja,2.97
1999M07,Camping,Espańa,5.22
1999M07,Turismo Rural,La Rioja,
1999M07,Turismo Rural,Espańa,
1999M07,Apartamentos,La Rioja,
1999M07,Apartamentos,Espańa,
1999M07,Albergues,La Rioja,
1999M07,Albergues,Espańa,
1999M08,Hoteles,La Rioja,1.9
1999M08,Hoteles,Espańa,4.6
1999M08,Camping,La Rioja,8.26
1999M08,Camping,Espańa,5.61
1999M08,Turismo Rural,La Rioja,
1999M08,Turismo Rural,Espańa,
1999M08,Apartamentos,La Rioja,
1999M08,Apartamentos,Espańa,
1999M08,Albergues,La Rioja,
1999M08,Albergues,Espańa,
1999M09,Hoteles,La Rioja,1.8
1999M09,Hoteles,Espańa,4.2
1999M09,Camping,La Rioja,2.49
1999M09,Camping,Espańa,4.34
1999M09,Turismo Rural,La Rioja,
1999M09,Turismo Rural,Espańa,
1999M09,Apartamentos,La Rioja,
1999M09,Apartamentos,Espańa,
1999M09,Albergues,La Rioja,
1999M09,Albergues,Espańa,
1999M10,Hoteles,La Rioja,1.8
1999M10,Hoteles,Espańa,3.9
1999M10,Camping,La Rioja,2.34
1999M10,Camping,Espańa,4.17
1999M10,Turismo Rural,La Rioja,
1999M10,Turismo Rural,Espańa,
