Periodo,Tipo de establecimiento,CCAA,DATA,Fecha
1999M01,Hoteles,La Rioja,1.70,1999-01-01
1999M01,Hoteles,Espańa,3.80,1999-01-01
1999M01,Camping,La Rioja,18.60,1999-01-01
1999M01,Camping,Espańa,75.10,1999-01-01
1999M02,Hoteles,La Rioja,1.80,1999-02-01
1999M02,Hoteles,Espańa,3.60,1999-02-01
1999M02,Camping,La Rioja,16.40,1999-02-01
1999M02,Camping,Espańa,60.20,1999-02-01
1999M03,Hoteles,La Rioja,1.60,1999-03-01
1999M03,Hoteles,Espańa,3.40,1999-03-01
1999M03,Camping,La Rioja,15.90,1999-03-01
1999M03,Camping,Espańa,42.90,1999-03-01
1999M04,Hoteles,La Rioja,1.80,1999-04-01
1999M04,Hoteles,Espańa,3.50,1999-04-01
1999M04,Camping,La Rioja,29.10,1999-04-01
1999M04,Camping,Espańa,38.30,1999-04-01
1999M05,Hoteles,La Rioja,1.70,1999-05-01
1999M05,Hoteles,Espańa,3.80,1999-05-01
1999M05,Camping,La Rioja,19.30,1999-05-01
1999M05,Camping,Espańa,34.50,1999-05-01
1999M06,Hoteles,La Rioja,1.70,1999-06-01
1999M06,Hoteles,Espańa,4.20,1999-06-01
1999M06,Camping,La Rioja,17.70,1999-06-01
1999M06,Camping,Espańa,40.80,1999-06-01
1999M07,Hoteles,La Rioja,1.80,1999-07-01
1999M07,Hoteles,Espańa,4.50,1999-07-01
1999M07,Camping,La Rioja,29.70,1999-07-01
1999M07,Camping,Espańa,52.20,1999-07-01
1999M08,Hoteles,La Rioja,1.90,1999-08-01
1999M08,Hoteles,Espańa,4.60,1999-08-01
1999M08,Camping,La Rioja,82.60,1999-08-01
1999M08,Camping,Espańa,56.10,1999-08-01
1999M09,Hoteles,La Rioja,1.80,1999-09-01
1999M09,Hoteles,Espańa,4.20,1999-09-01
1999M09,Camping,La Rioja,24.90,1999-09-01
1999M09,Camping,Espańa,43.40,1999-09-01
1999M10,Hoteles,La Rioja,1.80,1999-10-01
1999M10,Hoteles,Espańa,3.90,1999-10-01
1999M10,Camping,La Rioja,23.40,1999-10-01
1999M10,Camping,Espańa,41.70,1999-10-01
1999M11,Hoteles,La Rioja,0.20,1999-11-01
1999M11,Hoteles,Espańa,3.30,1999-11-01
1999M11,Camping,La Rioja,16.70,1999-11-01
1999M11,Camping,Espańa,56.20,1999-11-01
1999M12,Hoteles,La Rioja,1.90,1999-12-01
1999M12,Hoteles,Espańa,3.20,1999-12-01
1999M12,Camping,La Rioja,35.80,1999-12-01
1999M12,Camping,Espańa,6.50,1999-12-01
2000M01,Hoteles,La Rioja,1.90,2000-01-01
2000M01,Hoteles,Espańa,3.50,2000-01-01
2000M01,Camping,La Rioja,0.10,2000-01-01
2000M01,Camping,Espańa,0.70,2000-01-01
2000M01,Apartamentos,Espańa,0.90,2000-01-01
2000M02,Hoteles,La Rioja,1.70,2000-02-01
2000M02,Hoteles,Espańa,3.40,2000-02-01
2000M02,Camping,La Rioja,0.10,2000-02-01
2000M02,Camping,Espańa,0.50,2000-02-01
2000M02,Apartamentos,Espańa,8.50,2000-02-01
2000M03,Hoteles,La Rioja,1.80,2000-03-01
2000M03,Hoteles,Espańa,3.40,2000-03-01
2000M03,Camping,La Rioja,0.10,2000-03-01
2000M03,Camping,Espańa,0.50,2000-03-01
2000M03,Apartamentos,Espańa,9.10,2000-03-01
2000M04,Hoteles,La Rioja,1.90,2000-04-01
2000M04,Hoteles,Espańa,3.40,2000-04-01
2000M04,Camping,La Rioja,0.20,2000-04-01
2000M04,Camping,Espańa,0.30,2000-04-01
2000M04,Apartamentos,Espańa,7.90,2000-04-01
2000M05,Hoteles,La Rioja,1.80,2000-05-01
2000M05,Hoteles,Espańa,3.80,2000-05-01
2000M05,Camping,La Rioja,0.10,2000-05-01
2000M05,Camping,Espańa,0.30,2000-05-01
2000M05,Apartamentos,Espańa,0.80,2000-05-01
2000M06,Hoteles,La Rioja,1.70,2000-06-01
2000M06,Hoteles,Espańa,4.20,2000-06-01
2000M06,Camping,La Rioja,0.10,2000-06-01
2000M06,Camping,Espańa,0.40,2000-06-01
2000M06,Apartamentos,Espańa,8.60,2000-06-01
2000M07,Hoteles,La Rioja,1.80,2000-07-01
2000M07,Hoteles,Espańa,4.40,2000-07-01
2000M07,Camping,La Rioja,0.50,2000-07-01
2000M07,Camping,Espańa,0.50,2000-07-01
2000M07,Apartamentos,Espańa,10.10,2000-07-01
2000M08,Hoteles,La Rioja,2.10,2000-08-01
2000M08,Hoteles,Espańa,4.50,2000-08-01
2000M08,Camping,La Rioja,0.80,2000-08-01
2000M08,Camping,Espańa,0.50,2000-08-01
2000M08,Apartamentos,Espańa,11.20,2000-08-01
2000M09,Hoteles,La Rioja,1.90,2000-09-01
2000M09,Hoteles,Espańa,4.10,2000-09-01
2000M09,Camping,La Rioja,0.20,2000-09-01
2000M09,Camping,Espańa,46.30,2000-09-01
