Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
1999M01,TOTAL,Viajeros,La Rioja,TOTAL,16668,1999-01-01
1999M01,TOTAL,Viajeros,La Rioja,Residentes en Espańa,15676,1999-01-01
1999M01,TOTAL,Viajeros,La Rioja,No residentes en Espańa,992,1999-01-01
1999M01,TOTAL,Viajeros,Espańa,TOTAL,2834243,1999-01-01
1999M01,TOTAL,Viajeros,Espańa,Residentes en Espańa,1738167,1999-01-01
1999M01,TOTAL,Viajeros,Espańa,No residentes en Espańa,1096076,1999-01-01
1999M01,TOTAL,Pernoctaciones,La Rioja,TOTAL,28244,1999-01-01
1999M01,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,26477,1999-01-01
1999M01,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,1767,1999-01-01
1999M01,TOTAL,Pernoctaciones,Espańa,TOTAL,10845478,1999-01-01
1999M01,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,4137383,1999-01-01
1999M01,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,6708095,1999-01-01
1999M01,HOTELES,Viajeros,La Rioja,TOTAL,15596,1999-01-01
1999M01,HOTELES,Viajeros,La Rioja,Residentes en Espańa,14613,1999-01-01
1999M01,HOTELES,Viajeros,La Rioja,No residentes en Espańa,983,1999-01-01
1999M01,HOTELES,Viajeros,Espańa,TOTAL,2775738,1999-01-01
1999M01,HOTELES,Viajeros,Espańa,Residentes en Espańa,1696976,1999-01-01
1999M01,HOTELES,Viajeros,Espańa,No residentes en Espańa,1078762,1999-01-01
1999M01,HOTELES,Pernoctaciones,La Rioja,TOTAL,26246,1999-01-01
1999M01,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,24497,1999-01-01
1999M01,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,1749,1999-01-01
1999M01,HOTELES,Pernoctaciones,Espańa,TOTAL,10406167,1999-01-01
1999M01,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,4015957,1999-01-01
1999M01,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,6390210,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,1072,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,1063,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,9,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,58505,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,41191,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,17314,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,1998,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,1980,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,18,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,439311,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,121426,1999-01-01
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,317885,1999-01-01
1999M01,Camping,Viajeros,La Rioja,TOTAL,1072,1999-01-01
1999M01,Camping,Viajeros,La Rioja,Residentes en Espańa,1063,1999-01-01
1999M01,Camping,Viajeros,La Rioja,No residentes en Espańa,9,1999-01-01
1999M01,Camping,Viajeros,Espańa,TOTAL,58505,1999-01-01
1999M01,Camping,Viajeros,Espańa,Residentes en Espańa,41191,1999-01-01
1999M01,Camping,Viajeros,Espańa,No residentes en Espańa,17314,1999-01-01
1999M01,Camping,Pernoctaciones,La Rioja,TOTAL,1998,1999-01-01
1999M01,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,1980,1999-01-01
1999M01,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,18,1999-01-01
1999M01,Camping,Pernoctaciones,Espańa,TOTAL,439311,1999-01-01
1999M01,Camping,Pernoctaciones,Espańa,Residentes en Espańa,121426,1999-01-01
1999M01,Camping,Pernoctaciones,Espańa,No residentes en Espańa,317885,1999-01-01
1999M02,TOTAL,Viajeros,La Rioja,TOTAL,22252,1999-02-01
1999M02,TOTAL,Viajeros,La Rioja,Residentes en Espańa,20352,1999-02-01
1999M02,TOTAL,Viajeros,La Rioja,No residentes en Espańa,1900,1999-02-01
1999M02,TOTAL,Viajeros,Espańa,TOTAL,3278961,1999-02-01
1999M02,TOTAL,Viajeros,Espańa,Residentes en Espańa,2027157,1999-02-01
1999M02,TOTAL,Viajeros,Espańa,No residentes en Espańa,1251804,1999-02-01
1999M02,TOTAL,Pernoctaciones,La Rioja,TOTAL,40111,1999-02-01
1999M02,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,37301,1999-02-01
1999M02,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,2810,1999-02-01
1999M02,TOTAL,Pernoctaciones,Espańa,TOTAL,11890854,1999-02-01
1999M02,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,4644326,1999-02-01
1999M02,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,7246528,1999-02-01
1999M02,HOTELES,Viajeros,La Rioja,TOTAL,20480,1999-02-01
1999M02,HOTELES,Viajeros,La Rioja,Residentes en Espańa,18676,1999-02-01
1999M02,HOTELES,Viajeros,La Rioja,No residentes en Espańa,1804,1999-02-01
1999M02,HOTELES,Viajeros,Espańa,TOTAL,3205892,1999-02-01
1999M02,HOTELES,Viajeros,Espańa,Residentes en Espańa,1971767,1999-02-01
1999M02,HOTELES,Viajeros,Espańa,No residentes en Espańa,1234125,1999-02-01
1999M02,HOTELES,Pernoctaciones,La Rioja,TOTAL,37211,1999-02-01
1999M02,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,34545,1999-02-01
1999M02,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,2666,1999-02-01
1999M02,HOTELES,Pernoctaciones,Espańa,TOTAL,11451100,1999-02-01
1999M02,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,4520079,1999-02-01
1999M02,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,6931021,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,1772,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,1676,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,96,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,73069,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,55390,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,17679,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,2900,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,2756,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,144,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,439754,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,124247,1999-02-01
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,315507,1999-02-01
1999M02,Camping,Viajeros,La Rioja,TOTAL,1772,1999-02-01
1999M02,Camping,Viajeros,La Rioja,Residentes en Espańa,1676,1999-02-01
1999M02,Camping,Viajeros,La Rioja,No residentes en Espańa,96,1999-02-01
1999M02,Camping,Viajeros,Espańa,TOTAL,73069,1999-02-01
1999M02,Camping,Viajeros,Espańa,Residentes en Espańa,55390,1999-02-01
1999M02,Camping,Viajeros,Espańa,No residentes en Espańa,17679,1999-02-01
1999M02,Camping,Pernoctaciones,La Rioja,TOTAL,2900,1999-02-01
1999M02,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,2756,1999-02-01
1999M02,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,144,1999-02-01
1999M02,Camping,Pernoctaciones,Espańa,TOTAL,439754,1999-02-01
1999M02,Camping,Pernoctaciones,Espańa,Residentes en Espańa,124247,1999-02-01
1999M02,Camping,Pernoctaciones,Espańa,No residentes en Espańa,315507,1999-02-01
1999M03,TOTAL,Viajeros,La Rioja,TOTAL,33864,1999-03-01
1999M03,TOTAL,Viajeros,La Rioja,Residentes en Espańa,30986,1999-03-01
1999M03,TOTAL,Viajeros,La Rioja,No residentes en Espańa,2878,1999-03-01
1999M03,TOTAL,Viajeros,Espańa,TOTAL,4301705,1999-03-01
1999M03,TOTAL,Viajeros,Espańa,Residentes en Espańa,2584020,1999-03-01
1999M03,TOTAL,Viajeros,Espańa,No residentes en Espańa,1717685,1999-03-01
1999M03,TOTAL,Pernoctaciones,La Rioja,TOTAL,55220,1999-03-01
1999M03,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,50941,1999-03-01
1999M03,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,4279,1999-03-01
1999M03,TOTAL,Pernoctaciones,Espańa,TOTAL,14891032,1999-03-01
1999M03,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,6180120,1999-03-01
1999M03,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,8710912,1999-03-01
1999M03,HOTELES,Viajeros,La Rioja,TOTAL,30932,1999-03-01
1999M03,HOTELES,Viajeros,La Rioja,Residentes en Espańa,28293,1999-03-01
1999M03,HOTELES,Viajeros,La Rioja,No residentes en Espańa,2639,1999-03-01
1999M03,HOTELES,Viajeros,Espańa,TOTAL,4143342,1999-03-01
1999M03,HOTELES,Viajeros,Espańa,Residentes en Espańa,2462481,1999-03-01
1999M03,HOTELES,Viajeros,Espańa,No residentes en Espańa,1680861,1999-03-01
1999M03,HOTELES,Pernoctaciones,La Rioja,TOTAL,50561,1999-03-01
1999M03,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,46654,1999-03-01
1999M03,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,3907,1999-03-01
1999M03,HOTELES,Pernoctaciones,Espańa,TOTAL,14212113,1999-03-01
1999M03,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,5847897,1999-03-01
1999M03,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,8364216,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,2932,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,2693,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,239,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,158363,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,121539,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,36824,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,4659,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,4287,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,372,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,678919,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,332223,1999-03-01
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,346696,1999-03-01
1999M03,Camping,Viajeros,La Rioja,TOTAL,2932,1999-03-01
1999M03,Camping,Viajeros,La Rioja,Residentes en Espańa,2693,1999-03-01
1999M03,Camping,Viajeros,La Rioja,No residentes en Espańa,239,1999-03-01
1999M03,Camping,Viajeros,Espańa,TOTAL,158363,1999-03-01
1999M03,Camping,Viajeros,Espańa,Residentes en Espańa,121539,1999-03-01
1999M03,Camping,Viajeros,Espańa,No residentes en Espańa,36824,1999-03-01
1999M03,Camping,Pernoctaciones,La Rioja,TOTAL,4659,1999-03-01
1999M03,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,4287,1999-03-01
1999M03,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,372,1999-03-01
1999M03,Camping,Pernoctaciones,Espańa,TOTAL,678919,1999-03-01
1999M03,Camping,Pernoctaciones,Espańa,Residentes en Espańa,332223,1999-03-01
1999M03,Camping,Pernoctaciones,Espańa,No residentes en Espańa,346696,1999-03-01
1999M04,TOTAL,Viajeros,La Rioja,TOTAL,36507,1999-04-01
1999M04,TOTAL,Viajeros,La Rioja,Residentes en Espańa,30740,1999-04-01
1999M04,TOTAL,Viajeros,La Rioja,No residentes en Espańa,5767,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,TOTAL,5272784,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,Residentes en Espańa,3011636,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,No residentes en Espańa,2261148,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,TOTAL,71752,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,63145,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,8607,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,TOTAL,18779586,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8050058,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,10729528,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,TOTAL,31578,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,Residentes en Espańa,26137,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,No residentes en Espańa,5441,1999-04-01
1999M04,HOTELES,Viajeros,Espańa,TOTAL,4931385,1999-04-01
