Periodo,Tipo de establecimiento,CCAA,DATA
1999M01,Hoteles,La Rioja,17.0
1999M01,Hoteles,Espańa,38.0
1999M01,Camping,La Rioja,186.0
1999M01,Camping,Espańa,751.0
1999M02,Hoteles,La Rioja,18.0
1999M02,Hoteles,Espańa,36.0
1999M02,Camping,La Rioja,164.0
1999M02,Camping,Espańa,602.0
1999M03,Hoteles,La Rioja,16.0
1999M03,Hoteles,Espańa,34.0
1999M03,Camping,La Rioja,159.0
1999M03,Camping,Espańa,429.0
1999M04,Hoteles,La Rioja,18.0
1999M04,Hoteles,Espańa,35.0
1999M04,Camping,La Rioja,291.0
1999M04,Camping,Espańa,383.0
1999M05,Hoteles,La Rioja,17.0
1999M05,Hoteles,Espańa,38.0
1999M05,Camping,La Rioja,193.0
1999M05,Camping,Espańa,345.0
1999M06,Hoteles,La Rioja,17.0
1999M06,Hoteles,Espańa,42.0
1999M06,Camping,La Rioja,177.0
1999M06,Camping,Espańa,408.0
1999M07,Hoteles,La Rioja,18.0
1999M07,Hoteles,Espańa,45.0
1999M07,Camping,La Rioja,297.0
1999M07,Camping,Espańa,522.0
1999M08,Hoteles,La Rioja,19.0
1999M08,Hoteles,Espańa,46.0
1999M08,Camping,La Rioja,826.0
1999M08,Camping,Espańa,561.0
1999M09,Hoteles,La Rioja,18.0
1999M09,Hoteles,Espańa,42.0
1999M09,Camping,La Rioja,249.0
1999M09,Camping,Espańa,434.0
1999M10,Hoteles,La Rioja,18.0
1999M10,Hoteles,Espańa,39.0
1999M10,Camping,La Rioja,234.0
1999M10,Camping,Espańa,417.0
1999M11,Hoteles,La Rioja,2.0
1999M11,Hoteles,Espańa,33.0
1999M11,Camping,La Rioja,167.0
1999M11,Camping,Espańa,562.0
1999M12,Hoteles,La Rioja,19.0
1999M12,Hoteles,Espańa,32.0
1999M12,Camping,La Rioja,358.0
1999M12,Camping,Espańa,65.0
2000M01,Hoteles,La Rioja,19.0
2000M01,Hoteles,Espańa,35.0
2000M01,Camping,La Rioja,1.0
2000M01,Camping,Espańa,7.0
2000M01,Apartamentos,Espańa,9.0
2000M02,Hoteles,La Rioja,17.0
2000M02,Hoteles,Espańa,34.0
2000M02,Camping,La Rioja,1.0
2000M02,Camping,Espańa,5.0
2000M02,Apartamentos,Espańa,85.0
2000M03,Hoteles,La Rioja,18.0
2000M03,Hoteles,Espańa,34.0
2000M03,Camping,La Rioja,1.0
2000M03,Camping,Espańa,5.0
2000M03,Apartamentos,Espańa,91.0
2000M04,Hoteles,La Rioja,19.0
2000M04,Hoteles,Espańa,34.0
2000M04,Camping,La Rioja,2.0
