Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA
1999M01,TOTAL,Viajeros,La Rioja,TOTAL,16668.0
1999M01,TOTAL,Viajeros,La Rioja,Residentes en Espańa,15676.0
1999M01,TOTAL,Viajeros,La Rioja,No residentes en Espańa,992.0
1999M01,TOTAL,Viajeros,Espańa,TOTAL,2834243.0
1999M01,TOTAL,Viajeros,Espańa,Residentes en Espańa,1738167.0
1999M01,TOTAL,Viajeros,Espańa,No residentes en Espańa,1096076.0
1999M01,TOTAL,Pernoctaciones,La Rioja,TOTAL,28244.0
1999M01,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,26477.0
1999M01,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,1767.0
1999M01,TOTAL,Pernoctaciones,Espańa,TOTAL,10845478.0
1999M01,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,4137383.0
1999M01,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,6708095.0
1999M01,HOTELES,Viajeros,La Rioja,TOTAL,15596.0
1999M01,HOTELES,Viajeros,La Rioja,Residentes en Espańa,14613.0
1999M01,HOTELES,Viajeros,La Rioja,No residentes en Espańa,983.0
1999M01,HOTELES,Viajeros,Espańa,TOTAL,2775738.0
1999M01,HOTELES,Viajeros,Espańa,Residentes en Espańa,1696976.0
1999M01,HOTELES,Viajeros,Espańa,No residentes en Espańa,1078762.0
1999M01,HOTELES,Pernoctaciones,La Rioja,TOTAL,26246.0
1999M01,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,24497.0
1999M01,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,1749.0
1999M01,HOTELES,Pernoctaciones,Espańa,TOTAL,10406167.0
1999M01,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,4015957.0
1999M01,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,6390210.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,1072.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,1063.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,9.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,58505.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,41191.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,17314.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,1998.0
1999M01,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,1980.0
