Forma de organización del viaje,Indicador,Periodo,DATA,Fecha
TOTAL,Gasto total,2016,93087.88,2016-01-01
TOTAL,Gasto total,2017,101962.17,2017-01-01
TOTAL,Gasto total,2018,101126.5,2018-01-01
TOTAL,Gasto total,2019,98201.73,2019-01-01
TOTAL,Gasto total,2020,21835.28,2020-01-01
TOTAL,Gasto total,2021,42027.48,2021-01-01
TOTAL,Gasto total,2022,108604.09,2022-01-01
TOTAL,Gasto total,2023,86729.82,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,2023-01-01
Con paquete turístico,Gasto total,2016,10333.17,2016-01-01
Con paquete turístico,Gasto total,2017,1556.93,2017-01-01
Con paquete turístico,Gasto total,2018,4018.9,2018-01-01
Con paquete turístico,Gasto total,2019,10649.82,2019-01-01
Con paquete turístico,Gasto total,2021,1132.44,2021-01-01
Con paquete turístico,Gasto total,2022,1756.67,2022-01-01
Con paquete turístico,Gasto total,2023,36.86,2023-01-01
Con paquete turístico,Gasto medio por persona,2016,1399.42,2016-01-01
Con paquete turístico,Gasto medio por persona,2017,916.24,2017-01-01
Con paquete turístico,Gasto medio por persona,2018,1258.37,2018-01-01
Con paquete turístico,Gasto medio por persona,2019,3416.89,2019-01-01
Con paquete turístico,Gasto medio por persona,2021,1069.9,2021-01-01
Con paquete turístico,Gasto medio por persona,2022,982.23,2022-01-01
Con paquete turístico,Gasto medio por persona,2023,599.05,2023-01-01
Con paquete turístico,Gasto medio diario por persona,2016,215.14,2016-01-01
Con paquete turístico,Gasto medio diario por persona,2017,274.74,2017-01-01
Con paquete turístico,Gasto medio diario por persona,2018,182.79,2018-01-01
Con paquete turístico,Gasto medio diario por persona,2019,291.74,2019-01-01
Con paquete turístico,Gasto medio diario por persona,2021,250.13,2021-01-01
Con paquete turístico,Gasto medio diario por persona,2022,245.56,2022-01-01
Con paquete turístico,Gasto medio diario por persona,2023,74.88,2023-01-01
Con paquete turístico,Duración media de los viajes,2016,6.5,2016-01-01
Con paquete turístico,Duración media de los viajes,2017,3.33,2017-01-01
Con paquete turístico,Duración media de los viajes,2018,6.88,2018-01-01
Con paquete turístico,Duración media de los viajes,2019,11.71,2019-01-01
Con paquete turístico,Duración media de los viajes,2021,4.28,2021-01-01
Con paquete turístico,Duración media de los viajes,2022,4.0,2022-01-01
Con paquete turístico,Duración media de los viajes,2023,8.0,2023-01-01
Sin paquete turístico,Gasto total,2016,82754.71,2016-01-01
Sin paquete turístico,Gasto total,2017,100405.25,2017-01-01
Sin paquete turístico,Gasto total,2018,97107.6,2018-01-01
Sin paquete turístico,Gasto total,2019,87551.92,2019-01-01
Sin paquete turístico,Gasto total,2020,21835.28,2020-01-01
Sin paquete turístico,Gasto total,2021,40895.05,2021-01-01
Sin paquete turístico,Gasto total,2022,106847.42,2022-01-01
Sin paquete turístico,Gasto total,2023,86692.95,2023-01-01
Sin paquete turístico,Gasto medio por persona,2016,609.88,2016-01-01
Sin paquete turístico,Gasto medio por persona,2017,776.68,2017-01-01
Sin paquete turístico,Gasto medio por persona,2018,694.95,2018-01-01
Sin paquete turístico,Gasto medio por persona,2019,641.97,2019-01-01
Sin paquete turístico,Gasto medio por persona,2020,481.43,2020-01-01
Sin paquete turístico,Gasto medio por persona,2021,872.81,2021-01-01
Sin paquete turístico,Gasto medio por persona,2022,966.06,2022-01-01
Sin paquete turístico,Gasto medio por persona,2023,733.78,2023-01-01
Sin paquete turístico,Gasto medio diario por persona,2016,92.55,2016-01-01
Sin paquete turístico,Gasto medio diario por persona,2017,98.31,2017-01-01
Sin paquete turístico,Gasto medio diario por persona,2018,102.47,2018-01-01
Sin paquete turístico,Gasto medio diario por persona,2019,95.8,2019-01-01
Sin paquete turístico,Gasto medio diario por persona,2020,73.44,2020-01-01
Sin paquete turístico,Gasto medio diario por persona,2021,115.13,2021-01-01
Sin paquete turístico,Gasto medio diario por persona,2022,133.46,2022-01-01
Sin paquete turístico,Gasto medio diario por persona,2023,132.03,2023-01-01
Sin paquete turístico,Duración media de los viajes,2016,6.59,2016-01-01
Sin paquete turístico,Duración media de los viajes,2017,7.9,2017-01-01
Sin paquete turístico,Duración media de los viajes,2018,6.78,2018-01-01
Sin paquete turístico,Duración media de los viajes,2019,6.7,2019-01-01
Sin paquete turístico,Duración media de los viajes,2020,6.56,2020-01-01
Sin paquete turístico,Duración media de los viajes,2021,7.58,2021-01-01
Sin paquete turístico,Duración media de los viajes,2022,7.24,2022-01-01
Sin paquete turístico,Duración media de los viajes,2023,5.56,2023-01-01
