Periodo,Tarifa,Variable,DATA
2016M01,TOTAL,Índice,123.81
2016M01,TOTAL,Var (%) anual,7.71
2016M01,Normal,Índice,
2016M01,Normal,Var (%) anual,
2016M01,Fin de semana,Índice,
2016M01,Fin de semana,Var (%) anual,
2016M02,TOTAL,Índice,143.89
2016M02,TOTAL,Var (%) anual,13.23
2016M02,Normal,Índice,
2016M02,Normal,Var (%) anual,
2016M02,Fin de semana,Índice,
2016M02,Fin de semana,Var (%) anual,
2016M03,TOTAL,Índice,109.3
2016M03,TOTAL,Var (%) anual,1.93
2016M03,Normal,Índice,
2016M03,Normal,Var (%) anual,
2016M03,Fin de semana,Índice,
2016M03,Fin de semana,Var (%) anual,
2016M04,TOTAL,Índice,153.73
2016M04,TOTAL,Var (%) anual,8.58
2016M04,Normal,Índice,
2016M04,Normal,Var (%) anual,
2016M04,Fin de semana,Índice,
2016M04,Fin de semana,Var (%) anual,
2016M05,TOTAL,Índice,143.83
2016M05,TOTAL,Var (%) anual,10.2
2016M05,Normal,Índice,
2016M05,Normal,Var (%) anual,
2016M05,Fin de semana,Índice,
2016M05,Fin de semana,Var (%) anual,
2016M06,TOTAL,Índice,167.84
2016M06,TOTAL,Var (%) anual,3.94
2016M06,Normal,Índice,
2016M06,Normal,Var (%) anual,
2016M06,Fin de semana,Índice,
2016M06,Fin de semana,Var (%) anual,
2016M07,TOTAL,Índice,218.68
2016M07,TOTAL,Var (%) anual,7.84
2016M07,Normal,Índice,
2016M07,Normal,Var (%) anual,
2016M07,Fin de semana,Índice,
2016M07,Fin de semana,Var (%) anual,
2016M08,TOTAL,Índice,221.78
2016M08,TOTAL,Var (%) anual,5.67
2016M08,Normal,Índice,
2016M08,Normal,Var (%) anual,
2016M08,Fin de semana,Índice,
2016M08,Fin de semana,Var (%) anual,
2016M09,TOTAL,Índice,157.65
2016M09,TOTAL,Var (%) anual,6.66
2016M09,Normal,Índice,
2016M09,Normal,Var (%) anual,
2016M09,Fin de semana,Índice,
2016M09,Fin de semana,Var (%) anual,
2016M10,TOTAL,Índice,136.88
2016M10,TOTAL,Var (%) anual,3.62
2016M10,Normal,Índice,
2016M10,Normal,Var (%) anual,
2016M10,Fin de semana,Índice,
2016M10,Fin de semana,Var (%) anual,
2016M11,TOTAL,Índice,142.63
2016M11,TOTAL,Var (%) anual,4.56
2016M11,Normal,Índice,
2016M11,Normal,Var (%) anual,
2016M11,Fin de semana,Índice,
2016M11,Fin de semana,Var (%) anual,
2016M12,TOTAL,Índice,104.72
2016M12,TOTAL,Var (%) anual,3.75
2016M12,Normal,Índice,
2016M12,Normal,Var (%) anual,
2016M12,Fin de semana,Índice,
2016M12,Fin de semana,Var (%) anual,
2017M01,TOTAL,Índice,138.02
2017M01,TOTAL,Var (%) anual,11.48
2017M01,Normal,Índice,133.72
2017M01,Normal,Var (%) anual,8.54
2017M01,Fin de semana,Índice,127
2017M01,Fin de semana,Var (%) anual,22.57
2017M02,TOTAL,Índice,155.31
2017M02,TOTAL,Var (%) anual,7.94
2017M02,Normal,Índice,138.71
2017M02,Normal,Var (%) anual,4.12
2017M02,Fin de semana,Índice,110.44
2017M02,Fin de semana,Var (%) anual,2.5
2017M03,TOTAL,Índice,116.01
2017M03,TOTAL,Var (%) anual,6.14
2017M03,Normal,Índice,100.45
2017M03,Normal,Var (%) anual,4.67
2017M03,Fin de semana,Índice,137.46
2017M03,Fin de semana,Var (%) anual,8.05
2017M04,TOTAL,Índice,160.64
2017M04,TOTAL,Var (%) anual,4.49
2017M04,Normal,Índice,184.85
2017M04,Normal,Var (%) anual,7.87
2017M04,Fin de semana,Índice,140.03
2017M04,Fin de semana,Var (%) anual,18.22
2017M05,TOTAL,Índice,157.2
2017M05,TOTAL,Var (%) anual,9.3
2017M05,Normal,Índice,154.47
2017M05,Normal,Var (%) anual,6.75
2017M05,Fin de semana,Índice,143.6
2017M05,Fin de semana,Var (%) anual,12.97
2017M06,TOTAL,Índice,181.72
2017M06,TOTAL,Var (%) anual,8.27
2017M06,Normal,Índice,169.38
2017M06,Normal,Var (%) anual,7.12
2017M06,Fin de semana,Índice,144.5
2017M06,Fin de semana,Var (%) anual,12.97
2017M07,TOTAL,Índice,229.01
2017M07,TOTAL,Var (%) anual,4.73
2017M07,Normal,Índice,210.45
2017M07,Normal,Var (%) anual,7.01
2017M07,Fin de semana,Índice,225.25
2017M07,Fin de semana,Var (%) anual,21.35
2017M08,TOTAL,Índice,238.29
2017M08,TOTAL,Var (%) anual,7.44
2017M08,Normal,Índice,205.26
2017M08,Normal,Var (%) anual,11.86
2017M08,Fin de semana,Índice,130.16
2017M08,Fin de semana,Var (%) anual,29.04
2017M09,TOTAL,Índice,170.18
2017M09,TOTAL,Var (%) anual,7.95
2017M09,Normal,Índice,137.06
2017M09,Normal,Var (%) anual,8.36
2017M09,Fin de semana,Índice,144.69
2017M09,Fin de semana,Var (%) anual,46.39
2017M10,TOTAL,Índice,142.27
2017M10,TOTAL,Var (%) anual,3.94
2017M10,Normal,Índice,122.82
2017M10,Normal,Var (%) anual,5.6
2017M10,Fin de semana,Índice,147.15
2017M10,Fin de semana,Var (%) anual,6.45
2017M11,TOTAL,Índice,144.83
2017M11,TOTAL,Var (%) anual,1.55
2017M11,Normal,Índice,155.3
2017M11,Normal,Var (%) anual,7.33
2017M11,Fin de semana,Índice,123.42
2017M11,Fin de semana,Var (%) anual,-1.76
